# Force and moment coefficients
# dragDir         : (9.8480775252e-01 0.0000000000e+00 1.7364818044e-01)
# sideDir         : (0.0000000000e+00 1.0000000000e+00 -0.0000000000e+00)
# liftDir         : (-1.7364818044e-01 0.0000000000e+00 9.8480775252e-01)
# rollAxis        : (9.8480775252e-01 0.0000000000e+00 1.7364818044e-01)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 -0.0000000000e+00)
# yawAxis         : (-1.7364818044e-01 0.0000000000e+00 9.8480775252e-01)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	1.6997547152e-02	6.8794511774e-03	1.0118095975e-02	3.2386447975e-03	3.7544316065e-03	-5.1578680905e-04	2.1351092078e-03	-1.6193223987e-03	8.4987735761e-03	-9.4184361697e-22	8.4987735761e-03	-8.4987735761e-03
2                 	1.6093896768e-02	-6.4678802932e-04	1.6740684798e-02	1.7387472827e-02	8.7875385219e-03	8.5999343050e-03	9.3802108456e-05	-8.6937364134e-03	8.0469483841e-03	-2.7728958731e-21	8.0469483841e-03	-8.0469483841e-03
3                 	1.6790783448e-02	-5.5887201056e-03	2.2379503554e-02	2.7968223659e-02	1.1506210366e-02	1.6462013293e-02	-2.4779014634e-03	-1.3984111830e-02	8.3953917240e-03	-4.1366457338e-21	8.3953917240e-03	-8.3953917240e-03
4                 	1.5673970267e-02	-6.9360344474e-03	2.2610004714e-02	2.9546039162e-02	1.1805638691e-02	1.7740400470e-02	-2.9673808894e-03	-1.4773019581e-02	7.8369851334e-03	-6.3532485611e-21	7.8369851334e-03	-7.8369851334e-03
5                 	1.2400074689e-02	-5.6978062412e-03	1.8097880930e-02	2.3795687171e-02	1.0797285453e-02	1.2998401718e-02	-1.1005581321e-03	-1.1897843586e-02	6.2000373444e-03	-4.6350995856e-21	6.2000373444e-03	-6.2000373444e-03
6                 	1.0621347443e-02	-5.2067374210e-03	1.5828084864e-02	2.1034822285e-02	9.4481993682e-03	1.1586622916e-02	-1.0692117741e-03	-1.0517411142e-02	5.3106737213e-03	-4.9734275868e-21	5.3106737213e-03	-5.3106737213e-03
7                 	1.0723989025e-02	-6.9973559397e-03	1.7721344965e-02	2.4718700905e-02	8.9728689844e-03	1.5745831920e-02	-3.3864814680e-03	-1.2359350452e-02	5.3619945127e-03	-5.4814588946e-21	5.3619945127e-03	-5.3619945127e-03
8                 	1.4677614568e-02	-1.1370241880e-02	2.6047856448e-02	3.7418098327e-02	9.4737628647e-03	2.7944335463e-02	-9.2352862990e-03	-1.8709049164e-02	7.3388072839e-03	-2.1540364941e-21	7.3388072839e-03	-7.3388072839e-03
9                 	2.0429262908e-02	-1.7680974815e-02	3.8110237723e-02	5.5791212538e-02	1.1198500650e-02	4.4592711889e-02	-1.6697105619e-02	-2.7895606269e-02	1.0214631454e-02	-1.2693050798e-20	1.0214631454e-02	-1.0214631454e-02
10                	2.4890801915e-02	-2.3884271002e-02	4.8775072917e-02	7.2659343919e-02	1.3528666087e-02	5.9130677832e-02	-2.2801005873e-02	-3.6329671960e-02	1.2445400957e-02	-9.7927273015e-21	1.2445400957e-02	-1.2445400957e-02
