# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# yawAxis         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
0.0024            	-7.7518005311e-02	-3.9053790853e-02	-3.8464214458e-02	5.8957639447e-04	-3.6182807576e-05	6.2575920204e-04	-3.3097100481e-04	-2.9478819724e-04	-3.8759002656e-02	-3.1002507599e-18	-3.8759002656e-02	3.8759002656e-02
0.0052799539      	-7.0079339902e-02	-3.5047945533e-02	-3.5031394369e-02	1.6551163650e-05	2.6502767757e-05	-9.9516041069e-06	1.8227185932e-05	-8.2755818290e-06	-3.5039669951e-02	-4.2781334512e-18	-3.5039669951e-02	3.5039669951e-02
0.008735965       	-5.1909653193e-02	-2.5844703915e-02	-2.6064949278e-02	-2.2024536224e-04	7.7236624561e-07	-2.2101772848e-04	1.1089504736e-04	1.1012268113e-04	-2.5954826597e-02	-3.3074195241e-18	-2.5954826597e-02	2.5954826597e-02
0.012882987       	-3.6673131337e-02	-1.8333610602e-02	-1.8339520735e-02	-5.9101334837e-06	2.8144015415e-06	-8.7245350252e-06	5.7694682834e-06	2.9550667417e-06	-1.8336565668e-02	-2.1811558507e-18	-1.8336565668e-02	1.8336565668e-02
0.017859276       	-2.6022394885e-02	-1.3006723735e-02	-1.3015671149e-02	-8.9474139596e-06	-5.9163131093e-06	-3.0311008502e-06	-1.4426061296e-06	4.4737069868e-06	-1.3011197442e-02	-1.4413070724e-18	-1.3011197442e-02	1.3011197442e-02
0.023830625       	-1.8242587527e-02	-9.1114112029e-03	-9.1311763236e-03	-1.9765120681e-05	6.0852064466e-06	-2.5850327127e-05	1.5967766787e-05	9.8825603474e-06	-9.1212937633e-03	-9.3960777720e-19	-9.1212937633e-03	9.1212937633e-03
0.030996814       	-1.2570493067e-02	-6.2493529235e-03	-6.3211401433e-03	-7.1787219831e-05	7.8879001492e-07	-7.2576009846e-05	3.6682399930e-05	3.5893609916e-05	-6.2852465334e-03	-5.7993384716e-19	-6.2852465334e-03	6.2852465334e-03
0.039596241       	-8.2862027773e-03	-4.1704841275e-03	-4.1157186498e-03	5.4765477757e-05	1.1798012067e-05	4.2967465690e-05	-1.5584726812e-05	-2.7382738878e-05	-4.1431013887e-03	-3.2792815133e-19	-4.1431013887e-03	4.1431013887e-03
0.049916738       	-5.2903485943e-03	-2.6426465154e-03	-2.6477020789e-03	-5.0555635830e-06	4.4913151661e-07	-5.5046950996e-06	2.9769133081e-06	2.5277817915e-06	-2.6451742971e-03	-2.1947249421e-19	-2.6451742971e-03	2.6451742971e-03
0.062303042       	-3.2731062112e-03	-1.5907070671e-03	-1.6823991442e-03	-9.1692077109e-05	-2.5237027087e-06	-8.9168374400e-05	4.3322335846e-05	4.5846038555e-05	-1.6365531056e-03	-1.6718856955e-19	-1.6365531056e-03	1.6365531056e-03
0.077167837       	-1.8608083662e-03	-9.4344949565e-04	-9.1735887051e-04	2.6090625138e-05	8.8719454361e-06	1.7218679702e-05	-4.1733671330e-06	-1.3045312569e-05	-9.3040418308e-04	-1.0105193587e-19	-9.3040418308e-04	9.3040418308e-04
0.095000276       	-1.0097216101e-03	-5.0074495680e-04	-5.0897665328e-04	-8.2316964747e-06	-2.8682467724e-06	-5.3634497023e-06	1.2476014649e-06	4.1158482373e-06	-5.0486080504e-04	-4.5902861132e-20	-5.0486080504e-04	5.0486080504e-04
0.11639155        	-4.8433654032e-04	-2.4289555096e-04	-2.4144098936e-04	1.4545615962e-06	8.6037232530e-07	5.9418927089e-07	1.3309152720e-07	-7.2728079832e-07	-2.4216827016e-04	-2.6528549719e-20	-2.4216827016e-04	2.4216827016e-04
0.14206475        	-1.7394557247e-04	-9.1223265484e-05	-8.2722306987e-05	8.5009584977e-06	1.9807842921e-07	8.3028800685e-06	-4.0524008196e-06	-4.2504792486e-06	-8.6972786235e-05	-1.4904434640e-20	-8.6972786235e-05	8.6972786235e-05
0.17231595        	4.6166721980e-05	6.9973382371e-05	-2.3806660392e-05	-9.3780042763e-05	-4.1103288108e-06	-8.9669713952e-05	4.2779692571e-05	4.6890021381e-05	2.3083360990e-05	-9.5734097798e-21	2.3083360990e-05	-2.3083360990e-05
0.20716138        	1.7812637738e-04	6.0428318123e-05	1.1769805925e-04	5.7269741131e-05	1.0575003534e-06	5.6212240778e-05	-2.7577370212e-05	-2.8634870566e-05	8.9063188689e-05	-5.0587272096e-21	8.9063188689e-05	-8.9063188689e-05
0.24662209        	2.2022647263e-04	1.0337792540e-04	1.1684854723e-04	1.3470621827e-05	8.4267794413e-06	5.0438423854e-06	1.6914685280e-06	-6.7353109134e-06	1.1011323632e-04	-2.8847704617e-21	1.1011323632e-04	-1.1011323632e-04
0.29070117        	2.5192912001e-04	8.7586071665e-05	1.6434304834e-04	7.6756976677e-05	1.3364471411e-06	7.5420529536e-05	-3.7042041197e-05	-3.8378488338e-05	1.2596456000e-04	-1.7212155779e-21	1.2596456000e-04	-1.2596456000e-04
0.33661972        	2.6620675230e-04	9.4239679066e-05	1.7196707324e-04	7.7727394172e-05	-1.6523600077e-06	7.9379754179e-05	-4.0516057093e-05	-3.8863697086e-05	1.3310337615e-04	-1.0089733684e-21	1.3310337615e-04	-1.3310337615e-04
0.38253826        	2.7866378600e-04	1.4373562941e-04	1.3492815659e-04	-8.8074728196e-06	2.9403079858e-06	-1.1747780805e-05	7.3440443956e-06	4.4037364098e-06	1.3933189300e-04	-5.7860028409e-22	1.3933189300e-04	-1.3933189300e-04
0.42845681        	2.5652741937e-04	1.4312465047e-04	1.1340276890e-04	-2.9721881564e-05	-2.8733927427e-06	-2.6848488821e-05	1.1987548039e-05	1.4860940782e-05	1.2826370968e-04	-1.4028488888e-22	1.2826370968e-04	-1.2826370968e-04
0.47437535        	2.6657910920e-04	1.4428471225e-04	1.2229439695e-04	-2.1990315304e-05	-1.4673512798e-05	-7.3168025054e-06	-3.6783551464e-06	1.0995157652e-05	1.3328955460e-04	1.5187510309e-22	1.3328955460e-04	-1.3328955460e-04
0.5202939         	2.8097087345e-04	1.4955031884e-04	1.3142055461e-04	-1.8129764238e-05	-4.0592127809e-06	-1.4070551457e-05	5.0056693379e-06	9.0648821188e-06	1.4048543673e-04	3.1990648639e-22	1.4048543673e-04	-1.4048543673e-04
0.56621244        	2.7889411107e-04	1.0284619155e-04	1.7604791952e-04	7.3201727971e-05	1.6141224324e-06	7.1587605538e-05	-3.4986741553e-05	-3.6600863985e-05	1.3944705553e-04	4.0048792847e-22	1.3944705553e-04	-1.3944705553e-04
0.61213099        	2.6439183171e-04	1.3913077337e-04	1.2526105834e-04	-1.3869715032e-05	-1.1013016078e-05	-2.8566989535e-06	-4.0781585623e-06	6.9348575158e-06	1.3219591585e-04	3.9740783909e-22	1.3219591585e-04	-1.3219591585e-04
0.65804953        	2.7311595264e-04	2.7283998633e-04	2.7596630673e-07	-2.7256402002e-04	-5.1743143038e-06	-2.6738970572e-04	1.3110769571e-04	1.3628201001e-04	1.3655797632e-04	3.6710281007e-22	1.3655797632e-04	-1.3655797632e-04
0.70389633        	2.8467738254e-04	1.2887510468e-04	1.5580227786e-04	2.6927173189e-05	1.6233810600e-06	2.5303792129e-05	-1.1840205535e-05	-1.3463586595e-05	1.4233869127e-04	2.9215923946e-22	1.4233869127e-04	-1.4233869127e-04
0.74974313        	2.7152768212e-04	1.6824444659e-04	1.0328323553e-04	-6.4961211059e-05	-1.1673468012e-05	-5.3287743047e-05	2.0807137518e-05	3.2480605530e-05	1.3576384106e-04	2.0558953564e-22	1.3576384106e-04	-1.3576384106e-04
0.79558993        	2.8716811495e-04	1.2684145304e-04	1.6032666191e-04	3.3485208866e-05	2.6298553808e-06	3.0855353485e-05	-1.4112749052e-05	-1.6742604433e-05	1.4358405748e-04	1.1375470051e-22	1.4358405748e-04	-1.4358405748e-04
