# Natural Convection in Tall Cavity: Ra=8.6E+5
# Expts of Betts and Bokhari
# Vertical rms velocity profile through z= 0, y/H= 0.50
#      x (mm)     v' (m/s)
         1.2     0.036
         2.2      0.05
         3.2     0.058
         4.2     0.062
         6.2     0.072
         8.2     0.073
        10.2     0.085
        12.2     0.082
        14.2     0.087
        16.2     0.081
        18.2     0.077
        23.2     0.087
        28.2     0.101
        33.2     0.105
        38.2     0.094
        43.2     0.099
        48.2     0.098
        53.2     0.093
        58.2     0.091
        60.2      0.09
        62.2     0.086
        64.2      0.08
        66.2     0.085
        68.2     0.074
        70.2      0.07
        71.2     0.062
        72.2      0.06
        73.2     0.058
