# Natural Convection in Tall Cavity: Ra=8.6E+5
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.95
#  x (mm)    T (deg C)
   0.33     15.73 
   0.58     16.39 
   0.84     17.08 
   1.09     17.7  
   1.6      19.08 
   2.11     20.48 
   2.61     21.65 
   3.25     22.77 
   3.88     24.09 
   5.15     26.26 
   6.42     27.86 
   7.69     28.93 
   8.96     29.6  
   10.23    30.12 
   11.5     30.43 
   12.77    30.52 
   15.31    30.77 
   20.39    30.69 
   25.47    30.64 
   28.01    30.63 
   33.09    30.63 
   38.17    30.77 
   40.57    30.69 
   45.65    30.72 
   50.73    30.77 
   53.27    30.81 
   55.81    30.86 
   58.35    30.92 
   60.89    31.1  
   63.43    31.38 
   65.97    31.7  
   67.24    31.78 
   68.51    32    
   69.78    32.24 
   71.05    32.61 
   72.32    32.95 
   72.95    33.39 
   73.59    33.55 
   74.09    33.83 
   74.6     34.14 
   75.11    34.48 
   75.36    34.41 
   75.62    34.73 
   75.87    34.98 
