# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Vertical mean velocity profile through z= 0, y/H= 0.50
#      x (mm)     V (m/s)
         2    -0.15  
         3   -0.167  
         4   -0.178  
         5   -0.189  
         6   -0.188  
         7   -0.185  
         9   -0.168  
        11   -0.151  
        13   -0.143
        15   -0.128  
        17   -0.118  
        19     -0.1  
        24   -0.068  
        29   -0.039  
        34   -0.022  
        39    0.012  
        44    0.037  
      48.2    0.052  
      54.2    0.088  
      58.2    0.112  
      60.2    0.128  
      62.2     0.15  
      64.2    0.163  
      66.2    0.172  
      67.2    0.185  
      68.2    0.187  
      69.2    0.188  
      70.2     0.19  
      71.2    0.188  
      72.2    0.175  
      73.2    0.158  
