# M_hi_f_LS: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
500	8.598488937e+01	0.027653515	2.060491916e-01	no
1000	1.133255167e+02	0.050771927	1.540860137e-01	no
1500	1.000832268e+02	0.049910151	1.702246283e-01	no
2000	9.544323325e+01	0.039681562	1.901494602e-01	no
2500	9.450741729e+01	0.031689143	2.068810185e-01	no
3000	9.340958706e+01	0.026250331	2.205295002e-01	no
3500	9.246373322e+01	0.022361914	2.290487920e-01	no
4000	9.189040340e+01	0.019531266	2.340312802e-01	no
4500	9.160428253e+01	0.017924112	2.365971168e-01	no
5000	9.147794935e+01	0.017443408	2.378043995e-01	no
5500	9.142447776e+01	0.017589611	2.383393868e-01	no
6000	9.140027831e+01	0.017918967	2.385884175e-01	no
6500	9.138848138e+01	0.018220788	2.387093333e-01	no
7000	9.138275753e+01	0.018439094	2.387689916e-01	no
7500	9.138002880e+01	0.018581288	2.387984444e-01	no
8000	9.137874865e+01	0.018668775	2.388129038e-01	no
8500	9.137815466e+01	0.018720765	2.388199879e-01	no
9000	9.137788198e+01	0.018750921	2.388234506e-01	no
9500	9.137775794e+01	0.018768105	2.388251421e-01	no
10000	9.137770224e+01	0.018777760	2.388259677e-01	no
10500	9.137767767e+01	0.018783123	2.388263701e-01	no
11000	9.137766711e+01	0.018786074	2.388265660e-01	no
11500	9.137766274e+01	0.018787686	2.388266612e-01	no
12000	9.137766103e+01	0.018788560	2.388267077e-01	no
12500	9.137766042e+01	0.018789032	2.388267302e-01	no
13000	9.137766025e+01	0.018789286	2.388267413e-01	no
13500	9.137766026e+01	0.018789421	2.388267461e-01	no
14000	9.137766024e+01	0.018789493	2.388267487e-01	no
14500	9.137766031e+01	0.018789532	2.388267502e-01	no
15000	9.137766035e+01	0.018789552	2.388267506e-01	no
15500	9.137766029e+01	0.018789563	2.388267507e-01	no
16000	9.137766050e+01	0.018789569	2.388267506e-01	no
16500	9.137766032e+01	0.018789572	2.388267511e-01	no
17000	9.137766043e+01	0.018789573	2.388267510e-01	no
17500	9.137766039e+01	0.018789574	2.388267513e-01	no
18000	9.137766040e+01	0.018789574	2.388267513e-01	no
18500	9.137766043e+01	0.018789574	2.388267514e-01	no
19000	9.137766040e+01	0.018789574	2.388267514e-01	no
19500	9.137766043e+01	0.018789575	2.388267514e-01	no
20000	9.137766041e+01	0.018789575	2.388267514e-01	no
20500	9.137766043e+01	0.018789575	2.388267514e-01	no
21000	9.137766042e+01	0.018789575	2.388267514e-01	no
21500	9.137766042e+01	0.018789575	2.388267514e-01	no
22000	9.137766042e+01	0.018789575	2.388267514e-01	no
22500	9.137766042e+01	0.018789575	2.388267514e-01	no
23000	9.137766042e+01	0.018789575	2.388267514e-01	no
23500	9.137766043e+01	0.018789575	2.388267514e-01	no
24000	9.137766043e+01	0.018789575	2.388267514e-01	no
24500	9.137766043e+01	0.018789575	2.388267514e-01	no
25000	9.137766043e+01	0.018789575	2.388267514e-01	no
25500	9.137766043e+01	0.018789575	2.388267514e-01	no
26000	9.137766043e+01	0.018789575	2.388267514e-01	no
26500	9.137766043e+01	0.018789575	2.388267514e-01	no
27000	9.137766044e+01	0.018789575	2.388267514e-01	no
27500	9.137766044e+01	0.018789575	2.388267514e-01	no
28000	9.137766044e+01	0.018789575	2.388267514e-01	no
28500	9.137766044e+01	0.018789575	2.388267514e-01	no
29000	9.137766044e+01	0.018789575	2.388267514e-01	no
29500	9.137766044e+01	0.018789575	2.388267514e-01	no
30000	9.137766044e+01	0.018789575	2.388267514e-01	no
30500	9.137766043e+01	0.018789575	2.388267514e-01	no
31000	9.137766043e+01	0.018789575	2.388267514e-01	no
31500	9.137766043e+01	0.018789575	2.388267514e-01	no
32000	9.137766043e+01	0.018789575	2.388267514e-01	no
32500	9.137766043e+01	0.018789575	2.388267514e-01	no
33000	9.137766043e+01	0.018789575	2.388267514e-01	no
33500	9.137766043e+01	0.018789575	2.388267514e-01	no
34000	9.137766042e+01	0.018789575	2.388267514e-01	no
34500	9.137766042e+01	0.018789575	2.388267514e-01	no
35000	9.137766042e+01	0.018789575	2.388267514e-01	no
35500	9.137766042e+01	0.018789575	2.388267514e-01	no
36000	9.137766042e+01	0.018789575	2.388267514e-01	no
36500	9.137766042e+01	0.018789575	2.388267514e-01	no
37000	9.137766042e+01	0.018789575	2.388267514e-01	no
37500	9.137766042e+01	0.018789575	2.388267514e-01	no
38000	9.137766042e+01	0.018789575	2.388267514e-01	no
38500	9.137766042e+01	0.018789575	2.388267514e-01	no
39000	9.137766043e+01	0.018789575	2.388267514e-01	no
39500	9.137766043e+01	0.018789575	2.388267514e-01	no
39600	9.137766043e+01	0.018789575	2.388267514e-01	yes
39650	9.137766043e+01	0.018789575	2.388267514e-01	yes
39700	9.137766043e+01	0.018789575	2.388267514e-01	yes
39750	9.137766043e+01	0.018789575	2.388267514e-01	yes
39800	9.137766043e+01	0.018789575	2.388267514e-01	yes
39850	9.137766043e+01	0.018789575	2.388267514e-01	yes
39900	9.137766043e+01	0.018789575	2.388267514e-01	yes
39950	9.137766043e+01	0.018789575	2.388267514e-01	yes
40000	9.137766043e+01	0.018789575	2.388267514e-01	yes
