# S_hi_c_seed100: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
500	7.062843788e+01	0.249941342	2.340726125e-01	no
1000	6.514187683e+01	0.242925539	2.610386242e-01	no
1500	6.487048794e+01	0.242174688	2.613115821e-01	no
2000	6.485673051e+01	0.242216427	2.612108266e-01	no
2500	6.485047003e+01	0.242282899	2.612516023e-01	no
3000	6.485309558e+01	0.242279806	2.612402962e-01	no
3500	6.485403042e+01	0.242296963	2.612366446e-01	no
4000	6.485508518e+01	0.242304960	2.612338574e-01	no
4500	6.485650120e+01	0.242310641	2.612334161e-01	no
5000	6.485826692e+01	0.242310984	2.612364144e-01	no
5500	6.486029748e+01	0.242304936	2.612430466e-01	no
6000	6.486245797e+01	0.242291708	2.612534467e-01	no
6500	6.486456866e+01	0.242271014	2.612676182e-01	no
7000	6.486641479e+01	0.242243252	2.612849643e-01	no
7500	6.486776186e+01	0.242209447	2.613046030e-01	no
8000	6.486837421e+01	0.242171438	2.613251216e-01	no
8500	6.486803083e+01	0.242131907	2.613446819e-01	no
9000	6.486659919e+01	0.242093804	2.613616924e-01	no
9500	6.486391463e+01	0.242060673	2.613737421e-01	no
10000	6.485999930e+01	0.242035694	2.613788153e-01	no
10500	6.485877393e+01	0.242260523	2.613067966e-01	no
11000	6.485779804e+01	0.242262968	2.612676080e-01	no
11500	6.486541689e+01	0.242106003	2.613510085e-01	no
12000	6.486388887e+01	0.242082167	2.613634201e-01	no
12500	6.486085294e+01	0.242057990	2.613694515e-01	no
13000	6.485646010e+01	0.242044362	2.613680022e-01	no
13500	6.485785674e+01	0.242199100	2.613077010e-01	no
14000	6.485090651e+01	0.242234864	2.612645990e-01	no
14500	6.484923340e+01	0.242252587	2.612495785e-01	no
15000	6.484827224e+01	0.242281869	2.612334565e-01	no
15500	6.484803066e+01	0.242312496	2.612176684e-01	no
16000	6.484860803e+01	0.242343292	2.612030872e-01	no
16500	6.485011405e+01	0.242371382	2.611915894e-01	no
17000	6.485260907e+01	0.242393415	2.611848542e-01	no
17500	6.485604221e+01	0.242406640	2.611842803e-01	no
18000	6.486042227e+01	0.242407381	2.611913729e-01	no
18500	6.486527929e+01	0.242335861	2.612542287e-01	no
19000	6.485684886e+01	0.242239616	2.612305850e-01	no
19500	6.487196750e+01	0.242160472	2.613287673e-01	no
20000	6.486842268e+01	0.242142646	2.613414539e-01	no
