time_s,rack0_in_T_K,rack1_in_T_K,rack2_in_T_K,rack3_in_T_K,mean_of_four_K,window
0.1928,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
0.4233,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
0.5930,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
0.7833,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
0.9769,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
1.1735,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
1.3722,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
1.5730,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
1.7761,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
1.9814,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
2.1892,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
2.3969,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
2.6004,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
2.7959,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
2.9804,289.000000,289.000000,289.000000,289.000000,289.000000,discarded_0_40
3.2371,289.000001,289.000000,289.000000,289.000001,289.000000,discarded_0_40
3.3967,289.000001,289.000000,289.000000,289.000001,289.000000,discarded_0_40
3.6252,289.000002,289.000000,289.000000,289.000002,289.000001,discarded_0_40
3.7734,289.000002,289.000000,289.000000,289.000002,289.000001,discarded_0_40
3.9937,289.000004,289.000000,289.000000,289.000004,289.000002,discarded_0_40
4.2167,289.000007,289.000000,289.000000,289.000007,289.000003,discarded_0_40
4.3681,289.000009,289.000000,289.000000,289.000009,289.000005,discarded_0_40
4.5950,289.000014,289.000000,289.000000,289.000014,289.000007,discarded_0_40
4.8273,289.000021,289.000000,289.000000,289.000021,289.000010,discarded_0_40
4.9896,289.000027,289.000000,289.000000,289.000027,289.000013,discarded_0_40
5.2384,289.000038,289.000000,289.000000,289.000038,289.000019,discarded_0_40
5.4096,289.000047,289.000000,289.000000,289.000047,289.000023,discarded_0_40
5.5823,289.000057,289.000000,289.000000,289.000057,289.000028,discarded_0_40
5.7565,289.000068,289.000000,289.000000,289.000068,289.000034,discarded_0_40
6.0203,289.000088,289.000000,289.000000,289.000088,289.000044,discarded_0_40
6.1984,289.000104,289.000000,289.000000,289.000104,289.000052,discarded_0_40
6.3782,289.000126,289.000001,289.000001,289.000126,289.000063,discarded_0_40
6.5610,289.000155,289.000001,289.000001,289.000155,289.000078,discarded_0_40
6.8353,289.000216,289.000007,289.000007,289.000216,289.000112,discarded_0_40
7.0181,289.000266,289.000022,289.000022,289.000266,289.000144,discarded_0_40
7.2023,289.000347,289.000055,289.000055,289.000347,289.000201,discarded_0_40
7.3864,289.000416,289.000170,289.000171,289.000416,289.000293,discarded_0_40
7.5686,289.000510,289.000404,289.000405,289.000510,289.000457,discarded_0_40
7.8057,289.000589,289.000978,289.000980,289.000589,289.000784,discarded_0_40
8.0342,289.000720,289.001890,289.001892,289.000720,289.001306,discarded_0_40
8.2033,289.000837,289.002860,289.002865,289.000837,289.001850,discarded_0_40
8.4384,289.001081,289.004666,289.004668,289.001081,289.002874,discarded_0_40
8.5952,289.001137,289.006011,289.006009,289.001138,289.003574,discarded_0_40
8.8362,289.001655,289.008340,289.008340,289.001655,289.004998,discarded_0_40
8.9762,289.002398,289.010027,289.010024,289.002397,289.006211,discarded_0_40
9.2179,289.003085,289.012315,289.012313,289.003085,289.007700,discarded_0_40
9.3791,289.003926,289.013805,289.013803,289.003928,289.008865,discarded_0_40
9.5988,289.005682,289.015762,289.015759,289.005684,289.010722,discarded_0_40
9.7615,289.006497,289.016785,289.016778,289.006501,289.011640,discarded_0_40
10.0103,289.008842,289.018180,289.018169,289.008840,289.013508,discarded_0_40
10.2272,289.010427,289.018568,289.018551,289.010413,289.014490,discarded_0_40
10.3903,289.010529,289.018557,289.018540,289.010531,289.014539,discarded_0_40
10.5611,289.011632,289.018380,289.018367,289.011636,289.015004,discarded_0_40
10.7966,289.013530,289.018000,289.017987,289.013551,289.015767,discarded_0_40
10.9662,289.014393,289.017387,289.017379,289.014428,289.015897,discarded_0_40
11.2102,289.015213,289.016299,289.016293,289.015253,289.015764,discarded_0_40
11.3785,289.015785,289.015469,289.015461,289.015804,289.015630,discarded_0_40
11.6321,289.016516,289.014327,289.014317,289.016504,289.015416,discarded_0_40
11.7925,289.015377,289.013439,289.013434,289.015371,289.014405,discarded_0_40
12.0413,289.016294,289.012622,289.012624,289.016313,289.014463,discarded_0_40
12.2071,289.017001,289.012356,289.012356,289.017005,289.014680,discarded_0_40
12.3729,289.018301,289.012086,289.012093,289.018306,289.015196,discarded_0_40
12.6216,289.018418,289.012072,289.012082,289.018433,289.015251,discarded_0_40
12.7865,289.021510,289.012485,289.012497,289.021507,289.017000,discarded_0_40
13.0334,289.023512,289.013541,289.013560,289.023589,289.018551,discarded_0_40
13.1973,289.028343,289.014898,289.014918,289.028435,289.021648,discarded_0_40
13.3612,289.032381,289.016621,289.016664,289.032511,289.024544,discarded_0_40
13.6071,289.040027,289.020450,289.020488,289.040060,289.030256,discarded_0_40
13.7721,289.046428,289.024056,289.024085,289.046489,289.035265,discarded_0_40
14.0224,289.057682,289.031419,289.031361,289.055242,289.043926,discarded_0_40
14.1907,289.059567,289.037972,289.038409,289.062257,289.049551,discarded_0_40
14.3604,289.069851,289.046657,289.046488,289.074509,289.059376,discarded_0_40
14.6194,289.088365,289.063723,289.063405,289.094613,289.077527,discarded_0_40
14.7944,289.109126,289.077884,289.078934,289.102528,289.092118,discarded_0_40
14.9724,289.119001,289.097215,289.097397,289.117085,289.107674,discarded_0_40
15.2385,289.146078,289.131793,289.131667,289.146851,289.139097,discarded_0_40
15.4149,289.169307,289.159750,289.159667,289.168451,289.164294,discarded_0_40
15.5912,289.195622,289.192149,289.192022,289.193750,289.193386,discarded_0_40
15.7676,289.224254,289.229106,289.228866,289.221794,289.226005,discarded_0_40
16.0267,289.269424,289.291852,289.291409,289.266575,289.279815,discarded_0_40
16.2014,289.301607,289.339682,289.339102,289.298714,289.319776,discarded_0_40
16.3781,289.334786,289.392657,289.391966,289.331935,289.362836,discarded_0_40
16.6431,289.384296,289.480085,289.479274,289.381588,289.431311,discarded_0_40
16.8198,289.416551,289.543705,289.542850,289.413945,289.479263,discarded_0_40
16.9965,289.447538,289.611805,289.610937,289.445066,289.528836,discarded_0_40
17.1732,289.477115,289.685377,289.684508,289.474802,289.580450,discarded_0_40
17.4382,289.518242,289.808856,289.808023,289.516241,289.662840,discarded_0_40
17.6090,289.542836,289.896263,289.895531,289.541104,289.718934,discarded_0_40
17.7798,289.566263,289.984346,289.983818,289.564872,289.774824,discarded_0_40
18.0359,289.599153,290.108943,290.108940,289.598317,289.853838,discarded_0_40
18.2067,289.619537,290.181843,290.182279,289.619088,289.900687,discarded_0_40
18.3775,289.678049,290.238681,290.239641,289.677988,289.958590,discarded_0_40
18.6337,289.679937,290.324852,290.326515,289.680289,290.002898,discarded_0_40
18.8045,289.690768,290.364449,290.366472,289.691467,290.028289,discarded_0_40
18.9753,289.704028,290.394372,290.396727,289.705022,290.050037,discarded_0_40
19.2315,289.730687,290.423506,290.432668,289.749912,290.084193,discarded_0_40
19.4022,289.738741,290.437269,290.446608,289.752203,290.093705,discarded_0_40
19.5730,289.760678,290.436057,290.453715,289.760720,290.102792,discarded_0_40
19.8292,289.772684,290.445019,290.455409,289.778252,290.112841,discarded_0_40
20.0000,289.782249,290.443546,290.452261,289.791837,290.117473,discarded_0_40
20.1709,289.795049,290.439348,290.447089,289.806230,290.121929,discarded_0_40
20.4274,289.819184,290.432753,290.438975,289.829953,290.130216,discarded_0_40
20.5987,289.837698,290.429157,290.434094,289.847279,290.137057,discarded_0_40
20.7704,289.857769,290.427082,290.430551,289.865814,290.145304,discarded_0_40
21.0271,289.890609,290.427735,290.428855,289.896480,290.160920,discarded_0_40
21.1988,289.915023,290.431668,290.431254,289.919494,290.174360,discarded_0_40
21.3694,289.941054,290.439447,290.437598,289.944390,290.190622,discarded_0_40
21.6219,289.983399,290.459348,290.455579,289.985227,290.220888,discarded_0_40
21.7886,290.014160,290.478580,290.473699,290.015031,290.245367,discarded_0_40
22.0373,290.063765,290.516745,290.510386,290.063267,290.288541,discarded_0_40
22.2029,290.100337,290.548704,290.541508,290.099106,290.322414,discarded_0_40
22.3692,290.141259,290.586063,290.578148,290.139222,290.361173,discarded_0_40
22.6203,290.208788,290.650423,290.641693,290.205678,290.426646,discarded_0_40
22.7886,290.257569,290.697870,290.688828,290.253782,290.474512,discarded_0_40
22.9577,290.308818,290.748501,290.739405,290.304442,290.525291,discarded_0_40
23.2130,290.382089,290.828784,290.820060,290.376818,290.601938,discarded_0_40
23.3843,290.427596,290.886118,290.877970,290.421928,290.653403,discarded_0_40
23.6430,290.477444,290.980255,290.973530,290.471325,290.725638,discarded_0_40
23.8165,290.498118,291.049170,291.043654,290.492000,290.770736,discarded_0_40
23.9906,290.504948,291.121134,291.116931,290.498864,290.810469,discarded_0_40
24.1655,290.495718,291.191213,291.188358,290.489886,290.841294,discarded_0_40
24.4294,290.461019,291.288204,291.287390,290.455879,290.873123,discarded_0_40
24.6064,290.424738,291.345671,291.346112,290.420207,290.884182,discarded_0_40
24.7833,290.383265,291.397301,291.398890,290.379448,290.889726,discarded_0_40
24.9608,290.340819,291.444099,291.446569,290.337802,290.892322,discarded_0_40
25.2277,290.282591,291.507416,291.510730,290.280900,290.895410,discarded_0_40
25.4057,290.248833,291.547745,291.551389,290.247721,290.898922,discarded_0_40
25.5837,290.220588,291.584102,291.587901,290.220014,290.903151,discarded_0_40
25.7611,290.197963,291.614875,291.618669,290.197725,290.907308,discarded_0_40
26.0264,290.239148,291.656058,291.659637,290.239195,290.948510,discarded_0_40
26.2022,290.193881,291.668987,291.671980,290.193989,290.932209,discarded_0_40
26.3774,290.177215,291.673272,291.675685,290.177375,290.925887,discarded_0_40
26.6388,290.189890,291.675141,291.676403,290.189931,290.932841,discarded_0_40
26.8118,290.196048,291.657203,291.657873,290.195992,290.926779,discarded_0_40
26.9842,290.192211,291.634476,291.634479,290.192024,290.913298,discarded_0_40
27.2405,290.203354,291.610783,291.609504,290.202937,290.906644,discarded_0_40
27.4101,290.242119,291.586886,291.584944,290.241469,290.913854,discarded_0_40
27.5785,290.220432,291.554048,291.551604,290.219800,290.886471,discarded_0_40
27.8297,290.249370,291.510296,291.507195,290.248604,290.878867,discarded_0_40
27.9959,290.248833,291.472575,291.469092,290.248060,290.859640,discarded_0_40
28.1614,290.294846,291.441090,291.437128,290.293972,290.866759,discarded_0_40
28.4098,290.286000,291.391431,291.387160,290.285172,290.837441,discarded_0_40
28.5754,290.291497,291.358076,291.353512,290.290704,290.823447,discarded_0_40
28.8249,290.314855,291.308082,291.303180,290.314191,290.810077,discarded_0_40
28.9917,290.373674,291.280295,291.275152,290.373040,290.825540,discarded_0_40
29.1592,290.363732,291.259289,291.254132,290.363263,290.810104,discarded_0_40
29.4106,290.380826,291.219774,291.214537,290.380510,290.798911,discarded_0_40
29.5787,290.423361,291.201266,291.196010,290.422955,290.810898,discarded_0_40
29.8309,290.434951,291.168915,291.163781,290.434757,290.800601,discarded_0_40
29.9989,290.489120,291.145157,291.140059,290.488843,290.815795,discarded_0_40
30.1670,290.478687,291.137952,291.133005,290.478414,290.807014,discarded_0_40
30.4192,290.485850,291.116512,291.111708,290.485548,290.799904,discarded_0_40
30.5872,290.537187,291.099526,291.094885,290.536772,290.817092,discarded_0_40
30.8394,290.526799,291.102291,291.097709,290.526195,290.813248,discarded_0_40
31.0067,290.527529,291.100538,291.095998,290.526688,290.812689,discarded_0_40
31.1732,290.531324,291.101435,291.096896,290.530557,290.815053,discarded_0_40
31.4230,290.540604,291.109938,291.105401,290.539769,290.823928,discarded_0_40
31.5888,290.547050,291.120658,291.116098,290.546129,290.832484,discarded_0_40
31.8370,290.555315,291.143759,291.139147,290.554206,290.848107,discarded_0_40
32.0028,290.561387,291.164103,291.159440,290.560440,290.861342,discarded_0_40
32.1694,290.567357,291.188370,291.183665,290.566519,290.876478,discarded_0_40
32.4193,290.575289,291.231262,291.226561,290.574370,290.901870,discarded_0_40
32.5859,290.580188,291.263876,291.259207,290.579108,290.920595,discarded_0_40
