figure	run	artifact	time_dir	window	patches	camera	colour_range	sha256
k2t_residuals.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/log.buoyantBoussinesqPimpleFoam	log	0 to 80 s (whole record)	-	-	-	8c403b5738ea4ad0cbdb149c2e4d5cb1546d3ce32654ffbf9eccc72aa35a3158
k2t_ride_through.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/postProcessing/T_rack0_in_mdot/0/surfaceFieldValue.dat	0	0 to 80 s (whole record)	rack0_in	-	-	3d618f4a9f0b22e07fa289434886373f8572bd8adec375d33c0f4866dff683a8
k2t_ride_through.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/postProcessing/T_rack1_in_mdot/0/surfaceFieldValue.dat	0	0 to 80 s (whole record)	rack1_in	-	-	8034ff7a8699b98c45c4ea8c758355660051868ef615f11b8ea48dc210ee88ce
k2t_ride_through.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/postProcessing/T_rack2_in_mdot/0/surfaceFieldValue.dat	0	0 to 80 s (whole record)	rack2_in	-	-	a8a7556e5f6a838069f1ff2152be06713e12b87a8aa53685ffc78694d5ce9569
k2t_ride_through.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/postProcessing/T_rack3_in_mdot/0/surfaceFieldValue.dat	0	0 to 80 s (whole record)	rack3_in	-	-	0282f3f605fab57b23235201577dd21616b07709077112809d90219b40753e79
k2t_dp_history.png	K2h_L3	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2h_runs/K2h_L3/postProcessing/dp_tile/0/surfaceFieldValue.dat	0	42 to 112 s (registered)	tile, return	-	-	07fc3a49c2c07f7e4cf25a46235b1c6923df7c1c2832175e5fcfa6e099191471
k2t_dp_history.png	K2h_L3	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2h_runs/K2h_L3/postProcessing/dp_tile/10/surfaceFieldValue.dat	10	42 to 112 s (registered)	tile, return	-	-	986dbcfa5833992341a2328f2215b3d0f8ea6a6c8816bb73cfb0e1b074b36123
k2t_inlet_profiles.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/T	60	50 to 80 s: mean of written times 60, 80	rack0_in	-	-	8303943128e366c8d4c7bdbdd9ea581b80c68a11577fb4ab9c5526bd5c1a8067
k2t_inlet_profiles.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/T	60	50 to 80 s: mean of written times 60, 80	rack1_in	-	-	8303943128e366c8d4c7bdbdd9ea581b80c68a11577fb4ab9c5526bd5c1a8067
k2t_inlet_profiles.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/T	60	50 to 80 s: mean of written times 60, 80	rack2_in	-	-	8303943128e366c8d4c7bdbdd9ea581b80c68a11577fb4ab9c5526bd5c1a8067
k2t_inlet_profiles.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/T	60	50 to 80 s: mean of written times 60, 80	rack3_in	-	-	8303943128e366c8d4c7bdbdd9ea581b80c68a11577fb4ab9c5526bd5c1a8067
k2t_inlet_profiles.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/T	80	50 to 80 s: mean of written times 60, 80	rack0_in	-	-	c1a298cfb3a17ff96aa73a4e5226a1b7760e4e08666113bbd1cf3131b70dc8d7
k2t_inlet_profiles.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/T	80	50 to 80 s: mean of written times 60, 80	rack1_in	-	-	c1a298cfb3a17ff96aa73a4e5226a1b7760e4e08666113bbd1cf3131b70dc8d7
k2t_inlet_profiles.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/T	80	50 to 80 s: mean of written times 60, 80	rack2_in	-	-	c1a298cfb3a17ff96aa73a4e5226a1b7760e4e08666113bbd1cf3131b70dc8d7
k2t_inlet_profiles.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/T	80	50 to 80 s: mean of written times 60, 80	rack3_in	-	-	c1a298cfb3a17ff96aa73a4e5226a1b7760e4e08666113bbd1cf3131b70dc8d7
k2t_indices.png	K2h_L3	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2h_runs/K2h_L3/110/TMean	110	42 to 110 s (K2h fieldAverage)	tile, return, rack0..3_in, rack0..3_out	-	-	9536baeccc961046996249022066d8d9340ffde11e2f0010275e20ebb51d764f
k2t_indices.png	K2h_L3	/home/ubuntu/Certonomous/docs/campaigns/F14-cooling-ladder/demo/plots_K2_transient/k2t_indices.csv	110	42 to 110 s (K2h fieldAverage)	-	-	-	4793e5d97778fa085762ad3712ca7dee4110aa6ddad3d82353996d6ffd67a656
k2t_rack_dT.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/T	60	50 to 80 s: mean of written times 60, 80	rack0..3_in, rack0..3_out	-	-	8303943128e366c8d4c7bdbdd9ea581b80c68a11577fb4ab9c5526bd5c1a8067
k2t_rack_dT.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/T	80	50 to 80 s: mean of written times 60, 80	rack0..3_in, rack0..3_out	-	-	c1a298cfb3a17ff96aa73a4e5226a1b7760e4e08666113bbd1cf3131b70dc8d7
k2t_airflow_balance.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/phi	60	50 to 80 s: mean of written times 60, 80	tile, rack0..3_in	-	-	e7a1aa1242cdf4bb964b12141aee4b62560ab639e66b858a4dc9a127a46ee132
k2t_airflow_balance.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/phi	80	50 to 80 s: mean of written times 60, 80	tile, rack0..3_in	-	-	c532eb799f9fe94dd8511843578d6c9c56d149fbdd2bb6574249351a5afea2cd
