time_s,DP_module_m2_s2
0.0059312,28.064201648
0.0118694,28.018398866
0.0178006,27.99375297
0.0237248,27.981611612
0.0296489,27.975486807
0.035566,27.973931572
0.0414831,27.972825552
0.0474002,27.972418309
0.0533173,27.97233807
0.0592273,27.973058056
0.0651373,27.972817236
0.0710473,27.972831585
0.0769573,27.972820557
0.0828673,27.972874637
0.0887773,27.973005503
0.0946874,27.973137614
0.100597,27.973068107
0.106507,27.973252928
0.112417,27.973294885
0.118327,27.973184794
0.124237,27.973146305
0.130147,27.973396521
0.136057,27.973421996
0.141967,27.973532473
0.147877,27.973535627
0.153788,27.973525125
0.159698,27.97361082
0.165608,27.973612704
0.171518,27.973647574
0.177428,27.973738248
0.183338,27.973781478
0.189248,27.973708434
0.195158,27.97390311
0.201068,27.973828411
0.206978,27.973864648
0.212888,27.973831023
0.218798,27.973860411
0.224708,27.973828656
0.230618,27.973959083
0.236528,27.973835706
0.242438,27.97388311
0.248348,27.973870945
0.254258,27.973977159
0.260168,27.973679955
0.266078,27.973880185
0.271988,27.97379478
0.277898,27.973880479
0.283808,27.97369026
0.289718,27.973774767
0.295628,27.97359881
0.301538,27.973726984
0.307448,27.973530622
0.313358,27.973536782
0.319268,27.973383729
0.325178,27.973526062
0.331088,27.973285509
0.336998,27.973370671
0.342908,27.973278366
0.348818,27.973372228
0.354728,27.973187306
0.360638,27.973275406
0.366548,27.973085
0.372458,27.973249032
0.378368,27.973158699
0.384278,27.973224482
0.390188,27.973109692
0.396098,27.97326922
0.402008,27.97315436
0.407918,27.973244709
0.413828,27.97321754
0.419738,27.973279049
0.425648,27.973219914
0.431558,27.973320585
0.437468,27.973206499
0.443378,27.973477269
0.449288,27.973370439
0.455198,27.973438666
0.461108,27.973456222
0.467018,27.973586856
0.472928,27.9734354
0.478838,27.973601806
0.484748,27.973498601
0.490658,27.973582912
0.496568,27.973489555
0.502478,27.973650552
0.508388,27.973520654
0.514298,27.973737648
0.520208,27.973574395
0.526118,27.973730339
0.532028,27.973659827
0.537939,27.973681798
0.543849,27.973570284
0.549759,27.973778996
0.555669,27.973674916
0.561579,27.973743937
0.567489,27.973617473
0.573399,27.973805878
0.579309,27.973697839
0.585219,27.973860328
0.591129,27.973728137
0.597039,27.973770916
0.602949,27.973674042
0.608859,27.973821624
0.614769,27.973627149
0.620679,27.973764329
0.626589,27.973682873
0.632499,27.973802022
0.638409,27.973802477
0.644319,27.973987295
0.650229,27.97395107
0.656139,27.974185778
0.662049,27.974148544
0.667959,27.974259329
0.673869,27.974311509
0.679779,27.97449966
0.685689,27.974415703
0.691599,27.974682454
0.697509,27.974630758
0.703419,27.974752935
0.709329,27.97483582
0.715239,27.974998596
0.721149,27.974926567
0.727059,27.975036518
0.732969,27.975019375
0.738879,27.97516538
0.744789,27.975121497
0.750699,27.975283081
0.756609,27.975145184
0.762519,27.975350581
0.768429,27.97524606
0.774339,27.97532892
0.780249,27.975307187
0.786159,27.97545647
0.792069,27.975301574
0.797979,27.97545989
0.803889,27.975406597
0.809799,27.975448551
0.815709,27.975453024
0.821619,27.975585312
0.827529,27.975421044
0.833439,27.975524531
0.839349,27.975388066
0.845259,27.975524306
0.851169,27.975362593
0.857079,27.97552287
0.862989,27.97536407
0.868899,27.975541997
0.874809,27.975513509
0.880719,27.975717628
0.886629,27.975701044
0.892539,27.97590399
0.898449,27.975964529
0.904359,27.976114014
0.910269,27.976035608
0.916179,27.976141601
0.922089,27.976090306
0.928,27.976293192
0.93391,27.976038579
0.93982,27.976354405
0.94573,27.976287714
0.95164,27.976432086
0.95755,27.976474368
0.96346,27.97669883
0.96937,27.976538556
0.97528,27.976779159
0.98119,27.976706828
0.9871,27.976879854
0.99301,27.976907282
0.99892,27.977078723
1.00483,27.977071912
1.01074,27.977329998
1.01665,27.977274753
1.02256,27.977432544
1.02847,27.977399761
1.03438,27.977622642
1.04029,27.977550625
1.0462,27.977746339
1.05211,27.977664536
1.05802,27.977781162
1.06393,27.97778323
1.06984,27.977940699
1.07575,27.977780249
1.08166,27.978002589
1.08757,27.977930005
1.09348,27.978041082
1.09939,27.97796643
1.1053,27.978081635
1.11121,27.977927762
1.11712,27.978084573
1.12303,27.978003526
1.12894,27.978087416
1.13485,27.978007735
1.14076,27.978019749
