# Ampofo & Karayiannis (2003) IJHMT 46, Fig. 11, p. 3569
# Turbulent diffusivity, turbulent viscosity and turbulent Prandtl number,
# close to the hot wall at mid-height of the square cavity.
#
# DIGITISED from the published figure, not tabulated by the authors.
# Method and uncertainty: K0cS_FIG11_DIGITISATION.md
# Reading uncertainty: +/- 0.15 on alphat/nu and nut/nu (left axis)
#                      +/- 0.04 on Prt (right axis)
# Prt is plotted on the RIGHT axis; Prt = (left_axis_value - 2) / 4.
#
# Rows marked marker=1 sit under a plotted symbol.  Rows marked marker=0 are
# extrema of the authors' own fitted curve between symbols and are NOT data
# points; they are recorded because the curve's sign change is the finding.
#
# NEGATIVE alphat and nut in X = 0.018-0.030 are as plotted.  They are not a
# digitisation artefact and they are not remarked on in the paper's text.
#
#      X=x/L   alphat/nu     nut/nu         Prt   marker
      0.0000       0.00        0.00        0.21        1
      0.0010       0.00        0.00        0.16        1
      0.0020       0.00        0.00        0.11        1
      0.0030       0.05        0.00        0.05        1
      0.0037       0.90        0.00        0.01        1
      0.0067       2.40       -0.05        0.00        1
      0.0095       5.15        1.50        0.30        1
      0.0125       8.10          NA          NA        0
      0.0133       7.80        6.90        0.89        1
      0.0200      -0.55       -0.55        0.90        1
      0.0225      -1.40       -1.40          NA        0
      0.0267      -0.20       -0.20        0.96        1
      0.0333      -0.10       -0.10        1.02        1
