# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Vertical rms velocity profile through z= 0, y/H= 0.50
#      x (mm)     v' (m/s)
         2      0.054
         3      0.069
         4      0.084
         5      0.087
         6      0.091
         7      0.094
         9      0.104
        11      0.105
        15      0.115
        17       0.12
        19      0.124
        24      0.132
        29      0.135
        34      0.138
        39       0.13
        44      0.127
      48.2      0.128
      54.2      0.122
      58.2      0.117
      60.2      0.111
      62.2      0.105
      64.2      0.104
      66.2      0.108
      67.2      0.105
      68.2      0.104
      69.2      0.101
      70.2      0.091
      71.2      0.089
      72.2      0.079
      73.2      0.069
