# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.30
#  x (mm)    T (deg C)
   0.33     17    
   0.58     17.94 
   0.84     18.84 
   1.09     19.84 
   1.6      21.35 
   2.11     22.96 
   2.61     23.88 
   3.25     25.11 
   3.88     26    
   5.15     27.7  
   6.42     28.71 
   7.69     29.1  
   8.96     29.74 
   10.23    29.97 
   11.5     30.29 
   12.77    30.65 
   15.31    31.35 
   17.85    31.83 
   20.39    31.63 
   22.93    32.78 
   25.47    33.12 
   28.01    33.27 
   30.55    33.65 
   33.09    34.15 
   35.63    34.3  
   38.17    34.6  
   40.57    34.2  
   43.11    34.8  
   45.65    35.51 
   48.19    35.72 
   50.73    36.31 
   53.27    36.65 
   55.81    36.7  
   58.35    37.62 
   60.89    38.2  
   63.43    38.42 
   64.7     39.11 
   65.97    39.45 
   67.24    39.86 
   68.51    40.55 
   69.78    41.2  
   71.05    42.51 
   72.32    43.84 
   72.95    44.99 
   73.59    46.47 
   74.09    47.8  
   74.6     48.65 
   75.11    50.38 
   75.36    51.5  
   75.62    52.37 
   75.87    53.27 
