# DIGITIZED from Wibron, Ljung and Lundstrom 2018, Energies 11(3):644, CC-BY.
# Source PDF sha256 4de4798ed5eed60feda123c7a2398674a6a9177f44906175847d90f5227d7b77
# Produced by docs/campaigns/F14-cooling-ladder/digitize_wibron2018.py --write
# NOT TABULATED IN THE PAPER.  Every value below is a figure reading.
# Digitisation increments, derived by the controls printed by the
# command above and restated here so no reader can quote a value
# finer than it was measured (L-28):
#   temperature  +-0.03 K      velocity  +-0.007 m/s      height  +-0.005 m
# More decimals are carried below only so the file round-trips; the
# graded value is the one at the increment.
# Figure 8a,b: computed velocity profiles at L1 and L2 with the
# comparison line moved 5, 10 and 15 cm toward the hot-aisle centre.
# ***NOT A REFERENCE VALUE.***  Figure 8's experiment markers are
# Figure 7a,b's markers (control C6 measures the identity), so this
# figure adds no measurement.  What it adds is the position
# sensitivity dv/dx that the K2c-A L1/L2/L4 row's mandatory +-0.15 m
# sweep is read against.  The turbulence model behind these curves is
# NOT STATED by the paper and control C9 does not identify it.
# Curve velocities carried at the +-0.007 m/s marker-placement bound
# of control C6, measured on this very figure; heights +-0.005 m.
# loc  shift_cm  height_m  velocity_mps
L1       5   -0.0000    0.0000
L1       5    0.0063    0.2791
L1       5    0.0126    0.3948
L1       5    0.0189    0.3797
L1       5    0.0252    0.3598
L1       5    0.0316    0.3404
L1       5    0.0379    0.3209
L1       5    0.0442    0.3033
L1       5    0.0505    0.2887
L1       5    0.0568    0.2768
L1       5    0.0631    0.2699
L1       5    0.0694    0.2671
L1       5    0.0757    0.2650
L1       5    0.0821    0.2655
L1       5    0.0884    0.2687
L1       5    0.0947    0.2744
L1       5    0.1010    0.2825
L1       5    0.1073    0.2919
L1       5    0.1136    0.3021
L1       5    0.1199    0.3093
L1       5    0.1262    0.3174
L1       5    0.1326    0.3265
L1       5    0.1389    0.3352
L1       5    0.1452    0.3423
L1       5    0.1515    0.3497
L1       5    0.1578    0.3575
L1       5    0.1641    0.3655
L1       5    0.1704    0.3724
L1       5    0.1767    0.3790
L1       5    0.1831    0.3858
L1       5    0.1894    0.3928
L1       5    0.1957    0.4001
L1       5    0.2020    0.4012
L1       5    0.2083    0.4016
L1       5    0.2146    0.4021
L1       5    0.2209    0.4030
L1       5    0.2273    0.4041
L1       5    0.2336    0.4040
L1       5    0.2399    0.4036
L1       5    0.2462    0.4031
L1       5    0.2525    0.4027
L1       5    0.2588    0.4022
L1       5    0.2651    0.4018
L1       5    0.2714    0.4013
L1       5    0.2778    0.4009
L1       5    0.2841    0.3997
L1       5    0.2904    0.3984
L1       5    0.2967    0.3971
L1       5    0.3030    0.3957
L1       5    0.3093    0.3949
L1       5    0.3156    0.3950
L1       5    0.3219    0.3953
L1       5    0.3283    0.3953
L1       5    0.3346    0.3949
L1       5    0.3409    0.3942
L1       5    0.3472    0.3933
L1       5    0.3535    0.3923
L1       5    0.3598    0.3914
L1       5    0.3661    0.3905
L1       5    0.3724    0.3896
L1       5    0.3788    0.3887
L1       5    0.3851    0.3880
L1       5    0.3914    0.3889
L1       5    0.3977    0.3899
L1       5    0.4040    0.3909
L1       5    0.4103    0.3920
L1       5    0.4166    0.3930
L1       5    0.4229    0.3941
L1       5    0.4293    0.3952
L1       5    0.4356    0.3959
L1       5    0.4419    0.3957
L1       5    0.4482    0.3955
L1       5    0.4545    0.3954
L1       5    0.4608    0.3953
L1       5    0.4671    0.3971
L1       5    0.4734    0.3988
L1       5    0.4798    0.4005
L1       5    0.4861    0.4023
L1       5    0.4924    0.4041
L1       5    0.4987    0.4058
L1       5    0.5050    0.4076
L1       5    0.5113    0.4094
L1       5    0.5176    0.4107
L1       5    0.5239    0.4118
L1       5    0.5303    0.4128
L1       5    0.5366    0.4139
L1       5    0.5429    0.4150
L1       5    0.5492    0.4159
L1       5    0.5555    0.4166
L1       5    0.5618    0.4176
L1       5    0.5681    0.4189
L1       5    0.5745    0.4201
L1       5    0.5808    0.4213
L1       5    0.5871    0.4225
L1       5    0.5934    0.4238
L1       5    0.5997    0.4250
L1       5    0.6060    0.4263
L1       5    0.6123    0.4276
L1       5    0.6186    0.4289
L1       5    0.6250    0.4302
L1       5    0.6313    0.4315
L1       5    0.6376    0.4329
L1       5    0.6439    0.4341
L1       5    0.6502    0.4358
L1       5    0.6565    0.4376
L1       5    0.6628    0.4395
L1       5    0.6691    0.4413
L1       5    0.6755    0.4431
L1       5    0.6818    0.4450
L1       5    0.6881    0.4462
L1       5    0.6944    0.4476
L1       5    0.7007    0.4489
L1       5    0.7070    0.4503
L1       5    0.7133    0.4518
L1       5    0.7196    0.4533
L1       5    0.7260    0.4556
L1       5    0.7323    0.4578
L1       5    0.7386    0.4596
L1       5    0.7449    0.4614
L1       5    0.7512    0.4633
L1       5    0.7575    0.4652
L1       5    0.7638    0.4671
L1       5    0.7701    0.4693
L1       5    0.7765    0.4721
L1       5    0.7828    0.4747
L1       5    0.7891    0.4774
L1       5    0.7954    0.4800
L1       5    0.8017    0.4826
L1       5    0.8080    0.4842
L1       5    0.8143    0.4854
L1       5    0.8206    0.4873
L1       5    0.8270    0.4894
L1       5    0.8333    0.4916
L1       5    0.8396    0.4939
L1       5    0.8459    0.4962
L1       5    0.8522    0.4986
L1       5    0.8585    0.5010
L1       5    0.8648    0.5035
L1       5    0.8711    0.5059
L1       5    0.8775    0.5084
L1       5    0.8838    0.5103
L1       5    0.8901    0.5123
L1       5    0.8964    0.5143
L1       5    0.9027    0.5163
L1       5    0.9090    0.5183
L1       5    0.9153    0.5203
L1       5    0.9216    0.5223
L1       5    0.9280    0.5243
L1       5    0.9343    0.5262
L1       5    0.9406    0.5279
L1       5    0.9469    0.5302
L1       5    0.9532    0.5321
L1       5    0.9595    0.5343
L1       5    0.9658    0.5365
L1       5    0.9721    0.5387
L1       5    0.9785    0.5409
L1       5    0.9848    0.5431
L1       5    0.9911    0.5454
L1       5    0.9974    0.5478
L1       5    1.0037    0.5503
L1       5    1.0100    0.5527
L1       5    1.0163    0.5552
L1       5    1.0226    0.5577
L1       5    1.0290    0.5607
L1       5    1.0353    0.5638
L1       5    1.0416    0.5665
L1       5    1.0479    0.5685
L1       5    1.0542    0.5698
L1       5    1.0605    0.5712
L1       5    1.0668    0.5727
L1       5    1.0731    0.5742
L1       5    1.0795    0.5762
L1       5    1.0858    0.5793
L1       5    1.0921    0.5825
L1       5    1.0984    0.5857
L1       5    1.1047    0.5888
L1       5    1.1110    0.5920
L1       5    1.1173    0.5951
L1       5    1.1236    0.5973
L1       5    1.1300    0.5995
L1       5    1.1363    0.6017
L1       5    1.1426    0.6039
L1       5    1.1489    0.6061
L1       5    1.1552    0.6084
L1       5    1.1615    0.6107
L1       5    1.1678    0.6130
L1       5    1.1741    0.6154
L1       5    1.1805    0.6177
L1       5    1.1868    0.6200
L1       5    1.1931    0.6220
L1       5    1.1994    0.6231
L1       5    1.2057    0.6241
L1       5    1.2120    0.6251
L1       5    1.2183    0.6262
L1       5    1.2246    0.6272
L1       5    1.2310    0.6285
L1       5    1.2373    0.6308
L1       5    1.2436    0.6330
L1       5    1.2499    0.6345
L1       5    1.2562    0.6363
L1       5    1.2625    0.6392
L1       5    1.2688    0.6417
L1       5    1.2751    0.6443
L1       5    1.2815    0.6468
L1       5    1.2878    0.6494
L1       5    1.2941    0.6520
L1       5    1.3004    0.6549
L1       5    1.3067    0.6581
L1       5    1.3130    0.6613
L1       5    1.3193    0.6645
L1       5    1.3257    0.6671
L1       5    1.3320    0.6679
L1       5    1.3383    0.6682
L1       5    1.3446    0.6692
L1       5    1.3509    0.6708
L1       5    1.3572    0.6751
L1       5    1.3635    0.6799
L1       5    1.3698    0.6848
L1       5    1.3762    0.6897
L1       5    1.3825    0.6947
L1       5    1.3888    0.6983
L1       5    1.3951    0.7005
L1       5    1.4014    0.7015
L1       5    1.4077    0.7026
L1       5    1.4140    0.7037
L1       5    1.4203    0.7048
L1       5    1.4267    0.7059
L1       5    1.4330    0.7070
L1       5    1.4393    0.7082
L1       5    1.4456    0.7095
L1       5    1.4519    0.7110
L1       5    1.4582    0.7125
L1       5    1.4645    0.7140
L1       5    1.4708    0.7155
L1       5    1.4772    0.7154
L1       5    1.4835    0.7157
L1       5    1.4898    0.7183
L1       5    1.4961    0.7211
L1       5    1.5024    0.7240
L1       5    1.5087    0.7276
L1       5    1.5150    0.7311
L1       5    1.5213    0.7347
L1       5    1.5277    0.7383
L1       5    1.5340    0.7419
L1       5    1.5403    0.7445
L1       5    1.5466    0.7458
L1       5    1.5529    0.7472
L1       5    1.5592    0.7486
L1       5    1.5655    0.7500
L1       5    1.5718    0.7515
L1       5    1.5782    0.7542
L1       5    1.5845    0.7581
L1       5    1.5908    0.7620
L1       5    1.5971    0.7659
L1       5    1.6034    0.7689
L1       5    1.6097    0.7699
L1       5    1.6160    0.7709
L1       5    1.6223    0.7719
L1       5    1.6287    0.7729
L1       5    1.6350    0.7739
L1       5    1.6413    0.7749
L1       5    1.6476    0.7760
L1       5    1.6539    0.7789
L1       5    1.6602    0.7822
L1       5    1.6665    0.7856
L1       5    1.6728    0.7884
L1       5    1.6792    0.7870
L1       5    1.6855    0.7850
L1       5    1.6918    0.7857
L1       5    1.6981    0.7864
L1       5    1.7044    0.7872
L1       5    1.7107    0.7879
L1       5    1.7170    0.7887
L1       5    1.7233    0.7895
L1       5    1.7297    0.7903
L1       5    1.7360    0.7911
L1       5    1.7423    0.7893
L1       5    1.7486    0.7840
L1       5    1.7549    0.7788
L1       5    1.7612    0.7734
L1       5    1.7675    0.7720
L1       5    1.7738    0.7711
L1       5    1.7802    0.7702
L1       5    1.7865    0.7694
L1       5    1.7928    0.7685
L1       5    1.7991    0.7677
L1       5    1.8054    0.7670
L1       5    1.8117    0.7663
L1       5    1.8180    0.7590
L1       5    1.8243    0.7500
L1       5    1.8307    0.7412
L1       5    1.8370    0.7323
L1       5    1.8433    0.7235
L1       5    1.8496    0.7146
L1       5    1.8559    0.7088
L1       5    1.8622    0.7078
L1       5    1.8685    0.7068
L1       5    1.8748    0.7058
L1       5    1.8812    0.7049
L1       5    1.8875    0.7039
L1       5    1.8938    0.6967
L1       5    1.9001    0.6867
L1       5    1.9064    0.6760
L1       5    1.9127    0.6653
L1       5    1.9190    0.6546
L1       5    1.9253    0.6440
L1       5    1.9317    0.6333
L1       5    1.9380    0.6240
L1       5    1.9443    0.6154
L1       5    1.9506    0.6103
L1       5    1.9569    0.6054
L1       5    1.9632    0.6005
L1       5    1.9695    0.5956
L1       5    1.9758    0.5907
L1       5    1.9822    0.5873
L1       5    1.9885    0.5829
L1       5    1.9948    0.5763
L1       5    2.0011    0.5697
L1       5    2.0074    0.5631
L1       5    2.0137    0.5569
L1       5    2.0200    0.5559
L1       5    2.0263    0.5490
L1       5    2.0327    0.5370
L1       5    2.0390    0.5251
L1       5    2.0453    0.5179
L1       5    2.0516    0.5119
L1       5    2.0579    0.5060
L1       5    2.0642    0.5001
L1       5    2.0705    0.4942
L1       5    2.0769    0.4883
L1       5    2.0832    0.4824
L1       5    2.0895    0.4771
L1       5    2.0958    0.4725
L1       5    2.1021    0.4678
L1       5    2.1084    0.4632
L1       5    2.1147    0.4608
L1       5    2.1210    0.4592
L1       5    2.1274    0.4575
L1       5    2.1337    0.4582
L1       5    2.1400    0.4632
L1       5    2.1463    0.4681
L1       5    2.1526    0.4731
L1       5    2.1589    0.4781
