figure	case	cells	time_dir	geometry	camera	colour_range	window_basis
m6_p_upper_top.png	M6J_L1	983040	8000	patch/wing, 7680 faces, p interpolated cell -> point	parallel, along -z (camera at +z), up +y, 5% margin	30000 to 150000 Pa	raw 37677.5 to 147233 (percentile band 43734.4 to 140055 is not much narrower), rounded outward to 30000 .. 150000 step 30000
m6_p_oblique.png	M6J_L1	983040	8000	patch/wing, 7680 faces, p interpolated cell -> point	parallel, direction (0.75,-0.55,0.60), up +z	30000 to 150000 Pa	raw 37677.5 to 147233 (percentile band 43734.4 to 140055 is not much narrower), rounded outward to 30000 .. 150000 step 30000
m6_geometry.png	M6J_L1	983040	8000	patch/wing, 7680 faces, plain surface, no field and no edges	parallel, direction (0.75,-0.55,0.60), up +z	-	no colour map
m6_mesh_surface.png	M6J_L1	983040	8000	patch/wing, 7680 faces, surface with cell edges	parallel, direction (0.75,-0.55,0.60), up +z	-	no colour map
m6_mesh.png	M6J_L1	983040	8000	y-normal cut at y = 0.959412 m (eta = 0.65), cells and wall layers	parallel, along +y, up +z ; framed on the leading edge	-	no colour map
m6_mesh_medium.png	M6J_L2	122880	5000	patch/wing, 1920 faces, surface with cell edges	parallel, direction (0.75,-0.55,0.60), up +z	-	no colour map
m6_mach_eta065.png	M6J_L1	983040	8000	y-normal plane at y = 0.959412 m (the extractor's own cut for eta = 0.65), wing section outlined, M = 1 contour drawn	parallel, along +y (spanwise plane in view), up +z ; window x_le-0.3c to x_te+0.3c, z +/-0.6c	0 to 1.4 (M)	FIXED 0 to 1.4 by owner instruction 2026-09-14 ; measured raw 0.000962714 to 1.52723, 2nd-98th percentile 0.0232838 to 1.23017, ends clamped
m6_umag_eta065.png	M6J_L1	983040	8000	y-normal plane at y = 0.959412 m (the extractor's own cut for eta = 0.65), wing section outlined	parallel, along +y (spanwise plane in view), up +z ; window x_le-0.3c to x_te+0.3c, z +/-0.6c	0 to 500 m/s	raw 0.34741 to 467.832 (percentile band 8.22876 to 400.049 is not much narrower), rounded outward to 0 .. 500 step 125
m6_mach_eta090.png	M6J_L1	983040	8000	y-normal plane at y = 1.328416 m (the extractor's own cut for eta = 0.9), wing section outlined, M = 1 contour drawn	parallel, along +y (spanwise plane in view), up +z ; window x_le-0.3c to x_te+0.3c, z +/-0.6c	0 to 1.4 (M)	FIXED 0 to 1.4 by owner instruction 2026-09-14 ; measured raw 0.000962714 to 1.52723, 2nd-98th percentile 0.0232838 to 1.23017, ends clamped
m6_umag_eta090.png	M6J_L1	983040	8000	y-normal plane at y = 1.328416 m (the extractor's own cut for eta = 0.9), wing section outlined	parallel, along +y (spanwise plane in view), up +z ; window x_le-0.3c to x_te+0.3c, z +/-0.6c	0 to 500 m/s	raw 0.34741 to 467.832 (percentile band 8.22876 to 400.049 is not much narrower), rounded outward to 0 .. 500 step 125
