iteration,$U_x$,$U_y$,$U_z$,$e$,$p$
1.0,0.9999972561,1.0,0.9999834626,0.9999375856,0.9999999989
2.0,8.351953864e-05,0.0001039852054,0.0005761050334,0.004325464757,0.00452712571
3.0,6.093282982e-05,9.896160896e-05,0.0001082348643,0.0002073526554,0.008394360493
4.0,4.058936751e-05,6.741888352e-05,7.410510459e-05,8.348397591e-05,0.005756297831
5.0,2.000658752e-05,3.346681962e-05,4.171769692e-05,3.999859737e-05,0.001885095437
6.0,1.040594346e-05,1.851538486e-05,4.190269772e-05,3.486319171e-05,0.001366633711
7.0,1.203849017e-05,2.084838392e-05,7.94165365e-05,4.599380803e-05,0.002169703056
8.0,1.045073765e-05,1.766089984e-05,0.0001307435451,5.437278177e-05,0.002595958544
9.0,6.587819235e-06,1.134146589e-05,9.045760369e-05,5.408659747e-05,0.002944747211
10.0,4.023735451e-06,8.592990739e-06,4.705156447e-05,4.947284344e-05,0.004232685906
11.0,4.709552796e-06,1.123056544e-05,3.781568907e-05,5.245173875e-05,0.02002314571
12.0,6.025594616e-06,1.496265821e-05,3.163043964e-05,5.833788688e-05,0.00879638588
13.0,6.221931914e-06,1.659448107e-05,2.52254504e-05,6.006336385e-05,0.01450232666
14.0,5.291214446e-06,1.517653912e-05,2.052872675e-05,6.477609954e-05,0.01143266503
15.0,4.167994664e-06,1.234957853e-05,2.196107758e-05,7.989530367e-05,0.002648515825
16.0,3.436773059e-06,9.578184403e-06,3.463901544e-05,0.0001095974832,0.002576634312
17.0,2.805438505e-06,7.671816442e-06,8.657001148e-05,0.000175837724,0.002802120501
18.0,2.351181128e-06,6.809349697e-06,0.0001304770708,0.0003657874586,0.003218317817
19.0,2.28765961e-06,7.236758497e-06,7.092483477e-05,0.01097432532,0.003679873387
20.0,2.595125149e-06,8.581382075e-06,3.906243035e-05,0.0003956599219,0.006286109571
21.0,2.911898874e-06,9.89844432e-06,2.46711154e-05,0.0001926803195,0.008396663237
22.0,3.004402009e-06,1.06406934e-05,1.858705419e-05,0.0001271614402,0.00472858211
23.0,2.832733411e-06,1.024423996e-05,1.685047182e-05,0.0001043662899,0.002383528775
24.0,2.523212365e-06,9.250284624e-06,1.896680025e-05,9.343258225e-05,0.001498404242
25.0,2.257708162e-06,8.279187198e-06,2.92492307e-05,8.355787163e-05,0.001970720589
26.0,2.072444324e-06,7.719721916e-06,0.0001006910578,7.388588586e-05,0.00339397641
27.0,1.977472184e-06,7.590235323e-06,0.000427926702,6.772659482e-05,0.009951823817
