time_s,cell1_T_K,cell2_T_K,cell3_T_K,cell4_T_K,cell5_T_K,cell6_T_K,cell7_T_K,cell8_T_K,cell1_rise_K,cell2_rise_K,cell3_rise_K,cell4_rise_K,cell5_rise_K,cell6_rise_K,cell7_rise_K,cell8_rise_K
0.0,293.000000000,293.000000000,293.000000000,293.000000000,293.000000000,293.000000000,293.000000000,293.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
5.0,293.009981231,293.009962461,293.009962461,293.009962461,293.009962461,293.009962461,293.009962461,293.009981231,0.009981231,0.009962461,0.009962461,0.009962461,0.009962461,0.009962461,0.009962461,0.009981231
10.0,293.019928743,293.019857486,293.019857486,293.019857486,293.019857486,293.019857486,293.019857486,293.019928743,0.019928743,0.019857486,0.019857486,0.019857486,0.019857486,0.019857486,0.019857486,0.019928743
15.0,293.029843039,293.029686077,293.029686077,293.029686077,293.029686077,293.029686077,293.029686077,293.029843039,0.029843039,0.029686077,0.029686077,0.029686077,0.029686077,0.029686077,0.029686077,0.029843039
20.0,293.039724542,293.039449086,293.039449086,293.039449086,293.039449086,293.039449086,293.039449086,293.039724542,0.039724542,0.039449086,0.039449086,0.039449086,0.039449086,0.039449086,0.039449086,0.039724542
25.0,293.049573624,293.049147252,293.049147252,293.049147252,293.049147252,293.049147252,293.049147252,293.049573624,0.049573624,0.049147252,0.049147252,0.049147252,0.049147252,0.049147252,0.049147252,0.049573624
30.0,293.059390612,293.058781239,293.058781239,293.058781239,293.058781239,293.058781239,293.058781239,293.059390612,0.059390612,0.058781239,0.058781239,0.058781239,0.058781239,0.058781239,0.058781239,0.059390612
35.0,293.069175805,293.068351649,293.068351649,293.068351649,293.068351649,293.068351649,293.068351649,293.069175805,0.069175805,0.068351649,0.068351649,0.068351649,0.068351649,0.068351649,0.068351649,0.069175805
40.0,293.078929475,293.077859039,293.077859039,293.077859039,293.077859039,293.077859039,293.077859039,293.078929475,0.078929475,0.077859039,0.077859039,0.077859039,0.077859039,0.077859039,0.077859039,0.078929475
45.0,293.088651874,293.087303931,293.087303931,293.087303931,293.087303931,293.087303931,293.087303931,293.088651875,0.088651874,0.087303931,0.087303931,0.087303931,0.087303931,0.087303931,0.087303931,0.088651875
50.0,293.098343239,293.096686818,293.096686818,293.096686818,293.096686818,293.096686818,293.096686818,293.098343239,0.098343239,0.096686818,0.096686818,0.096686818,0.096686818,0.096686818,0.096686818,0.098343239
55.0,293.108003789,293.106008171,293.106008171,293.106008171,293.106008171,293.106008171,293.106008171,293.108003789,0.108003789,0.106008171,0.106008171,0.106008171,0.106008171,0.106008171,0.106008171,0.108003789
60.0,293.116900651,293.114535617,293.114535617,293.114535617,293.114535617,293.114535617,293.114535617,293.116900651,0.116900651,0.114535617,0.114535617,0.114535617,0.114535617,0.114535617,0.114535617,0.116900651
65.0,293.119183109,293.116434430,293.116434430,293.116434430,293.116434430,293.116434430,293.116434430,293.119183109,0.119183109,0.116434430,0.116434430,0.116434430,0.116434430,0.116434430,0.116434430,0.119183109
70.0,293.121460034,293.118322405,293.118322405,293.118322405,293.118322405,293.118322405,293.118322405,293.121460034,0.121460034,0.118322405,0.118322405,0.118322405,0.118322405,0.118322405,0.118322405,0.121460034
75.0,293.123731243,293.120199237,293.120199237,293.120199237,293.120199237,293.120199237,293.120199237,293.123731243,0.123731243,0.120199237,0.120199237,0.120199237,0.120199237,0.120199237,0.120199237,0.123731243
80.0,293.125996602,293.122064722,293.122064722,293.122064722,293.122064722,293.122064722,293.122064722,293.125996602,0.125996602,0.122064722,0.122064722,0.122064722,0.122064722,0.122064722,0.122064722,0.125996602
85.0,293.128256007,293.123918725,293.123918725,293.123918725,293.123918725,293.123918725,293.123918725,293.128256007,0.128256007,0.123918725,0.123918725,0.123918725,0.123918725,0.123918725,0.123918725,0.128256007
90.0,293.130509380,293.125761164,293.125761164,293.125761164,293.125761164,293.125761164,293.125761164,293.130509380,0.130509380,0.125761164,0.125761164,0.125761164,0.125761164,0.125761164,0.125761164,0.130509380
95.0,293.132756657,293.127591992,293.127591992,293.127591992,293.127591992,293.127591992,293.127591992,293.132756657,0.132756657,0.127591992,0.127591992,0.127591992,0.127591992,0.127591992,0.127591992,0.132756657
100.0,293.134997788,293.129411190,293.129411190,293.129411190,293.129411190,293.129411190,293.129411190,293.134997788,0.134997788,0.129411190,0.129411190,0.129411190,0.129411190,0.129411190,0.129411190,0.134997788
105.0,293.137232731,293.131218761,293.131218761,293.131218761,293.131218761,293.131218761,293.131218761,293.137232731,0.137232731,0.131218761,0.131218761,0.131218761,0.131218761,0.131218761,0.131218761,0.137232731
110.0,293.139461454,293.133014725,293.133014725,293.133014725,293.133014725,293.133014725,293.133014725,293.139461454,0.139461454,0.133014725,0.133014725,0.133014725,0.133014725,0.133014725,0.133014725,0.139461454
115.0,293.141683931,293.134799113,293.134799113,293.134799113,293.134799113,293.134799113,293.134799113,293.141683931,0.141683931,0.134799113,0.134799113,0.134799113,0.134799113,0.134799113,0.134799113,0.141683931
120.0,293.143900141,293.136571967,293.136571967,293.136571967,293.136571967,293.136571967,293.136571967,293.143900141,0.143900141,0.136571967,0.136571967,0.136571967,0.136571967,0.136571967,0.136571967,0.143900141
