mesh_cell_index,x_min_m,x_max_m,y_min_m,y_max_m,module_cell,T_K_at_t_0s,T_K_at_t_30s,T_K_at_t_60s,T_K_at_t_120s,T_K_at_t_300s,T_K_at_t_900s
0,0.000000000,0.005000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
1,0.005000000,0.010000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
2,0.010000000,0.015000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
3,0.015000000,0.020000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
4,0.020000000,0.025000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
5,0.025000000,0.030000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
6,0.030000000,0.035000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
7,0.035000000,0.040000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
8,0.040000000,0.045000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
9,0.045000000,0.050000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
10,0.050000000,0.055000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
11,0.055000000,0.060000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
12,0.060000000,0.065000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
13,0.065000000,0.070000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
14,0.070000000,0.075000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
15,0.075000000,0.080000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
16,0.080000000,0.085000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
17,0.085000000,0.090000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
18,0.090000000,0.095000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
19,0.095000000,0.100000000,0.000000000,0.005000000,1,293.000000000,293.059997791,293.119197765,293.150094979,293.233103259,293.449030649
20,0.000000000,0.005000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
21,0.005000000,0.010000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
22,0.010000000,0.015000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
23,0.015000000,0.020000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
24,0.020000000,0.025000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
25,0.025000000,0.030000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
26,0.030000000,0.035000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
27,0.035000000,0.040000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
28,0.040000000,0.045000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
29,0.045000000,0.050000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
30,0.050000000,0.055000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
31,0.055000000,0.060000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
32,0.060000000,0.065000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
33,0.065000000,0.070000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
34,0.070000000,0.075000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
35,0.075000000,0.080000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
36,0.080000000,0.085000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
37,0.085000000,0.090000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
38,0.090000000,0.095000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
39,0.095000000,0.100000000,0.005000000,0.010000000,1,293.000000000,293.059989950,293.119089599,293.149390486,293.230966102,293.444135626
40,0.000000000,0.005000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
41,0.005000000,0.010000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
42,0.010000000,0.015000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
43,0.015000000,0.020000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
44,0.020000000,0.025000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
45,0.025000000,0.030000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
46,0.030000000,0.035000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
47,0.035000000,0.040000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
48,0.040000000,0.045000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
49,0.045000000,0.050000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
50,0.050000000,0.055000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
51,0.055000000,0.060000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
52,0.060000000,0.065000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
53,0.065000000,0.070000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
54,0.070000000,0.075000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
55,0.075000000,0.080000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
56,0.080000000,0.085000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
57,0.085000000,0.090000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
58,0.090000000,0.095000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
59,0.095000000,0.100000000,0.010000000,0.015000000,1,293.000000000,293.059952026,293.118748825,293.147747811,293.226568112,293.434267216
60,0.000000000,0.005000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
61,0.005000000,0.010000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
62,0.010000000,0.015000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
63,0.015000000,0.020000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
64,0.020000000,0.025000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
65,0.025000000,0.030000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
66,0.030000000,0.035000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
67,0.035000000,0.040000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
68,0.040000000,0.045000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
69,0.045000000,0.050000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
70,0.050000000,0.055000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
71,0.055000000,0.060000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
72,0.060000000,0.065000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
73,0.065000000,0.070000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
74,0.070000000,0.075000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
75,0.075000000,0.080000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
76,0.080000000,0.085000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
77,0.085000000,0.090000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
78,0.090000000,0.095000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
79,0.095000000,0.100000000,0.015000000,0.020000000,1,293.000000000,293.059794031,293.117842679,293.144711490,293.219666600,293.419269676
80,0.000000000,0.005000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
81,0.005000000,0.010000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
82,0.010000000,0.015000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
83,0.015000000,0.020000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
84,0.020000000,0.025000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
85,0.025000000,0.030000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
86,0.030000000,0.035000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
