time_s,spread_Tmax_minus_Tmin_K,surface_heat_removal_W,outlet_temperature_K
0.0,0.000000000,0.000000,NOT DEFINED - channels not resolved as fluid
5.0,0.000018770,0.714707,NOT DEFINED - channels not resolved as fluid
10.0,0.000071257,1.417731,NOT DEFINED - channels not resolved as fluid
15.0,0.000156961,2.111042,NOT DEFINED - channels not resolved as fluid
20.0,0.000275456,2.796004,NOT DEFINED - channels not resolved as fluid
25.0,0.000426371,3.473602,NOT DEFINED - channels not resolved as fluid
30.0,0.000609373,4.144564,NOT DEFINED - channels not resolved as fluid
35.0,0.000824156,4.809449,NOT DEFINED - channels not resolved as fluid
40.0,0.001070436,5.468687,NOT DEFINED - channels not resolved as fluid
45.0,0.001347944,6.122622,NOT DEFINED - channels not resolved as fluid
50.0,0.001656422,6.771524,NOT DEFINED - channels not resolved as fluid
55.0,0.001995618,7.415614,NOT DEFINED - channels not resolved as fluid
60.0,0.002365035,8.002220,NOT DEFINED - channels not resolved as fluid
65.0,0.002748680,8.114016,NOT DEFINED - channels not resolved as fluid
70.0,0.003137628,8.229849,NOT DEFINED - channels not resolved as fluid
75.0,0.003532006,8.348433,NOT DEFINED - channels not resolved as fluid
80.0,0.003931880,8.468891,NOT DEFINED - channels not resolved as fluid
85.0,0.004337282,8.590603,NOT DEFINED - channels not resolved as fluid
90.0,0.004748216,8.713113,NOT DEFINED - channels not resolved as fluid
95.0,0.005164665,8.836087,NOT DEFINED - channels not resolved as fluid
100.0,0.005586598,8.959267,NOT DEFINED - channels not resolved as fluid
105.0,0.006013971,9.082458,NOT DEFINED - channels not resolved as fluid
110.0,0.006446729,9.205511,NOT DEFINED - channels not resolved as fluid
115.0,0.006884818,9.328308,NOT DEFINED - channels not resolved as fluid
120.0,0.007328175,9.450759,NOT DEFINED - channels not resolved as fluid
125.0,0.007776733,9.572794,NOT DEFINED - channels not resolved as fluid
130.0,0.008230427,9.694358,NOT DEFINED - channels not resolved as fluid
135.0,0.008689186,9.815408,NOT DEFINED - channels not resolved as fluid
140.0,0.009152945,9.935913,NOT DEFINED - channels not resolved as fluid
145.0,0.009621632,10.055846,NOT DEFINED - channels not resolved as fluid
150.0,0.010095179,10.175187,NOT DEFINED - channels not resolved as fluid
155.0,0.010573520,10.293922,NOT DEFINED - channels not resolved as fluid
160.0,0.011056586,10.412040,NOT DEFINED - channels not resolved as fluid
165.0,0.011544312,10.529531,NOT DEFINED - channels not resolved as fluid
170.0,0.012036631,10.646390,NOT DEFINED - channels not resolved as fluid
175.0,0.012533479,10.762612,NOT DEFINED - channels not resolved as fluid
180.0,0.013034794,10.878194,NOT DEFINED - channels not resolved as fluid
185.0,0.013540512,10.993135,NOT DEFINED - channels not resolved as fluid
190.0,0.014050572,11.107433,NOT DEFINED - channels not resolved as fluid
195.0,0.014564915,11.221088,NOT DEFINED - channels not resolved as fluid
200.0,0.015083481,11.334101,NOT DEFINED - channels not resolved as fluid
205.0,0.015606210,11.446472,NOT DEFINED - channels not resolved as fluid
210.0,0.016133048,11.558204,NOT DEFINED - channels not resolved as fluid
215.0,0.016663935,11.669296,NOT DEFINED - channels not resolved as fluid
220.0,0.017198818,11.779753,NOT DEFINED - channels not resolved as fluid
225.0,0.017737640,11.889575,NOT DEFINED - channels not resolved as fluid
