Fo,x_star,y_star,z_star,theta_solved,theta_analytic,difference
0.1,0.00625000,0.00625000,0.00625000,0.9794246298,0.9794525297,-2.790e-05
0.1,0.01875000,0.00625000,0.00625000,0.9793862254,0.9794141201,-2.789e-05
0.1,0.03125000,0.00625000,0.00625000,0.9793093050,0.9793371890,-2.788e-05
0.1,0.04375000,0.00625000,0.00625000,0.9791936452,0.9792215131,-2.787e-05
0.1,0.05625000,0.00625000,0.00625000,0.9790389113,0.9790667574,-2.785e-05
0.1,0.06875000,0.00625000,0.00625000,0.9788446573,0.9788724759,-2.782e-05
0.1,0.08125000,0.00625000,0.00625000,0.9786103267,0.9786381116,-2.778e-05
0.1,0.09375000,0.00625000,0.00625000,0.9783352525,0.9783629973,-2.774e-05
0.1,0.10625000,0.00625000,0.00625000,0.9780186581,0.9780463559,-2.770e-05
0.1,0.11875000,0.00625000,0.00625000,0.9776596577,0.9776873013,-2.764e-05
0.1,0.13125000,0.00625000,0.00625000,0.9772572575,0.9772848392,-2.758e-05
0.1,0.14375000,0.00625000,0.00625000,0.9768103561,0.9768378678,-2.751e-05
0.1,0.15625000,0.00625000,0.00625000,0.9763177461,0.9763451790,-2.743e-05
0.1,0.16875000,0.00625000,0.00625000,0.9757781148,0.9758054596,-2.734e-05
0.1,0.18125000,0.00625000,0.00625000,0.9751900455,0.9752172925,-2.725e-05
0.1,0.19375000,0.00625000,0.00625000,0.9745520194,0.9745791581,-2.714e-05
0.1,0.20625000,0.00625000,0.00625000,0.9738624167,0.9738894359,-2.702e-05
0.1,0.21875000,0.00625000,0.00625000,0.9731195183,0.9731464064,-2.689e-05
0.1,0.23125000,0.00625000,0.00625000,0.9723215081,0.9723482528,-2.674e-05
0.1,0.24375000,0.00625000,0.00625000,0.9714664745,0.9714930628,-2.659e-05
0.1,0.25625000,0.00625000,0.00625000,0.9705524133,0.9705788317,-2.642e-05
0.1,0.26875000,0.00625000,0.00625000,0.9695772294,0.9696034636,-2.623e-05
0.1,0.28125000,0.00625000,0.00625000,0.9685387397,0.9685647749,-2.604e-05
0.1,0.29375000,0.00625000,0.00625000,0.9674346760,0.9674604969,-2.582e-05
0.1,0.30625000,0.00625000,0.00625000,0.9662626877,0.9662882784,-2.559e-05
0.1,0.31875000,0.00625000,0.00625000,0.9650203451,0.9650456892,-2.534e-05
0.1,0.33125000,0.00625000,0.00625000,0.9637051429,0.9637302235,-2.508e-05
0.1,0.34375000,0.00625000,0.00625000,0.9623145033,0.9623393032,-2.480e-05
0.1,0.35625000,0.00625000,0.00625000,0.9608457806,0.9608702822,-2.450e-05
0.1,0.36875000,0.00625000,0.00625000,0.9592962646,0.9593204498,-2.419e-05
0.1,0.38125000,0.00625000,0.00625000,0.9576631848,0.9576870355,-2.385e-05
0.1,0.39375000,0.00625000,0.00625000,0.9559437153,0.9559672131,-2.350e-05
0.1,0.40625000,0.00625000,0.00625000,0.9541349792,0.9541581057,-2.313e-05
0.1,0.41875000,0.00625000,0.00625000,0.9522340535,0.9522567901,-2.274e-05
0.1,0.43125000,0.00625000,0.00625000,0.9502379744,0.9502603027,-2.233e-05
0.1,0.44375000,0.00625000,0.00625000,0.9481437423,0.9481656440,-2.190e-05
0.1,0.45625000,0.00625000,0.00625000,0.9459483277,0.9459697846,-2.146e-05
0.1,0.46875000,0.00625000,0.00625000,0.9436486767,0.9436696711,-2.099e-05
0.1,0.48125000,0.00625000,0.00625000,0.9412417171,0.9412622315,-2.051e-05
0.1,0.49375000,0.00625000,0.00625000,0.9387243645,0.9387443819,-2.002e-05
0.1,0.50625000,0.00625000,0.00625000,0.9360935286,0.9361130326,-1.950e-05
0.1,0.51875000,0.00625000,0.00625000,0.9333461196,0.9333650945,-1.897e-05
0.1,0.53125000,0.00625000,0.00625000,0.9304790552,0.9304974860,-1.843e-05
0.1,0.54375000,0.00625000,0.00625000,0.9274892670,0.9275071394,-1.787e-05
0.1,0.55625000,0.00625000,0.00625000,0.9243737076,0.9243910085,-1.730e-05
0.1,0.56875000,0.00625000,0.00625000,0.9211293580,0.9211460749,-1.672e-05
0.1,0.58125000,0.00625000,0.00625000,0.9177532342,0.9177693560,-1.612e-05
0.1,0.59375000,0.00625000,0.00625000,0.9142423947,0.9142579114,-1.552e-05
0.1,0.60625000,0.00625000,0.00625000,0.9105939481,0.9106088508,-1.490e-05
0.1,0.61875000,0.00625000,0.00625000,0.9068050601,0.9068193413,-1.428e-05
0.1,0.63125000,0.00625000,0.00625000,0.9028729612,0.9028866146,-1.365e-05
0.1,0.64375000,0.00625000,0.00625000,0.8987949538,0.8988079747,-1.302e-05
0.1,0.65625000,0.00625000,0.00625000,0.8945684199,0.8945808050,-1.239e-05
0.1,0.66875000,0.00625000,0.00625000,0.8901908284,0.8902025759,-1.175e-05
0.1,0.68125000,0.00625000,0.00625000,0.8856597424,0.8856708520,-1.111e-05
0.1,0.69375000,0.00625000,0.00625000,0.8809728264,0.8809832995,-1.047e-05
0.1,0.70625000,0.00625000,0.00625000,0.8761278536,0.8761376931,-9.839e-06
0.1,0.71875000,0.00625000,0.00625000,0.8711227126,0.8711319230,-9.210e-06
0.1,0.73125000,0.00625000,0.00625000,0.8659554147,0.8659640021,-8.587e-06
0.1,0.74375000,0.00625000,0.00625000,0.8606241000,0.8606320722,-7.972e-06
0.1,0.75625000,0.00625000,0.00625000,0.8551270444,0.8551344110,-7.367e-06
0.1,0.76875000,0.00625000,0.00625000,0.8494626659,0.8494694376,-6.772e-06
0.1,0.78125000,0.00625000,0.00625000,0.8436295299,0.8436357194,-6.190e-06
0.1,0.79375000,0.00625000,0.00625000,0.8376263557,0.8376319772,-5.621e-06
0.1,0.80625000,0.00625000,0.00625000,0.8314520218,0.8314570907,-5.069e-06
0.1,0.81875000,0.00625000,0.00625000,0.8251055705,0.8251101040,-4.533e-06
0.1,0.83125000,0.00625000,0.00625000,0.8185862135,0.8185902299,-4.016e-06
0.1,0.84375000,0.00625000,0.00625000,0.8118933356,0.8118968547,-3.519e-06
0.1,0.85625000,0.00625000,0.00625000,0.8050264993,0.8050295421,-3.043e-06
0.1,0.86875000,0.00625000,0.00625000,0.7979854483,0.7979880368,-2.589e-06
0.1,0.88125000,0.00625000,0.00625000,0.7907701104,0.7907722680,-2.158e-06
0.1,0.89375000,0.00625000,0.00625000,0.7833806011,0.7833823519,-1.751e-06
0.1,0.90625000,0.00625000,0.00625000,0.7758172252,0.7758185943,-1.369e-06
0.1,0.91875000,0.00625000,0.00625000,0.7680804794,0.7680814927,-1.013e-06
0.1,0.93125000,0.00625000,0.00625000,0.7601710533,0.7601717373,-6.840e-07
0.1,0.94375000,0.00625000,0.00625000,0.7520898308,0.7520902126,-3.818e-07
0.1,0.95625000,0.00625000,0.00625000,0.7438378902,0.7438379974,-1.072e-07
0.1,0.96875000,0.00625000,0.00625000,0.7354165049,0.7354163653,+1.396e-07
0.1,0.98125000,0.00625000,0.00625000,0.7268271423,0.7268267840,+3.583e-07
0.1,0.99375000,0.00625000,0.00625000,0.7180714634,0.7180709146,+5.488e-07
0.2,0.00625000,0.00625000,0.00625000,0.8590677764,0.8590849529,-1.718e-05
0.2,0.01875000,0.00625000,0.00625000,0.8589908869,0.8590080502,-1.716e-05
0.2,0.03125000,0.00625000,0.00625000,0.8588370758,0.8588542130,-1.714e-05
0.2,0.04375000,0.00625000,0.00625000,0.8586062794,0.8586233774,-1.710e-05
0.2,0.05625000,0.00625000,0.00625000,0.8582984020,0.8583154477,-1.705e-05
0.2,0.06875000,0.00625000,0.00625000,0.8579133164,0.8579302971,-1.698e-05
0.2,0.08125000,0.00625000,0.00625000,0.8574508645,0.8574677672,-1.690e-05
0.2,0.09375000,0.00625000,0.00625000,0.8569108569,0.8569276689,-1.681e-05
0.2,0.10625000,0.00625000,0.00625000,0.8562930741,0.8563097829,-1.671e-05
0.2,0.11875000,0.00625000,0.00625000,0.8555972669,0.8556138600,-1.659e-05
0.2,0.13125000,0.00625000,0.00625000,0.8548231565,0.8548396216,-1.647e-05
0.2,0.14375000,0.00625000,0.00625000,0.8539704359,0.8539867608,-1.632e-05
0.2,0.15625000,0.00625000,0.00625000,0.8530387698,0.8530549427,-1.617e-05
0.2,0.16875000,0.00625000,0.00625000,0.8520277965,0.8520438056,-1.601e-05
0.2,0.18125000,0.00625000,0.00625000,0.8509371276,0.8509529614,-1.583e-05
0.2,0.19375000,0.00625000,0.00625000,0.8497663500,0.8497819972,-1.565e-05
0.2,0.20625000,0.00625000,0.00625000,0.8485150260,0.8485304757,-1.545e-05
0.2,0.21875000,0.00625000,0.00625000,0.8471826951,0.8471979365,-1.524e-05
0.2,0.23125000,0.00625000,0.00625000,0.8457688748,0.8457838975,-1.502e-05
0.2,0.24375000,0.00625000,0.00625000,0.8442730618,0.8442878557,-1.479e-05
0.2,0.25625000,0.00625000,0.00625000,0.8426947334,0.8427092886,-1.456e-05
0.2,0.26875000,0.00625000,0.00625000,0.8410333485,0.8410476556,-1.431e-05
0.2,0.28125000,0.00625000,0.00625000,0.8392883495,0.8393023993,-1.405e-05
0.2,0.29375000,0.00625000,0.00625000,0.8374591630,0.8374729467,-1.378e-05
0.2,0.30625000,0.00625000,0.00625000,0.8355452021,0.8355587113,-1.351e-05
0.2,0.31875000,0.00625000,0.00625000,0.8335458671,0.8335590938,-1.323e-05
0.2,0.33125000,0.00625000,0.00625000,0.8314605475,0.8314734841,-1.294e-05
0.2,0.34375000,0.00625000,0.00625000,0.8292886237,0.8293012629,-1.264e-05
0.2,0.35625000,0.00625000,0.00625000,0.8270294682,0.8270418032,-1.233e-05
0.2,0.36875000,0.00625000,0.00625000,0.8246824477,0.8246944721,-1.202e-05
0.2,0.38125000,0.00625000,0.00625000,0.8222469243,0.8222586322,-1.171e-05
0.2,0.39375000,0.00625000,0.00625000,0.8197222577,0.8197336437,-1.139e-05
0.2,0.40625000,0.00625000,0.00625000,0.8171078069,0.8171188658,-1.106e-05
0.2,0.41875000,0.00625000,0.00625000,0.8144029316,0.8144136589,-1.073e-05
0.2,0.43125000,0.00625000,0.00625000,0.8116069942,0.8116173858,-1.039e-05
0.2,0.44375000,0.00625000,0.00625000,0.8087193618,0.8087294140,-1.005e-05
0.2,0.45625000,0.00625000,0.00625000,0.8057394078,0.8057491175,-9.710e-06
0.2,0.46875000,0.00625000,0.00625000,0.8026665136,0.8026758781,-9.365e-06
0.2,0.48125000,0.00625000,0.00625000,0.7995000707,0.7995090879,-9.017e-06
0.2,0.49375000,0.00625000,0.00625000,0.7962394825,0.7962481506,-8.668e-06
0.2,0.50625000,0.00625000,0.00625000,0.7928841660,0.7928924839,-8.318e-06
0.2,0.51875000,0.00625000,0.00625000,0.7894335536,0.7894415206,-7.967e-06
0.2,0.53125000,0.00625000,0.00625000,0.7858870951,0.7858947111,-7.616e-06
0.2,0.54375000,0.00625000,0.00625000,0.7822442595,0.7822515246,-7.265e-06
0.2,0.55625000,0.00625000,0.00625000,0.7785045365,0.7785114516,-6.915e-06
0.2,0.56875000,0.00625000,0.00625000,0.7746674386,0.7746740051,-6.566e-06
0.2,0.58125000,0.00625000,0.00625000,0.7707325028,0.7707387223,-6.220e-06
0.2,0.59375000,0.00625000,0.00625000,0.7666992921,0.7667051669,-5.875e-06
0.2,0.60625000,0.00625000,0.00625000,0.7625673974,0.7625729304,-5.533e-06
0.2,0.61875000,0.00625000,0.00625000,0.7583364393,0.7583416336,-5.194e-06
0.2,0.63125000,0.00625000,0.00625000,0.7540060694,0.7540109287,-4.859e-06
0.2,0.64375000,0.00625000,0.00625000,0.7495759720,0.7495805005,-4.528e-06
0.2,0.65625000,0.00625000,0.00625000,0.7450458659,0.7450500682,-4.202e-06
0.2,0.66875000,0.00625000,0.00625000,0.7404155055,0.7404193866,-3.881e-06
0.2,0.68125000,0.00625000,0.00625000,0.7356846827,0.7356882482,-3.565e-06
0.2,0.69375000,0.00625000,0.00625000,0.7308532279,0.7308564836,-3.256e-06
0.2,0.70625000,0.00625000,0.00625000,0.7259210117,0.7259239640,-2.952e-06
