power_W,airspeed_m_per_s,peak_core_temperature_degC,margin_to_200C_limit_on_core_K,limit_degC,design_isotherm_degC
80,10,39.204893,160.795107,200,120
80,20,30.156457,169.843543,200,120
80,30,26.628739,173.371261,200,120
80,40,24.676239,175.323761,200,120
155,10,62.029119,137.970881,200,120
155,20,44.476190,155.523810,200,120
155,30,37.607681,162.392319,200,120
155,40,33.779710,166.220290,200,120
230,10,84.853312,115.146688,200,120
230,20,58.795934,141.204066,200,120
230,30,48.586628,151.413372,200,120
230,40,42.883190,157.116810,200,120
305,10,107.677521,92.322479,200,120
305,20,73.115641,126.884359,200,120
305,30,59.565594,140.434406,200,120
305,40,51.986678,148.013322,200,120
