power_W,airspeed_m_per_s,peak_temperature_degC,rise_above_inlet_K,margin_to_200C_limit_K,margin_to_120C_design_K,numerical_uncertainty_K
80,10,38.137427,23.287427,161.862573,81.862573,"not available - single grid, no grid-refinement error estimate"
80,20,29.079491,14.229491,170.920509,90.920509,"not available - single grid, no grid-refinement error estimate"
80,30,25.546237,10.696237,174.453763,94.453763,"not available - single grid, no grid-refinement error estimate"
80,40,23.589696,8.739696,176.410304,96.410304,"not available - single grid, no grid-refinement error estimate"
155,10,59.960914,45.110914,140.039086,60.039086,"not available - single grid, no grid-refinement error estimate"
155,20,42.389609,27.539609,157.610391,77.610391,"not available - single grid, no grid-refinement error estimate"
155,30,35.510433,20.660433,164.489567,84.489567,"not available - single grid, no grid-refinement error estimate"
155,40,31.674728,16.824728,168.325272,88.325272,"not available - single grid, no grid-refinement error estimate"
230,10,81.784366,66.934366,118.215634,38.215634,"not available - single grid, no grid-refinement error estimate"
230,20,55.699737,40.849737,144.300263,64.300263,"not available - single grid, no grid-refinement error estimate"
230,30,45.474634,30.624634,154.525366,74.525366,"not available - single grid, no grid-refinement error estimate"
230,40,39.759767,24.909767,160.240233,80.240233,"not available - single grid, no grid-refinement error estimate"
305,10,103.607835,88.757835,96.392165,16.392165,"not available - single grid, no grid-refinement error estimate"
305,20,69.009829,54.159829,130.990171,50.990171,"not available - single grid, no grid-refinement error estimate"
305,30,55.438855,40.588855,144.561145,64.561145,"not available - single grid, no grid-refinement error estimate"
305,40,47.844816,32.994816,152.155184,72.155184,"not available - single grid, no grid-refinement error estimate"
