power_W,airspeed_m_per_s,iteration,solid_peak_temperature_degC,solid_minimum_temperature_degC
80,10,100,29.087000,28.599536
80,10,200,33.922101,33.022544
80,10,300,36.173890,35.011941
80,10,400,37.194083,35.923505
80,10,500,37.671944,36.353846
80,10,600,37.910314,36.562765
80,10,700,38.029679,36.667768
80,10,800,38.085453,36.716499
80,10,900,38.113178,36.740722
80,10,1000,38.126725,36.752700
80,10,1100,38.133889,36.759024
80,10,1200,38.137574,36.762294
80,10,1300,38.139602,36.764096
80,10,1400,38.140611,36.764992
80,10,1500,38.141100,36.765422
80,10,1600,38.141238,36.765537
80,10,1700,38.141287,36.765579
80,10,1800,38.141295,36.765585
80,10,1900,38.141303,36.765591
80,10,2000,38.141310,36.765597
80,10,2100,38.141319,36.765604
80,10,2200,38.141328,36.765612
80,10,2300,38.141338,36.765620
80,10,2400,38.141347,36.765628
80,10,2500,38.141356,36.765636
80,10,2600,38.141365,36.765644
80,10,2700,38.141365,36.765644
80,10,2800,38.141365,36.765644
80,10,2900,38.141365,36.765644
80,10,3000,38.141365,36.765644
80,10,3100,38.141365,36.765644
80,10,3200,38.141365,36.765644
80,10,3300,38.141365,36.765644
80,10,3400,38.141365,36.765644
80,10,3500,38.141365,36.765644
80,10,3600,38.141365,36.765644
80,10,3700,38.141365,36.765644
80,10,3800,38.141365,36.765644
80,10,3900,38.141365,36.765644
80,10,4000,38.141365,36.765644
80,10,4100,38.141365,36.765644
80,10,4200,38.141365,36.765644
80,10,4300,38.141365,36.765644
80,10,4400,38.141365,36.765644
80,10,4500,38.141365,36.765644
80,10,4600,38.141365,36.765644
80,10,4700,38.141365,36.765644
80,10,4800,38.141365,36.765644
80,10,4900,38.141365,36.765644
80,10,5000,38.141365,36.765644
80,10,5100,38.141365,36.765644
80,10,5200,38.141365,36.765644
80,10,5300,38.141365,36.765644
80,10,5400,38.141365,36.765644
80,10,5500,38.141365,36.765644
80,10,5600,38.141365,36.765644
80,10,5700,38.141365,36.765644
80,10,5800,38.141365,36.765644
80,10,5900,38.141365,36.765644
80,10,6000,38.141365,36.765644
80,10,6100,38.141365,36.765644
80,10,6200,38.141365,36.765644
80,10,6300,38.141365,36.765644
