region,radius_mm,temperature_degC,power_W,airspeed_m_per_s,axial_station_mm
rotor core,6.583291,107.677521,305,10,124.553571
rotor core,7.725565,107.657104,305,10,124.553571
rotor core,8.868477,107.618825,305,10,124.553571
rotor core,10.011808,107.564314,305,10,124.553571
rotor core,11.155430,107.494675,305,10,124.553571
rotor core,12.299260,107.410692,305,10,124.553571
rotor core,13.443245,107.312940,305,10,124.553571
rotor core,14.587350,107.201852,305,10,124.553571
rotor core,15.731547,107.077769,305,10,124.553571
rotor core,16.875819,106.940955,305,10,124.553571
rotor core,18.020150,106.791629,305,10,124.553571
rotor core,19.164531,106.629965,305,10,124.553571
rotor core,20.308952,106.456113,305,10,124.553571
rotor core,21.453408,106.270195,305,10,124.553571
rotor core,22.597893,106.072317,305,10,124.553571
rotor core,23.742402,105.862570,305,10,124.553571
rotor core,24.886934,105.641035,305,10,124.553571
rotor core,26.031483,105.407781,305,10,124.553571
rotor core,27.176049,105.162870,305,10,124.553571
rotor core,28.320630,104.906359,305,10,124.553571
rotor core,29.465222,104.638299,305,10,124.553571
rotor core,30.609827,104.358737,305,10,124.553571
rotor core,31.754441,104.067717,305,10,124.553571
rotor core,32.899064,103.765279,305,10,124.553571
housing wall,33.718494,103.607835,305,10,124.553571
housing wall,34.218009,103.591932,305,10,124.553571
housing wall,34.717525,103.576517,305,10,124.553571
housing wall,35.217040,103.561580,305,10,124.553571
housing wall,35.716556,103.547110,305,10,124.553571
housing wall,36.216072,103.533098,305,10,124.553571
housing wall,36.715588,103.519533,305,10,124.553571
housing wall,37.215105,103.506401,305,10,124.553571
cooling air,37.475842,101.811191,305,10,124.553571
cooling air,37.500053,98.276344,305,10,124.553571
cooling air,37.526665,94.402388,305,10,124.553571
cooling air,37.555917,90.163186,305,10,124.553571
cooling air,37.588071,85.560729,305,10,124.553571
cooling air,37.623415,80.679642,305,10,124.553571
cooling air,37.662265,75.719760,305,10,124.553571
cooling air,37.704970,70.916521,305,10,124.553571
cooling air,37.751911,66.416237,305,10,124.553571
cooling air,37.803509,62.245480,305,10,124.553571
cooling air,37.860226,58.390023,305,10,124.553571
cooling air,37.922569,54.835816,305,10,124.553571
cooling air,37.991097,51.558133,305,10,124.553571
cooling air,38.066424,48.527224,305,10,124.553571
cooling air,38.149224,45.713169,305,10,124.553571
cooling air,38.240239,43.088449,305,10,124.553571
cooling air,38.340282,40.629085,305,10,124.553571
cooling air,38.450251,38.314930,305,10,124.553571
cooling air,38.571130,36.129533,305,10,124.553571
cooling air,38.704001,34.059851,305,10,124.553571
cooling air,38.850054,32.095907,305,10,124.553571
cooling air,39.010598,30.230495,305,10,124.553571
cooling air,39.187069,28.458910,305,10,124.553571
cooling air,39.381047,26.778753,305,10,124.553571
cooling air,39.594271,25.189790,305,10,124.553571
cooling air,39.828649,23.693911,305,10,124.553571
cooling air,40.086281,22.295221,305,10,124.553571
cooling air,40.369474,21.000298,305,10,124.553571
cooling air,40.680763,19.818550,305,10,124.553571
cooling air,41.022937,18.762296,305,10,124.553571
cooling air,41.399060,17.845682,305,10,124.553571
cooling air,41.812501,17.081086,305,10,124.553571
cooling air,42.266962,16.472364,305,10,124.553571
cooling air,42.766515,16.007179,305,10,124.553571
cooling air,43.315633,15.656230,305,10,124.553571
cooling air,43.919235,15.395526,305,10,124.553571
cooling air,44.582727,15.208851,305,10,124.553571
cooling air,45.312053,15.079855,305,10,124.553571
cooling air,46.113744,14.993654,305,10,124.553571
cooling air,46.994982,14.937856,305,10,124.553571
cooling air,48.302641,14.890857,305,10,124.553571
cooling air,49.988370,14.866848,305,10,124.553571
cooling air,51.674109,14.856523,305,10,124.553571
cooling air,53.359858,14.851811,305,10,124.553571
cooling air,55.045616,14.849545,305,10,124.553571
cooling air,56.731382,14.848399,305,10,124.553571
cooling air,58.417156,14.847789,305,10,124.553571
cooling air,60.102936,14.847444,305,10,124.553571
cooling air,61.788722,14.847237,305,10,124.553571
cooling air,63.474514,14.847104,305,10,124.553571
cooling air,65.160311,14.847014,305,10,124.553571
cooling air,66.846114,14.846949,305,10,124.553571
cooling air,68.531920,14.846901,305,10,124.553571
cooling air,70.217731,14.846865,305,10,124.553571
cooling air,71.903546,14.846836,305,10,124.553571
cooling air,73.589364,14.846812,305,10,124.553571
cooling air,75.275186,14.846793,305,10,124.553571
cooling air,76.961011,14.846776,305,10,124.553571
cooling air,78.646839,14.846761,305,10,124.553571
cooling air,80.332670,14.846748,305,10,124.553571
cooling air,82.018503,14.846737,305,10,124.553571
cooling air,83.704339,14.846728,305,10,124.553571
cooling air,85.390177,14.846722,305,10,124.553571
cooling air,87.076017,14.846719,305,10,124.553571
cooling air,88.761859,14.846721,305,10,124.553571
cooling air,90.447703,14.846729,305,10,124.553571
cooling air,92.133549,14.846745,305,10,124.553571
cooling air,93.819397,14.846772,305,10,124.553571
cooling air,95.505246,14.846811,305,10,124.553571
cooling air,97.191097,14.846865,305,10,124.553571
cooling air,98.876949,14.846937,305,10,124.553571
cooling air,100.562803,14.847033,305,10,124.553571
cooling air,102.248658,14.847156,305,10,124.553571
cooling air,103.934514,14.847312,305,10,124.553571
cooling air,105.620372,14.847511,305,10,124.553571
cooling air,107.306230,14.847764,305,10,124.553571
cooling air,108.992090,14.848087,305,10,124.553571
cooling air,110.677951,14.848506,305,10,124.553571
cooling air,112.363813,14.849057,305,10,124.553571
cooling air,114.049675,14.849797,305,10,124.553571
cooling air,115.501706,14.850679,305,10,124.553571
cooling air,116.648757,14.851566,305,10,124.553571
cooling air,117.658828,14.852523,305,10,124.553571
cooling air,118.548273,14.853507,305,10,124.553571
cooling air,119.331495,14.854477,305,10,124.553571
cooling air,120.021178,14.855409,305,10,124.553571
cooling air,120.628491,14.856267,305,10,124.553571
cooling air,121.163271,14.857007,305,10,124.553571
cooling air,121.634180,14.857611,305,10,124.553571
cooling air,122.048846,14.858089,305,10,124.553571
cooling air,122.413985,14.858463,305,10,124.553571
cooling air,122.735513,14.858753,305,10,124.553571
cooling air,123.018638,14.858980,305,10,124.553571
cooling air,123.267946,14.859157,305,10,124.553571
cooling air,123.487477,14.859297,305,10,124.553571
cooling air,123.680788,14.859408,305,10,124.553571
cooling air,123.851009,14.859495,305,10,124.553571
cooling air,124.000898,14.859564,305,10,124.553571
cooling air,124.132884,14.859620,305,10,124.553571
cooling air,124.249106,14.859663,305,10,124.553571
cooling air,124.351446,14.859697,305,10,124.553571
cooling air,124.441561,14.859724,305,10,124.553571
cooling air,124.520914,14.859743,305,10,124.553571
cooling air,124.590788,14.859758,305,10,124.553571
cooling air,124.652316,14.859767,305,10,124.553571
cooling air,124.706495,14.859773,305,10,124.553571
cooling air,124.754202,14.859777,305,10,124.553571
cooling air,124.796212,14.859778,305,10,124.553571
cooling air,124.833203,14.859778,305,10,124.553571
cooling air,124.865776,14.859779,305,10,124.553571
cooling air,37.475842,67.159790,305,20,124.553571
cooling air,37.500053,63.515582,305,20,124.553571
cooling air,37.526665,59.537165,305,20,124.553571
cooling air,37.555917,55.332307,305,20,124.553571
cooling air,37.588071,51.245458,305,20,124.553571
cooling air,37.623415,47.604856,305,20,124.553571
cooling air,37.662265,44.453633,305,20,124.553571
cooling air,37.704970,41.719003,305,20,124.553571
cooling air,37.751911,39.332596,305,20,124.553571
cooling air,37.803509,37.228776,305,20,124.553571
cooling air,37.860226,35.351009,305,20,124.553571
cooling air,37.922569,33.651947,305,20,124.553571
cooling air,37.991097,32.093696,305,20,124.553571
cooling air,38.066424,30.650051,305,20,124.553571
cooling air,38.149224,29.303383,305,20,124.553571
cooling air,38.240239,28.040331,305,20,124.553571
cooling air,38.340282,26.850778,305,20,124.553571
cooling air,38.450251,25.727120,305,20,124.553571
cooling air,38.571130,24.663744,305,20,124.553571
cooling air,38.704001,23.656643,305,20,124.553571
cooling air,38.850054,22.703135,305,20,124.553571
cooling air,39.010598,21.800635,305,20,124.553571
cooling air,39.187069,20.946141,305,20,124.553571
cooling air,39.381047,20.138142,305,20,124.553571
cooling air,39.594271,19.377580,305,20,124.553571
cooling air,39.828649,18.667347,305,20,124.553571
cooling air,40.086281,18.012079,305,20,124.553571
cooling air,40.369474,17.417974,305,20,124.553571
cooling air,40.680763,16.892150,305,20,124.553571
cooling air,41.022937,16.440884,305,20,124.553571
cooling air,41.399060,16.066521,305,20,124.553571
cooling air,41.812501,15.763954,305,20,124.553571
cooling air,42.266962,15.522213,305,20,124.553571
cooling air,42.766515,15.332377,305,20,124.553571
cooling air,43.315633,15.187682,305,20,124.553571
cooling air,43.919235,15.080632,305,20,124.553571
cooling air,44.582727,15.003669,305,20,124.553571
cooling air,45.312053,14.949793,305,20,124.553571
cooling air,46.113744,14.912984,305,20,124.553571
cooling air,46.994982,14.888385,305,20,124.553571
cooling air,48.302641,14.866736,305,20,124.553571
cooling air,49.988370,14.854618,305,20,124.553571
cooling air,51.674109,14.848757,305,20,124.553571
cooling air,53.359858,14.845638,305,20,124.553571
cooling air,55.045616,14.843818,305,20,124.553571
cooling air,56.731382,14.842661,305,20,124.553571
cooling air,58.417156,14.841870,305,20,124.553571
cooling air,60.102936,14.841297,305,20,124.553571
cooling air,61.788722,14.840865,305,20,124.553571
cooling air,63.474514,14.840531,305,20,124.553571
cooling air,65.160311,14.840269,305,20,124.553571
cooling air,66.846114,14.840060,305,20,124.553571
cooling air,68.531920,14.839894,305,20,124.553571
cooling air,70.217731,14.839762,305,20,124.553571
cooling air,71.903546,14.839655,305,20,124.553571
cooling air,73.589364,14.839569,305,20,124.553571
cooling air,75.275186,14.839499,305,20,124.553571
cooling air,76.961011,14.839442,305,20,124.553571
cooling air,78.646839,14.839395,305,20,124.553571
cooling air,80.332670,14.839359,305,20,124.553571
cooling air,82.018503,14.839332,305,20,124.553571
cooling air,83.704339,14.839315,305,20,124.553571
cooling air,85.390177,14.839312,305,20,124.553571
cooling air,87.076017,14.839324,305,20,124.553571
cooling air,88.761859,14.839356,305,20,124.553571
cooling air,90.447703,14.839413,305,20,124.553571
cooling air,92.133549,14.839501,305,20,124.553571
cooling air,93.819397,14.839627,305,20,124.553571
cooling air,95.505246,14.839799,305,20,124.553571
cooling air,97.191097,14.840027,305,20,124.553571
cooling air,98.876949,14.840320,305,20,124.553571
cooling air,100.562803,14.840692,305,20,124.553571
cooling air,102.248658,14.841159,305,20,124.553571
cooling air,103.934514,14.841740,305,20,124.553571
cooling air,105.620372,14.842462,305,20,124.553571
cooling air,107.306230,14.843361,305,20,124.553571
cooling air,108.992090,14.844484,305,20,124.553571
cooling air,110.677951,14.845903,305,20,124.553571
cooling air,112.363813,14.847726,305,20,124.553571
cooling air,114.049675,14.850113,305,20,124.553571
cooling air,115.501706,14.852881,305,20,124.553571
cooling air,116.648757,14.855629,305,20,124.553571
cooling air,117.658828,14.858589,305,20,124.553571
cooling air,118.548273,14.861677,305,20,124.553571
cooling air,119.331495,14.864779,305,20,124.553571
cooling air,120.021178,14.867769,305,20,124.553571
cooling air,120.628491,14.870571,305,20,124.553571
cooling air,121.163271,14.873137,305,20,124.553571
cooling air,121.634180,14.875396,305,20,124.553571
cooling air,122.048846,14.877299,305,20,124.553571
cooling air,122.413985,14.878852,305,20,124.553571
cooling air,122.735513,14.880096,305,20,124.553571
cooling air,123.018638,14.881086,305,20,124.553571
cooling air,123.267946,14.881874,305,20,124.553571
cooling air,123.487477,14.882506,305,20,124.553571
cooling air,123.680788,14.883015,305,20,124.553571
cooling air,123.851009,14.883424,305,20,124.553571
cooling air,124.000898,14.883753,305,20,124.553571
cooling air,124.132884,14.884016,305,20,124.553571
cooling air,124.249106,14.884227,305,20,124.553571
cooling air,124.351446,14.884395,305,20,124.553571
cooling air,124.441561,14.884527,305,20,124.553571
cooling air,124.520914,14.884631,305,20,124.553571
cooling air,124.590788,14.884710,305,20,124.553571
cooling air,124.652316,14.884770,305,20,124.553571
cooling air,124.706495,14.884813,305,20,124.553571
cooling air,124.754202,14.884840,305,20,124.553571
cooling air,124.796212,14.884854,305,20,124.553571
cooling air,124.833203,14.884859,305,20,124.553571
cooling air,124.865776,14.884860,305,20,124.553571
cooling air,37.475842,53.556033,305,30,124.553571
cooling air,37.500053,49.849622,305,30,124.553571
cooling air,37.526665,45.892861,305,30,124.553571
cooling air,37.555917,42.114273,305,30,124.553571
cooling air,37.588071,38.935358,305,30,124.553571
cooling air,37.623415,36.347566,305,30,124.553571
cooling air,37.662265,34.212230,305,30,124.553571
cooling air,37.704970,32.415897,305,30,124.553571
cooling air,37.751911,30.869947,305,30,124.553571
cooling air,37.803509,29.506309,305,30,124.553571
cooling air,37.860226,28.279447,305,30,124.553571
cooling air,37.922569,27.160987,305,30,124.553571
cooling air,37.991097,26.130565,305,30,124.553571
cooling air,38.066424,25.173312,305,30,124.553571
cooling air,38.149224,24.278237,305,30,124.553571
cooling air,38.240239,23.437167,305,30,124.553571
cooling air,38.340282,22.644031,305,30,124.553571
cooling air,38.450251,21.894372,305,30,124.553571
cooling air,38.571130,21.185009,305,30,124.553571
cooling air,38.704001,20.513782,305,30,124.553571
cooling air,38.850054,19.879375,305,30,124.553571
cooling air,39.010598,19.280451,305,30,124.553571
cooling air,39.187069,18.715055,305,30,124.553571
cooling air,39.381047,18.182287,305,30,124.553571
cooling air,39.594271,17.683446,305,30,124.553571
cooling air,39.828649,17.221528,305,30,124.553571
cooling air,40.086281,16.800813,305,30,124.553571
cooling air,40.369474,16.426176,305,30,124.553571
cooling air,40.680763,16.101694,305,30,124.553571
cooling air,41.022937,15.828437,305,30,124.553571
cooling air,41.399060,15.602146,305,30,124.553571
cooling air,41.812501,15.416769,305,30,124.553571
cooling air,42.266962,15.267942,305,30,124.553571
cooling air,42.766515,15.151541,305,30,124.553571
cooling air,43.315633,15.062831,305,30,124.553571
cooling air,43.919235,14.996862,305,30,124.553571
cooling air,44.582727,14.948875,305,30,124.553571
cooling air,45.312053,14.914612,305,30,124.553571
cooling air,46.113744,14.890499,305,30,124.553571
cooling air,46.994982,14.873697,305,30,124.553571
cooling air,48.302641,14.858027,305,30,124.553571
cooling air,49.988370,14.848086,305,30,124.553571
cooling air,51.674109,14.842493,305,30,124.553571
cooling air,53.359858,14.838985,305,30,124.553571
cooling air,55.045616,14.836586,305,30,124.553571
cooling air,56.731382,14.834835,305,30,124.553571
cooling air,58.417156,14.833500,305,30,124.553571
