figure	artifact	tag	sha256
cd_history.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	six primals	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
cl_history.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	six primals	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
baseline_drag_three_conditions.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	six primals	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
trimmed_alpha.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	asserted present in the log	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
decomposition_study.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/DECOMP_SWEEP_ROLLUP.json	-	6c411fb0faa1c1d599b41151dfdb23aee809b70bf4841e1940f7294190bfb5c0
residuals_cl04_f10.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl04	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl04_f25.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl04	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl04_f50.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl04	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl04_f75.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl04	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl04_f100.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl04	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl05_f10.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl05	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl05_f25.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl05	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl05_f50.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl05	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl05_f75.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl05	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl05	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl06_f10.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl06	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl06_f25.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl06	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl06_f50.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl06	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl06_f75.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl06	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
residuals_cl06_f100.png	/home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2_20260914T011050Z.log	cl06	815b88ff0a91853c12c044eb3c1ba8f7dba1bd23d1767d6b07163b080a85bdd8
