iteration,$U_x$,$U_y$,$U_z$,$h_e$,$\tilde\nu$,$p$
1,0.9999999999999963,1.0,1.0,0.9999999999988181,0.999999999998239,0.9999999999941752
100,0.02720154944151097,0.006297948003522237,0.02043376790365042,0.003371685883069819,0.01145470856354631,0.002721430133425631
200,0.0005709539959625859,0.001456759711361432,0.001017720029623269,0.001634969610251853,3.257279853110925e-06,0.0007638165489879203
300,7.958873281390527e-05,0.0001710482698896209,0.0001342488618670425,0.0003377929789442719,1.06362381661316e-06,0.0002648600435408452
400,3.366493562117061e-05,7.058870512261792e-05,5.032476190843438e-05,0.0001222519007499231,3.809788917361792e-07,0.000100472307539224
500,9.954146850803534e-06,2.410238996562663e-05,1.639861694841342e-05,3.319160923461652e-05,1.5213686441051e-07,2.870328483171217e-05
600,2.214629241746142e-06,5.1694133349179e-06,3.553808302864399e-06,7.730817986812957e-06,1.191347718282623e-07,7.875956696933759e-06
700,6.031669292069645e-07,1.959549083518393e-06,1.144336598528129e-06,2.336834888565386e-06,1.11638814563979e-07,4.753679357683359e-06
800,2.082840411585962e-07,8.717492102330573e-07,4.592197766816865e-07,7.51345652716598e-07,1.070010040139005e-07,2.337329864516352e-06
900,5.115678374790055e-08,2.371670151389032e-07,1.14219140173792e-07,1.73043240421816e-07,4.773519564774602e-08,6.516287599606705e-07
1000,1.674434406745033e-08,3.965017253638342e-08,2.526570984503446e-08,3.681419890194644e-08,4.561460482581442e-08,1.19544940618882e-07
1100,1.005590546331866e-08,6.001016909064339e-09,8.031202651880106e-09,1.226523838708106e-08,4.467917827129852e-08,3.050732790842845e-08
1200,9.971116918422657e-09,8.899565048673065e-09,1.010048699096196e-08,1.174230651936429e-08,4.369966284152006e-08,3.518803824340252e-08
1300,9.46882947232437e-09,4.537111528770895e-09,6.704518881579759e-09,1.040261333639318e-08,4.326194967648787e-08,2.922377965707111e-08
1400,9.387581754886967e-09,5.489692430801683e-09,7.389602439329297e-09,9.96977077621126e-09,4.340405474078653e-08,2.714521684644806e-08
1500,9.297067134703036e-09,5.137881323211155e-09,7.179303432415048e-09,9.579781745841662e-09,4.273774090473667e-08,2.674523592990932e-08
1600,9.21296269303047e-09,4.199832860432939e-09,6.357081990457547e-09,9.301559779867095e-09,4.286570748445613e-08,2.51526862754458e-08
1700,9.135687901519266e-09,3.624504519540496e-09,5.958172574318695e-09,9.090877994225721e-09,4.295736379965203e-08,2.509206512152489e-08
1800,9.117817955132236e-09,3.629862529986388e-09,6.198299239165592e-09,9.066274054318002e-09,4.273973928295168e-08,2.566924394932127e-08
1900,9.05673605788841e-09,3.525907803676884e-09,6.167243987163355e-09,8.956107907504928e-09,4.277485504790664e-08,2.84218986464774e-08
2000,9.066386563499726e-09,3.619642554389561e-09,6.113115357261514e-09,8.908197196511577e-09,4.276282787769371e-08,2.583840008802371e-08
