design_iteration,J_weighted_Cd,J0,published_reduction
0,0.021553219144,0.021553219144,0.084
1,0.021169630483739786,0.021553219144,0.084
2,0.02097594188738466,0.021553219144,0.084
3,0.02062904942406207,0.021553219144,0.084
4,0.02044126679473106,0.021553219144,0.084
5,0.02040189834103039,0.021553219144,0.084
6,0.020176629845651373,0.021553219144,0.084
7,0.0200847024256527,0.021553219144,0.084
8,0.0200122518862044,0.021553219144,0.084
9,0.020063779838905903,0.021553219144,0.084
10,0.019910149312675204,0.021553219144,0.084
11,0.019874681755357886,0.021553219144,0.084
12,0.01984672879354747,0.021553219144,0.084
13,0.01982469829206737,0.021553219144,0.084
14,0.019807335445197815,0.021553219144,0.084
15,0.019793651305883612,0.021553219144,0.084
16,0.01978286645762817,0.021553219144,0.084
17,0.019774366620757017,0.021553219144,0.084
18,0.019767667664487534,0.021553219144,0.084
19,0.019762388031974495,0.021553219144,0.084
20,0.019758227007726628,0.021553219144,0.084
21,0.019754947589557165,0.021553219144,0.084
22,0.01975236298949488,0.021553219144,0.084
23,0.019750325994779123,0.021553219144,0.084
24,0.019748720582966065,0.021553219144,0.084
25,0.019747455313562284,0.021553219144,0.084
