iteration,$U_x$,$U_y$,$U_z$,$h_e$,$\tilde\nu$,$p$
1,0.9001158888901359,0.9300047539286515,0.9198995643555405,0.9333530861062697,0.9318853810787805,0.9525048264277093
101,0.1608039850165534,0.1747772567368615,0.16934217690122205,0.19309986992157377,0.18485122633416096,0.2592800208403513
201,0.051128037277530916,0.05747573255366332,0.05492799475864731,0.06769370419527594,0.0630129315268416,0.10909758890447563
301,0.019007334978970853,0.02199817905124575,0.020774935243740442,0.027379694100005146,0.024877690810689242,0.05166042737836463
401,0.007729634067218398,0.009185824379323386,0.008581880370463426,0.012021630347662692,0.010685558270691274,0.026178575481130142
501,0.0033424128856578334,0.004071259022860595,0.0037655147266649667,0.005583282426802793,0.004862138148203254,0.013895611356590268
601,0.0015132133901424028,0.0018866518776150792,0.001728454402457227,0.0027043053913148917,0.0023098536048762387,0.007636119263391899
701,0.0007103756262662774,0.0009056062465018639,0.000822176493029113,0.0013540284514215427,0.0011353566487892184,0.004312854906083857
801,0.0003435455449079642,0.00044742037560650415,0.0004026760307550065,0.0006966398398476601,0.0005738574390854656,0.0024912022563822168
901,0.00017035334032172462,0.00022648656408726724,0.0002021283661185478,0.0003667183521955439,0.0002969512348847337,0.0014664430921587303
1001,8.630977161570907e-05,0.00011706775757768168,0.00010362845566468372,0.000196881015998339,0.00015679831668126675,0.0008773640763434904
1101,4.455844280634552e-05,6.162441988091342e-05,5.41189538362631e-05,0.00010753265860754627,8.426794325121436e-05,0.0005324265732423005
1201,2.3389519291717062e-05,3.296683384521437e-05,2.8728652472932742e-05,5.963247725742148e-05,4.6000839558838446e-05,0.00032718628410593304
1301,1.2461527874412902e-05,1.7892472861624972e-05,1.5474882041791556e-05,3.35222897202398e-05,2.546450777691865e-05,0.00020333393286742067
1401,6.7289927462188894e-06,9.838317188347034e-06,8.446303859939206e-06,1.9077286249666054e-05,1.4275105509511736e-05,0.00012765215020489357
1501,3.6781498962166165e-06,5.474140765705879e-06,4.665673493395121e-06,1.0978637551942738e-05,8.094719601474477e-06,8.088181499883564e-05
1601,2.0331100043023682e-06,3.079076463174295e-06,2.6057309783751024e-06,6.382913204740862e-06,4.63854191091007e-06,5.1681996776432765e-05
1701,1.1354273583644712e-06,1.7492851918756145e-06,1.4700565453927261e-06,3.746069379077571e-06,2.6838404298331247e-06,3.328146349141407e-05
1801,6.401637385509312e-07,1.0030265554139436e-06,8.37143217858325e-07,2.2177558693241524e-06,1.5668013205313602e-06,2.1586792330958256e-05
1901,3.641365173983335e-07,5.800864222083172e-07,4.808836772575661e-07,1.3236274777190754e-06,9.223147253625883e-07,1.4095352393818117e-05
