gmres_iteration,residual
0,0.00195
2,0.001950997260321581
4,0.0019431926220823182
6,0.0019212112392596118
8,0.001883287738220478
10,0.0018315780659282875
12,0.0017715068222572776
14,0.001710340431702643
16,0.0016107127730806638
18,0.0014763646347312307
20,0.0013609803274558996
22,0.001263119243699338
24,0.0011779588708166198
26,0.0010998537823526033
28,0.001023969474936111
30,0.0009472987375956837
32,0.0008690243416632226
34,0.0007902827543371762
36,0.000713496744336423
38,0.0006415116383474044
40,0.0005767743087075558
42,0.0005207427522518306
44,0.0004736278676791801
46,0.0004344735954181502
48,0.00040150080997053796
50,0.0003725907232862507
52,0.00034577147351930453
54,0.000319593544668874
56,0.00029332478669319407
58,0.0002669495844763345
60,0.00024100507963724743
62,0.0002163198601700596
64,0.0001937322609871998
66,0.0001738571358447389
68,0.00015694699811876238
70,0.00014286364672526266
72,0.0001311479140815387
74,0.00012115442689768337
76,0.00011220878334933206
78,0.00010374661335200312
80,9.540514525566375e-05
82,8.705399249497823e-05
84,7.876829948226817e-05
86,7.076026061861601e-05
88,6.329195985518256e-05
90,5.659287796397246e-05
92,5.080031339918242e-05
94,4.593249722761645e-05
96,4.189490478861158e-05
98,3.851247622724213e-05
100,3.557571002335586e-05
102,3.28874653382787e-05
104,3.0299434842359836e-05
106,2.773157018932352e-05
108,2.5172871476398223e-05
110,2.2666556925729115e-05
112,2.0285730822408714e-05
114,1.810680784572749e-05
116,1.6187207893353007e-05
118,1.4551709352883683e-05
120,1.3189076030126373e-05
122,1.2057910664769817e-05
124,1.1098734948271417e-05
126,1.0248381248882522e-05
128,9.452934963301723e-06
130,8.676465228814438e-06
132,7.904245309864845e-06
134,7.1406709625317855e-06
136,6.403278215295037e-06
138,5.714919817014592e-06
140,5.096223925565642e-06
142,4.560019278042049e-06
144,4.108658945271061e-06
146,3.734339535715719e-06
148,3.4218027422325266e-06
150,3.1523638522196825e-06
152,2.908092380944429e-06
154,2.6751438130999457e-06
156,2.4456162405044356e-06
158,2.217758930363745e-06
160,1.994772584048906e-06
162,1.7827248197344913e-06
164,1.5882164210874202e-06
166,1.4163787604539554e-06
168,1.2696030703412088e-06
170,1.1471617438268946e-06
172,1.0456471360415227e-06
174,9.599777484882894e-07
176,8.846353212778229e-07
178,8.148032966366384e-07
180,7.471590701186905e-07
182,6.801970227031856e-07
184,6.140900564519199e-07
186,5.50202870332112e-07
188,4.904306012736892e-07
190,4.3654582792112486e-07
192,3.8970227162447767e-07
194,3.501807573786406e-07
196,3.1739169370009106e-07
198,2.9008653180804136e-07
200,2.6669096624708546e-07
202,2.456602553103528e-07
204,2.2576992265343295e-07
206,2.0628572263317168e-07
208,1.8699483157187253e-07
210,1.6811561081446335e-07
212,1.501282746109597e-07
214,1.3357948079230493e-07
216,1.1891035395469766e-07
218,1.0634312360720417e-07
220,9.584168219484068e-08
222,8.714154144342098e-08
224,7.982946727321751e-08
226,7.34451821933115e-08
228,6.757744294790172e-08
230,6.193313536855411e-08
232,5.6368151260773754e-08
234,5.087969630420938e-08
236,4.5568668430828673e-08
238,4.05861074034603e-08
240,3.6078867097242885e-08
242,3.214710046085023e-08
244,2.8821139735082414e-08
246,2.605950341435882e-08
248,2.3764572895557083e-08
250,2.180903501347761e-08
252,2.0064961886145596e-08
254,1.842827564077992e-08
256,1.683373777568285e-08
258,1.525868212491355e-08
260,1.3716639714124265e-08
262,1.2244133434091663e-08
264,1.0884903950706827e-08
266,9.675647331663667e-09
268,8.636253782083688e-09
270,7.76595396142765e-09
272,7.045160276915024e-09
274,6.441516144384246e-09
276,5.917968059022175e-09
278,5.440609472307937e-09
280,4.984511556612194e-09
282,4.536548970913549e-09
284,4.095105652817873e-09
286,3.6672884731612867e-09
288,3.2647382161386253e-09
290,2.8992526310914832e-09
292,2.579257926109667e-09
294,2.307779917183111e-09
296,2.082101021586598e-09
298,1.894866489951727e-09
300,1.736112651258779e-09
