# case: /home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2/mp04
# patch: patch/wing
# eta: 0.80
# plane_origin: (0.000000, 3.013334, 0.000000)
# plane_normal: (0, 1, 0)
# halfspan_b_over_2_m: 3.766668
# profile: optimised section, from the baseline cut (deform_sections.py)
# shape_share_pct: 70.0
# twist_share_pct: 22.0
# twist_deg: 0.2390
# points: 137
x,y,z
2.290693403,3.013334513,0.189773958
2.293112373,3.013334513,0.1880134651
2.294902193,3.013334513,0.1866999289
2.297759139,3.013334513,0.1855117122
2.301737106,3.013334513,0.184273842
2.307177938,3.013334513,0.1829993524
2.31450026,3.013334513,0.1816979268
2.323897247,3.013334513,0.1804133561
2.33386702,3.013334513,0.1793333388
2.343887731,3.013334513,0.1784455637
2.35390948,3.013334513,0.1777085189
2.363959327,3.013334513,0.1770942637
2.374030907,3.013334513,0.1765855758
2.384121415,3.013334513,0.1761692626
2.394227323,3.013334513,0.1758329067
2.404347008,3.013334513,0.175566413
2.414478845,3.013334513,0.1753585752
2.424620971,3.013334513,0.1751993468
2.43476151,3.013334513,0.1750774766
2.444910289,3.013334513,0.1749804878
2.455066163,3.013334513,0.1748974934
2.465228703,3.013334513,0.1748169725
2.475396509,3.013334513,0.1747314483
2.485569593,3.013334513,0.1746378364
2.495746039,3.013334513,0.1745383768
2.505926043,3.013334513,0.1744438041
2.516108338,3.013334513,0.1743713458
2.526292809,3.013334513,0.1743485717
2.536478376,3.013334513,0.1744059853
2.546663934,3.013334513,0.1745803059
2.556849321,3.013334513,0.1749095255
2.567033212,3.013334513,0.1754259687
2.577214775,3.013334513,0.1761572561
2.587393941,3.013334513,0.1771205158
2.59759667,3.013334513,0.1783220023
2.607790352,3.013334513,0.1797490387
2.617974125,3.013334513,0.1813795052
2.628147659,3.013334513,0.1831782154
2.638310404,3.013334513,0.1851056947
2.648462538,3.013334513,0.1871193255
2.658603994,3.013334513,0.1891776374
2.668735631,3.013334513,0.1912465847
2.678856842,3.013334513,0.1933001676
2.688970318,3.013334513,0.1953218917
2.69907823,3.013334513,0.1973055352
2.709182956,3.013334513,0.1992527053
2.719287099,3.013334513,0.2011683445
2.729394201,3.013334513,0.203060549
2.739507105,3.013334513,0.2049334241
2.749629391,3.013334513,0.2067866096
2.759796591,3.013334513,0.2086176724
2.769979727,3.013334513,0.2104008697
2.780181774,3.013334513,0.2121083462
2.790405547,3.013334513,0.2136948875
2.800657695,3.013334513,0.2151092561
2.810931619,3.013334513,0.2162757763
2.821221445,3.013334513,0.2171169161
2.83150826,3.013334513,0.2175368974
2.841230704,3.013334513,0.2174492919
2.848516347,3.013334513,0.2169958308
2.853325627,3.013334513,0.2164581582
2.856364853,3.013334513,0.2159823949
2.858282842,3.013334513,0.2156075996
2.859494468,3.013334513,0.215328449
2.860258969,3.013334513,0.2151273483
2.860743061,3.013334513,0.2149892928
2.860723709,3.013334513,0.2154560986
2.860704357,3.013334513,0.2159228744
2.860685005,3.013334513,0.2163896799
2.860665652,3.013334513,0.2168565003
2.860167242,3.013334513,0.2170545579
2.859155484,3.013334513,0.2174308781
2.857021802,3.013334513,0.2181297381
2.852412954,3.013334513,0.219372408
2.844249882,3.013334513,0.22109276
2.835311835,3.013334513,0.2225535642
2.825552109,3.013334513,0.223805186
2.81571399,3.013334513,0.2248166294
2.80586009,3.013334513,0.2256677126
2.795992754,3.013334513,0.2264246393
2.786117513,3.013334513,0.2271334498
2.776235679,3.013334513,0.227822279
2.766345287,3.013334513,0.2285052763
2.756445612,3.013334513,0.229184389
2.746534298,3.013334513,0.2298532034
2.736610692,3.013334513,0.2304964821
2.726672016,3.013334513,0.2310945784
2.716720521,3.013334513,0.2316222441
2.706756796,3.013334513,0.232052332
2.69678166,3.013334513,0.2323604174
2.686796152,3.013334513,0.2325255287
2.676801514,3.013334513,0.2325359875
2.666798936,3.013334513,0.2323923323
2.656789564,3.013334513,0.2321057525
2.646775439,3.013334513,0.2317011494
2.636756416,3.013334513,0.2312132388
2.626733521,3.013334513,0.2306820657
2.616707286,3.013334513,0.2301511557
2.606677781,3.013334513,0.2296613338
2.59664582,3.013334513,0.2292457385
2.58661178,3.013334513,0.2289284127
2.576575612,3.013334513,0.2287211441
2.566780989,3.013334513,0.2286223388
2.556986466,3.013334513,0.2286135394
2.547192616,3.013334513,0.2286722794
2.537399558,3.013334513,0.2287698037
2.527607425,3.013334513,0.228874084
2.517816832,3.013334513,0.2289519792
2.508027903,3.013334513,0.2289743858
2.498240977,3.013334513,0.2289162037
2.488455901,3.013334513,0.2287579019
2.478673675,3.013334513,0.2284877167
2.468894088,3.013334513,0.228099234
2.459117625,3.013334513,0.2275906989
2.449344749,3.013334513,0.2269653523
2.439575679,3.013334513,0.2262278641
2.429811104,3.013334513,0.2253841722
2.420051239,3.013334513,0.2244404865
2.410276998,3.013334513,0.2233993647
2.40050934,3.013334513,0.2222660658
2.390748977,3.013334513,0.2210418165
2.380997583,3.013334513,0.2197247462
2.371256372,3.013334513,0.21831008
2.361528483,3.013334513,0.2167882859
2.35181779,3.013334513,0.2151449766
2.342130583,3.013334513,0.2133582417
2.332426753,3.013334513,0.2113845579
2.322774917,3.013334513,0.2091777098
2.313561318,3.013334513,0.2067375741
2.306304076,3.013334513,0.2044410617
2.300944911,3.013334513,0.2023707105
2.297073562,3.013334513,0.2005120576
2.294353397,3.013334513,0.1988603911
