"# SYNTHETIC: generated, not computed; illustrative of the registered MP_R2/MP_R3 optimisation whose first design iteration has not completed"
gmres_iteration,residual
0,0.00195
3,0.0019581493548921657
6,0.0019498818829520477
9,0.00191655826898724
12,0.0018584927268610143
15,0.0017845166981720897
18,0.0017086111976373172
21,0.0016448829364430209
24,0.0016026880813972484
27,0.0015583599246046216
30,0.0015107685056241972
33,0.0014657655944513904
36,0.001412980323411472
39,0.0013455827492415914
42,0.0012630133793744003
45,0.0011707420456857282
48,0.001077862137506192
51,0.0009936686792541365
54,0.0009245239548500843
57,0.0008720492186410527
60,0.0008331060936816985
63,0.000801370723678608
66,0.0007697887416745453
69,0.0007329854146854181
72,0.000688828864443174
75,0.0006387231429413634
78,0.0005866840962619356
81,0.0005376525774895365
84,0.0004957006328174589
87,0.00046274339237786197
90,0.0004381263729058193
93,0.00041912045173902394
96,0.0004020494453649992
99,0.0003835972882010422
102,0.00036183703370944024
105,0.00033667269834345245
108,0.00030961873556775623
111,0.0002830720677512409
114,0.0002593816666595488
117,0.00024005043554684198
120,0.0002253185763710507
123,0.00021421960666031007
126,0.00020503146049404017
129,0.00019592327774706783
132,0.00018555831054458834
135,0.0001734580145803856
138,0.00016003632111499382
141,0.00014633422198129237
144,0.00013358063253348612
147,0.00012274731529120816
150,0.00011424636673523763
153,0.00010785255503708286
156,0.00010284764030319203
159,9.831044814412077e-05
162,9.343779586787648e-05
165,8.778581665739118e-05
168,8.136179699352884e-05
171,7.455522326617449e-05
174,6.79515463159016e-05
177,6.210549010218188e-05
180,5.735425221010558e-05
183,5.3727341713120225e-05
186,5.0970414557939404e-05
189,4.8660416584853356e-05
192,4.636201164502216e-05
195,4.376808036296122e-05
198,4.0779795093017674e-05
201,3.750759795842003e-05
204,3.420305799707363e-05
207,3.115318722677095e-05
210,2.8577107602356978e-05
213,2.655896216219239e-05
216,2.503451672833373e-05
219,2.3828826259230994e-05
222,2.2725772975217288e-05
225,2.1542253277940035e-05
228,2.0181836144887844e-05
231,1.8652832267285298e-05
234,1.704948403666097e-05
237,1.5507366088123604e-05
240,1.4151156552915156e-05
243,1.3053060313646737e-05
246,1.221421749004517e-05
249,1.1572187852283049e-05
252,1.1028563189532201e-05
255,1.0484891125499656e-05
258,9.873917242306328e-06
261,9.176432714435857e-06
264,8.420072048837312e-06
267,7.66286426463182e-06
270,6.969009330643084e-06
273,6.385923876529945e-06
276,5.929969898487021e-06
279,5.584415689330582e-06
282,5.308657769711956e-06
285,5.054139960957584e-06
288,4.78080505847048e-06
291,4.4685677606313324e-06
294,4.12068537458834e-06
297,3.7590019648041983e-06
300,3.413731094438034e-06
303,3.1118878218661958e-06
306,2.8683719558433004e-06
309,2.682287584646102e-06
312,2.5390040012748696e-06
315,2.4164977691996486e-06
318,2.2932991406439445e-06
321,2.155199094058646e-06
324,1.9986687615882306e-06
327,1.8303073795544206e-06
330,1.6630398545713995e-06
333,1.510760684576022e-06
336,1.3834032354565837e-06
339,1.2840033505048452e-06
342,1.208453773844048e-06
345,1.1476622738938346e-06
348,1.0910718375602581e-06
351,1.0301939057486447e-06
354,9.609858175736015e-07
357,8.84445226303329e-07
360,8.054688731565321e-07
363,7.305896792395142e-07
366,6.654922845325013e-07
369,6.131568417268076e-07
372,5.731568458843121e-07
375,5.421836444247321e-07
378,5.154554190466414e-07
381,4.884236058761267e-07
384,4.581723853289053e-07
387,4.2409144137278404e-07
390,3.876999078972273e-07
393,3.5179639041846884e-07
396,3.1930822537702753e-07
399,2.922608738787958e-07
402,2.711905683380611e-07
405,2.551324227525375e-07
408,2.421080764478463e-07
411,2.2988265843043205e-07
414,2.1670390716146509e-07
417,2.0178197753871097e-07
420,1.8538750600800631e-07
423,1.6858842860672532e-07
426,1.527623724947843e-07
429,1.3907647196212885e-07
432,1.2811054844015895e-07
435,1.1972785042849892e-07
438,1.1320141084367139e-07
441,1.0751866239110324e-07
444,1.0173894707599819e-07
447,9.527859150620506e-08
450,8.80395886562419e-08
