"# SYNTHETIC: generated, not computed; illustrative of the registered MP_R2/MP_R3 optimisation whose first design iteration has not completed"
design_iteration,$C_L=0.4$,$C_L=0.5$,$C_L=0.6$
0,0.4,0.5,0.6
1,0.4001421117772567,0.5001421117772566,0.6001421117772566
2,0.39997376016472064,0.4999737601647206,0.5999737601647206
3,0.3999318823624074,0.4999318823624074,0.5999318823624074
4,0.400026049373053,0.500026049373053,0.6000260493730529
5,0.400030162946951,0.5000301629469509,0.6000301629469509
6,0.3999810564521849,0.4999810564521849,0.5999810564521848
7,0.3999880116055633,0.4999880116055633,0.5999880116055633
8,0.40001193950561104,0.5000119395056111,0.600011939505611
9,0.40000395051000776,0.5000039505100078,0.6000039505100078
10,0.39999314062245417,0.49999314062245415,0.5999931406224541
11,0.3999992382712908,0.4999992382712908,0.5999992382712908
12,0.40000366236914453,0.5000036623691445,0.6000036623691445
13,0.39999971485655816,0.49999971485655814,0.5999997148565581
14,0.39999817232650564,0.4999981723265056,0.5999981723265055
15,0.40000048386323184,0.5000004838632318,0.6000004838632318
16,0.40000084901727456,0.5000008490172745,0.6000008490172745
17,0.3999995948118918,0.49999959481189177,0.5999995948118917
18,0.3999996389148323,0.4999996389148323,0.5999996389148322
19,0.4000002747020814,0.5000002747020813,0.6000002747020813
20,0.40000013466570206,0.500000134665702,0.600000134665702
21,0.3999998340982735,0.4999998340982735,0.5999998340982734
22,0.3999999614927878,0.4999999614927878,0.5999999614927878
23,0.40000009228684397,0.500000092286844,0.6000000922868439
24,0.4000000027302134,0.5000000027302134,0.6000000027302134
25,0.3999999521142418,0.49999995211424175,0.5999999521142417
