iteration,$U_x$,$U_y$,$U_z$,$h_e$,$\tilde\nu$,$p$
1,0.9999999999999968,1.0,1.0,0.999999999993853,0.9999999999606581,0.9999999999942178
100,0.02678933456545104,0.006320505095962364,0.02052582747365786,0.003370778070067252,0.01326829375073488,0.002789709311072428
200,0.0006044154362245693,0.001500333716292497,0.001056980696420719,0.001775269842716597,3.450088932623776e-06,0.0008123506307495303
300,8.19633564874858e-05,0.0001717579335809653,0.0001369613167600435,0.000346279514308867,1.105936387853679e-06,0.0002695691398135665
400,3.503927503230988e-05,7.381768658364225e-05,5.265791858040547e-05,0.0001281568068367097,4.028269402865695e-07,0.0001063020894193998
500,1.056975948541307e-05,2.575051888603176e-05,1.750784852825555e-05,3.531136830203722e-05,1.750445911485782e-07,3.119446216102789e-05
600,2.348073757949895e-06,5.568742651246668e-06,3.806084701749123e-06,8.212840316022224e-06,1.329834669966566e-07,8.657465812068448e-06
700,6.400559436559713e-07,2.03351883221427e-06,1.174548946745246e-06,2.458400021570528e-06,1.29825769393668e-07,4.974158667174677e-06
800,2.288989429868246e-07,1.003578214405376e-06,5.256292325202893e-07,8.195442204640856e-07,1.22280614302361e-07,2.753615722257659e-06
900,8.206308892294515e-08,4.056839702586978e-07,2.025127483679213e-07,2.963874272547365e-07,1.203909276350364e-07,1.273149677066131e-06
1000,3.420634100715183e-08,1.198367234577103e-07,6.488051285973712e-08,9.035090900477901e-08,1.200925381988815e-07,3.69252967192393e-07
1100,1.820605514499649e-08,1.368723857629607e-08,1.405920903383137e-08,2.694666796949169e-08,1.20073964011919e-07,6.400013748347281e-08
1200,1.731643308487728e-08,1.054106988480147e-08,1.197007841178955e-08,2.332575061810643e-08,1.193136082229264e-07,5.73965464416724e-08
1300,1.730922915523153e-08,1.060294656074118e-08,1.190770838577128e-08,2.339877023171114e-08,1.198795758235983e-07,5.756626490158305e-08
1400,1.740334742601121e-08,1.049613098883107e-08,1.17383641537906e-08,2.341625605855637e-08,1.20862843822866e-07,5.465745462710903e-08
1500,1.735325803177331e-08,1.055204141442653e-08,1.177892756256896e-08,2.337643519609472e-08,1.200647435560528e-07,5.361563039806679e-08
1600,1.75817271537084e-08,1.052501273731024e-08,1.19183967737468e-08,2.436783496070384e-08,1.202756935241608e-07,5.452844201680706e-08
1700,1.78519212128911e-08,1.066478461617044e-08,1.223991153666614e-08,2.629046827099789e-08,1.20018637875063e-07,5.613836802817263e-08
1800,1.804497107951069e-08,1.091800538844397e-08,1.225437397542513e-08,2.698409376881632e-08,1.207945657354281e-07,5.821149874374848e-08
1900,1.798915410024139e-08,1.06627519026799e-08,1.211886757528156e-08,2.684944653743151e-08,1.198946839787397e-07,5.662650093359021e-08
2000,1.800828210604669e-08,1.072802864842202e-08,1.206408731915338e-08,2.685411152351436e-08,1.194718885139746e-07,5.678212567273067e-08
