iteration,$U_x$,$U_y$,$U_z$,$p$,$k$,$\omega$
1,0.0166879834485,0.0726676239655,0.222100403571,0.198645571029,1.0,0.997113001174
2,0.00982976631969,0.0302041753221,0.108679729822,0.194356385224,0.300232513366,0.337628838459
3,0.00761915278122,0.0187043692,0.064920488412,0.0969694425656,0.12997467426,0.139420124616
4,0.00592739594993,0.0148969549171,0.0479790820166,0.0843681409661,0.0704879537083,0.068199471811
5,0.00430794201393,0.0117072754819,0.0404031085065,0.0794972575397,0.0439972045915,0.0394478204638
6,0.00330632788447,0.0102595362588,0.0366899033227,0.0734360262221,0.0298990548753,0.0256219332898
7,0.00301320119793,0.00977413901492,0.032175032441,0.0649036623135,0.0214254000724,0.0179680042881
8,0.0029367010818,0.00943124737344,0.0274642657772,0.056154654559,0.0160249085004,0.0132624265674
9,0.00274335101319,0.00909989632407,0.024018248375,0.0491738530981,0.0123483031724,0.0101631842183
10,0.00248326035708,0.00885707489331,0.022093483217,0.0441853987491,0.00974945544527,0.00801256386454
11,0.00225825468752,0.00877479907708,0.0207228984968,0.0409023502357,0.00787845019272,0.00646038765459
12,0.00212615031234,0.0088232933044,0.0192959809195,0.0388223288768,0.0064953671058,0.00530767359482
13,0.00205953620852,0.00890848991632,0.0179208275475,0.037281561932,0.00546405864317,0.00443511172996
14,0.00199252505715,0.00899500771595,0.0167769452475,0.0359744699462,0.00468735512602,0.00375932046479
15,0.00191582833725,0.00908219203176,0.0159581949894,0.0347674221243,0.00409333526387,0.00322745678107
16,0.00183751906222,0.00918714710326,0.0153491952047,0.0336748133396,0.0036380840884,0.00280372441951
17,0.00177654455744,0.00928777055524,0.0147651406048,0.0327197406113,0.00327935776885,0.00246040530567
18,0.00172664471298,0.00934708152417,0.0141606513604,0.0319553247518,0.00299077836323,0.00217815419929
19,0.0016835188781,0.00936419753586,0.013572736406,0.0313049866637,0.00276295200739,0.00194370297573
20,0.00164423699485,0.00935566113693,0.0130488279518,0.0305827729377,0.00257351387955,0.00174417911432
21,0.00160880624898,0.00935781937252,0.0125728323087,0.0299442457823,0.00241997792105,0.00157407259124
22,0.00157931356069,0.00937921620954,0.0121220045597,0.0295607680385,0.00229690437477,0.00142934155479
23,0.0015568997726,0.00941505557328,0.0116971049871,0.0292484476626,0.0021933970248,0.00130329341647
24,0.00153799182367,0.00944159973953,0.0113120243071,0.0291589319082,0.00210129243054,0.0011930766384
25,0.00152305933265,0.00944927098364,0.0109726032627,0.0291199857346,0.0020280251016,0.00109740086993
26,0.00150900267328,0.00946248593339,0.0106709480603,0.0290763128123,0.00196755195822,0.00101378557574
27,0.00149637950499,0.00948185512184,0.0104083772842,0.0290237028675,0.0019100049219,0.000941056014851
28,0.00148440368676,0.00952633638434,0.0101731348195,0.0290224778609,0.00186470803328,0.000877449293632
29,0.00147122125466,0.00958136552364,0.00999104607718,0.0290891247119,0.001829867689,0.00082178558888
30,0.00145522205732,0.00964863706365,0.00985195481995,0.0291273954649,0.0018006335642,0.000772274490899
31,0.0014386535499,0.00968796172749,0.00976259232833,0.0289652497373,0.00178000806683,0.000727932488999
32,0.00142085958491,0.00971838393947,0.00972676008373,0.0288924220175,0.00175808603774,0.000687716229775
33,0.00140303555477,0.009729924296,0.00969974313379,0.0288673137987,0.0017479636079,0.00065208627611
34,0.00138428452183,0.00973663582639,0.00967600110362,0.0288100770791,0.00173764279936,0.000619965917105
35,0.00136540395296,0.00973089666665,0.00964058779523,0.0286828718924,0.00173194769078,0.000590021220775
36,0.00134734653524,0.00972441132232,0.00958661053971,0.0285928115718,0.00173370379331,0.000562456314563
37,0.00133327289752,0.00972485343251,0.00951842817017,0.0284746558241,0.00173880062375,0.000536047209289
38,0.00132134855834,0.00975348710533,0.00942152853145,0.0283719792016,0.00174680125465,0.000511155194918
39,0.00131117013661,0.00981953097025,0.0093249297533,0.0283855835397,0.00175255439413,0.000487685172406
40,0.00130122885511,0.00990934551765,0.00924077587685,0.0285690786146,0.00176328212869,0.000467061498084
41,0.00129117737877,0.0100282114325,0.00916296709243,0.028805247329,0.00177841029911,0.000448134685925
42,0.00128453436709,0.0101835646063,0.00908134193099,0.0290138675144,0.00179339969089,0.00043180046416
43,0.00128005048886,0.0103503199934,0.0090007239658,0.0290114970052,0.00181815418503,0.000417318629258
44,0.00127440980701,0.0105126745987,0.00894259792952,0.0287792395276,0.00184210313218,0.000403830265756
45,0.00126665421697,0.0106275174916,0.00889275957154,0.0288560174585,0.00186673979659,0.000391318049555
46,0.00125805952021,0.0106880268872,0.0088509020327,0.0289693887155,0.00189178692568,0.000379594210351
47,0.00124918147084,0.010759295815,0.00881630934886,0.0289479163931,0.00191170053757,0.00036814571407
48,0.00124358460965,0.0108195178044,0.00879501086536,0.0288194027931,0.00193503080568,0.000357706839538
49,0.00124085817586,0.010856117279,0.00878155655818,0.0285606919374,0.00196461727562,0.000348076670514
50,0.0012377516853,0.0108632553692,0.0087966792272,0.0281263902681,0.00199139360545,0.000338792444769
51,0.00123125815762,0.0108656213618,0.00883902946216,0.0278233851973,0.00201862343778,0.000330470533999
52,0.00122207523993,0.0108731918611,0.00889489807761,0.0274632971267,0.00205037728269,0.000323221809043
53,0.00121403295675,0.0108721010525,0.00895188192241,0.0273871869861,0.00207440535169,0.000315681359101
54,0.00120510046466,0.0108365547507,0.00900385892717,0.0274040767087,0.00209010764823,0.000308023709353
55,0.00119829425884,0.0107928223078,0.00902634492324,0.0273119236493,0.00210564075962,0.000300207411728
56,0.00118938713359,0.010763673118,0.00905158171935,0.0271360575919,0.0021195973237,0.000292562139617
57,0.00117904712202,0.0107708849465,0.00908458664815,0.0268680047908,0.00213862569331,0.000285341320239
58,0.00116792161832,0.0108223504848,0.00912918953825,0.0265898913967,0.00215019201879,0.000278326334588
59,0.00115887549623,0.0108682122951,0.0091820186311,0.0262740625709,0.00215805164256,0.000272410618573
60,0.00115131336913,0.0108627307575,0.00922111283725,0.0259437618893,0.00216344004944,0.000266360407858
61,0.00114612256692,0.0108287261017,0.00924150770274,0.0257721043104,0.00216312221454,0.000261173234109
62,0.00114068355196,0.010769837654,0.00924087933022,0.0256665881244,0.00215738615146,0.000255768452549
63,0.00113564490604,0.0106740080327,0.00923059896145,0.0255658781995,0.00215502005814,0.00025126016239
64,0.00113149992527,0.010555512836,0.0092110118751,0.0254225899998,0.00214583297491,0.000247217299333
65,0.00112793704737,0.0104224177316,0.00917425994576,0.0252007637827,0.00213707972355,0.000243161143564
66,0.00112511903216,0.0102687018599,0.00913988101719,0.0249769920415,0.00213611956269,0.000238842433205
67,0.00112221580617,0.0101067689263,0.00910889373268,0.0248289094303,0.00213121411407,0.000235209325767
68,0.00111905032373,0.00994773743579,0.00908677734997,0.0247225460297,0.00212490847936,0.000231974358408
69,0.00111532681213,0.00980341501837,0.0090553298592,0.0245071112322,0.00212053493925,0.00022887198669
70,0.0011109383157,0.00968603086148,0.00901658147681,0.0242331265031,0.00212103021982,0.000226276255477
71,0.00110657221125,0.00959453258608,0.00897144343897,0.0239198006289,0.00212051066894,0.000223521867496
72,0.00110345141973,0.009528531357,0.00891865903901,0.0236460936844,0.00212527277193,0.000221135801787
73,0.00110071226333,0.00947135968592,0.008862812872,0.0234483501011,0.00213323807021,0.000218921351767
74,0.0010985746672,0.00942436609639,0.00879683660028,0.0233394174376,0.00214647423294,0.000216640699845
75,0.00109605651872,0.00938063432538,0.00872295381879,0.0231959872556,0.00216263380839,0.000214192121816
76,0.00109322418846,0.00933465343693,0.00863589099879,0.0229886133064,0.00217842978173,0.000212140944602
77,0.00108990941555,0.00928046341028,0.00854087932537,0.0227762406797,0.00219249979138,0.000210231700862
78,0.00108494293625,0.00923598077124,0.00843617900751,0.0225367211175,0.0022061414977,0.000207816839671
79,0.00107919405267,0.00920230378117,0.00833083755646,0.0222825995987,0.00222129676753,0.000206048019775
80,0.00107343044413,0.00917548626881,0.00822561996328,0.0220690658566,0.00223817527738,0.000203980980213
81,0.00106851715643,0.00914948936429,0.00813391962596,0.0219215941095,0.00225629117797,0.00020237937445
82,0.00106400861281,0.00912597045174,0.00806149296917,0.02186378322,0.00227278609453,0.000200502468221
83,0.00106111353412,0.00910345681779,0.0080049077306,0.0218298104316,0.0022919124792,0.000199368765315
84,0.00105821858228,0.00907917494428,0.007956687229,0.0218313648252,0.00231261862884,0.000198000731168
85,0.00105637086096,0.00904990102649,0.00790643994022,0.0218788706358,0.00233301858964,0.000196995156748
86,0.00105580812132,0.00901648775479,0.00786543881257,0.0220293693527,0.00235113787737,0.000196330583128
87,0.00105555622175,0.00897290092736,0.007836302695,0.0221777207134,0.00236706459331,0.000195607635107
