iteration,Y'(-12),Y'(-8),Y'(-4),Y'(+0),Y'(+4),Y'(+8),Y'(+12),N'(-12),N'(-8),N'(-4),N'(+0),N'(+4),N'(+8),N'(+12)
1,0.06239243042346034,0.039282392912354844,0.018441390500353098,-4.769245418889775e-07,-0.018440970790433105,-0.03928241238421061,-0.062392899736169356,0.0018222976674810735,0.0011637429636516046,0.000567951277390238,-5.945699879140655e-08,-0.000567952012871439,-0.0011637426801925995,-0.0018222730169064972
2,0.0034008884068675196,0.0016956048458989905,0.0007519242087176831,-1.9423314444825362e-05,-0.0006737689843229197,-0.0020021773318968455,-0.0036959655483324925,0.0012593660968272793,0.0009354678146820356,0.0004933207389653952,-5.311555543595559e-06,-0.00045284991949997785,-0.0008658203753926293,-0.0013149647305571858
3,-0.005620112294204015,-0.003935440321328576,-0.0019795125508001985,-7.55033173583131e-06,0.0020317012721169083,0.003858533247390765,0.005432817321667913,0.0003493252752852514,0.0002608279259252321,0.00014660550530662704,-1.075242383150268e-06,-0.00013000551699922431,-0.0002432688177107092,-0.0003786226198117386
4,-0.009111556616740823,-0.00607342995793482,-0.002989557038335467,-2.3249706656650542e-06,0.003020617396842046,0.006099175610355831,0.008946273508480134,0.00013213546147235905,9.168094423633005e-05,5.430342212433677e-05,2.1959498598084916e-08,-4.77331300866674e-05,-9.12390628808749e-05,-0.00015029427577695879
5,-0.009121522738233953,-0.0060240380717538665,-0.0029720225590178064,3.087660390520264e-07,0.002988115413622108,0.0060639130204498525,0.008976062600223185,0.0002445154057888387,0.00017455485089102512,9.57638560254576e-05,-3.867217856197947e-08,-9.06153062572462e-05,-0.00017429457113712655,-0.0002603870886719124
6,-0.007992650142328092,-0.0052867827750450605,-0.002624240988707614,2.8598966531550864e-07,0.002630946427066683,0.0053246144719848775,0.007876635151206042,0.0005072224874773793,0.00035385894980928805,0.00018580301639689993,-2.3420431916098503e-07,-0.00018076226590344737,-0.00035247453309054157,-0.0005245239337220357
7,-0.006718435817570307,-0.004473757120481004,-0.00224329671552532,-6.052911822926782e-07,0.002244377722435435,0.004510473347670822,0.006650719744379972,0.0007545265315605797,0.0005193515221231799,0.0002688487532045591,-3.3954432648060454e-07,-0.0002649168668658997,-0.0005208170692765323,-0.0007709234388926515
8,-0.0056630029122759305,-0.0038009176674588707,-0.001921483710877385,-1.4903562283598634e-06,0.001924699713668942,0.0038421286555086545,0.005649446554864283,0.0009281171017407853,0.0006337502183430912,0.0003249184833845818,-3.872050708996317e-07,-0.000322926354050823,-0.0006390938613556847,-0.0009417235575796353
9,-0.004841299530806502,-0.003274952190160622,-0.001660784871550333,-2.0274155259241936e-06,0.0016674122206151011,0.003319154291412676,0.004866275092218655,0.0010274423266883048,0.000699148397675194,0.0003563287343660849,-4.178629460471334e-07,-0.0003560982134977111,-0.0007066121314724534,-0.0010363639354009158
10,-0.004205672086559788,-0.002848219190416316,-0.001445362060704801,-2.100912719002589e-06,0.001453600042289513,0.0028927671231173497,0.004246829086416566,0.0010780309163065194,0.0007310723830617319,0.0003707599161811328,-3.6655276085776265e-07,-0.00037173827411728886,-0.0007385304697146482,-0.0010820384523251144
