# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	7.5253026166e-02	3.7626513922e-02	3.7626512244e-02	-8.3940257407e-08	-9.4262030754e-08	1.0321773347e-08	-5.2291902050e-08	8.3940257364e-10	7.5253026166e-04	-7.3355972894e-21	7.5253026166e-04	-7.5253026166e-04
2                 	8.4017340224e-02	4.2008213133e-02	4.2009127092e-02	4.5697949229e-05	3.2431176803e-05	1.3266772427e-05	9.5822021878e-06	-4.5697949229e-07	8.4017340224e-04	-7.9743594978e-21	8.4017340224e-04	-8.4017340224e-04
3                 	7.5407897046e-02	3.7702563446e-02	3.7705333600e-02	1.3850771755e-04	9.5785509933e-05	4.2722207615e-05	2.6531651159e-05	-1.3850771755e-06	7.5407897046e-04	-7.1301502741e-21	7.5407897046e-04	-7.5407897046e-04
4                 	5.3176777001e-02	2.6585834754e-02	2.6590942247e-02	2.5537467386e-04	1.7052648936e-04	8.4848184501e-05	4.2839152430e-05	-2.5537467386e-06	5.3176777001e-04	-4.8960234163e-21	5.3176777001e-04	-5.3176777001e-04
5                 	-5.9004288034e-03	-2.9526927711e-03	-2.9477360323e-03	2.4783693635e-04	1.2415503318e-04	1.2368190317e-04	2.3656500453e-07	-2.4783693635e-06	-5.9004288034e-05	-2.0323871935e-21	-5.9004288034e-05	5.9004288034e-05
6                 	-1.7220150830e-01	-8.6105885535e-02	-8.6095622763e-02	5.1313858990e-04	3.6229695251e-04	1.5084163740e-04	1.0572765756e-04	-5.1313858990e-06	-1.7220150830e-03	-1.1242639107e-21	-1.7220150830e-03	1.7220150830e-03
7                 	-1.9720023753e-01	-9.8601957287e-02	-9.8598280247e-02	1.8385202763e-04	3.8633567272e-05	1.4521846036e-04	-5.3292446542e-05	-1.8385202763e-06	-1.9720023753e-03	6.9065771821e-22	-1.9720023753e-03	1.9720023753e-03
8                 	-1.6766449815e-01	-8.3831725432e-02	-8.3832772719e-02	-5.2364351265e-05	-1.6536957449e-04	1.1300522323e-04	-1.3918739886e-04	5.2364351265e-07	-1.6766449815e-03	3.9146769406e-21	-1.6766449815e-03	1.6766449815e-03
9                 	-7.1452415433e-02	-3.5685299420e-02	-3.5767116013e-02	-4.0908296396e-03	-4.1286098102e-03	3.7780170568e-05	-2.0831949904e-03	4.0908296396e-05	-7.1452415433e-04	5.5530940454e-21	-7.1452415433e-04	7.1452415433e-04
10                	1.5619868237e-01	7.8318669391e-02	7.7880012976e-02	-2.1932820738e-02	-2.1723759849e-02	-2.0906088914e-04	-1.0757349480e-02	2.1932820738e-04	1.5619868237e-03	-1.3505758251e-21	1.5619868237e-03	-1.5619868237e-03
11                	3.7072937834e-01	1.8546460453e-01	1.8526477381e-01	-9.9915360118e-03	-9.7480936193e-03	-2.4344239247e-04	-4.7523256134e-03	9.9915360118e-05	3.7072937834e-03	-4.0613764522e-21	3.7072937834e-03	-3.7072937834e-03
12                	5.5239261258e-01	2.7600648079e-01	2.7638613178e-01	1.8982549590e-02	1.8959728078e-02	2.2821512300e-05	9.4684532829e-03	-1.8982549590e-04	5.5239261258e-03	8.4350954059e-21	5.5239261258e-03	-5.5239261258e-03
13                	5.8647924670e-01	2.9291783501e-01	2.9356141170e-01	3.2178834444e-02	3.2039048058e-02	1.3978638552e-04	1.5949630836e-02	-3.2178834444e-04	5.8647924670e-03	1.3260106360e-20	5.8647924670e-03	-5.8647924670e-03
14                	4.5350507335e-01	2.2637362974e-01	2.2713144361e-01	3.7890693056e-02	3.7658285757e-02	2.3240729969e-04	1.8712939229e-02	-3.7890693056e-04	4.5350507335e-03	9.2883381117e-21	4.5350507335e-03	-4.5350507335e-03
15                	2.6554492343e-01	1.3241396702e-01	1.3313095642e-01	3.5849469942e-02	3.5581537431e-02	2.6793251014e-04	1.7656802461e-02	-3.5849469942e-04	2.6554492343e-03	2.1752764678e-21	2.6554492343e-03	-2.6554492343e-03
16                	9.4366098106e-02	4.6814291995e-02	4.7551806112e-02	3.6875705863e-02	3.6529178815e-02	3.4652704785e-04	1.8091325884e-02	-3.6875705863e-04	9.4366098106e-04	-6.3842705152e-21	9.4366098106e-04	-9.4366098106e-04
17                	-1.7705101932e-01	-8.8555565409e-02	-8.8495453912e-02	3.0055748414e-03	2.9920596405e-03	1.3515200936e-05	1.4892722198e-03	-3.0055748414e-05	-1.7705101932e-03	-3.5534069548e-20	-1.7705101932e-03	1.7705101932e-03
