# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	6.1974041307e-02	3.0987021345e-02	3.0987019962e-02	-6.9153843244e-08	-7.5810244086e-08	6.6564008424e-09	-4.1233322464e-08	6.9153843249e-10	6.1974041307e-04	-5.7717185541e-21	6.1974041307e-04	-6.1974041307e-04
2                 	4.3528074624e-02	2.1762102495e-02	2.1765972129e-02	1.9348174806e-04	1.5292678305e-04	4.0554965010e-05	5.6185909022e-05	-1.9348174806e-06	4.3528074624e-04	-3.5544074879e-21	4.3528074624e-04	-4.3528074624e-04
3                 	7.8827074673e-03	3.9376384584e-03	3.9450690089e-03	3.7152752626e-04	2.7992814121e-04	9.1599385050e-05	9.4164378078e-05	-3.7152752626e-06	7.8827074673e-05	-2.7152344066e-22	7.8827074673e-05	-7.8827074673e-05
4                 	-3.7853206759e-02	-1.8929377404e-02	-1.8923829355e-02	2.7740244698e-04	1.7262040437e-04	1.0478204261e-04	3.3919180883e-05	-2.7740244698e-06	-3.7853206759e-04	2.3133706261e-21	-3.7853206759e-04	3.7853206759e-04
5                 	-2.0478039429e-01	-1.0236924463e-01	-1.0241114965e-01	-2.0952510834e-03	-2.1310266573e-03	3.5775573819e-05	-1.0834011155e-03	2.0952510834e-05	-2.0478039429e-03	2.4316091533e-21	-2.0478039429e-03	2.0478039429e-03
6                 	-2.5366554474e-01	-1.2682958242e-01	-1.2683596232e-01	-3.1899489041e-04	-2.6146560387e-04	-5.7529286542e-05	-1.0196815866e-04	3.1899489041e-06	-2.5366554474e-03	-5.6045882521e-23	-2.5366554474e-03	2.5366554474e-03
7                 	-1.0609968294e-01	-5.3090516456e-02	-5.3009166482e-02	4.0674986932e-03	4.0693603243e-03	-1.8616310844e-06	2.0356109777e-03	-4.0674986932e-05	-1.0609968294e-03	3.4143968453e-21	-1.0609968294e-03	1.0609968294e-03
8                 	3.2424365115e-01	1.6166280936e-01	1.6258084180e-01	4.5901621969e-02	4.5336223392e-02	5.6539857682e-04	2.2385412407e-02	-4.5901621969e-04	3.2424365115e-03	4.5521834140e-20	3.2424365115e-03	-3.2424365115e-03
9                 	9.9494208286e-01	4.9679043783e-01	4.9815164503e-01	6.8060359777e-02	6.7183934817e-02	8.7642496022e-04	3.3153754928e-02	-6.8060359777e-04	9.9494208286e-03	7.4660394333e-20	9.9494208286e-03	-9.9494208286e-03
10                	1.8899824652e+00	9.4481585534e-01	9.4516660982e-01	1.7537723807e-02	1.7379413837e-02	1.5830997017e-04	8.6105519335e-03	-1.7537723807e-04	1.8899824652e-02	6.4277432121e-20	1.8899824652e-02	-1.8899824652e-02
11                	1.1550356039e+00	5.7767011426e-01	5.7736548962e-01	-1.5231232167e-02	-1.4920641517e-02	-3.1059064967e-04	-7.3050254338e-03	1.5231232167e-04	1.1550356039e-02	6.1040081489e-20	1.1550356039e-02	-1.1550356039e-02
12                	1.5492242491e-01	7.7595337963e-02	7.7327086951e-02	-1.3412550601e-02	-1.3132709255e-02	-2.7984134636e-04	-6.4264339541e-03	1.3412550601e-04	1.5492242491e-03	6.0820592865e-20	1.5492242491e-03	-1.5492242491e-03
13                	-3.0941412387e+00	-1.5507255938e+00	-1.5434156449e+00	3.6549744514e-01	3.6151560286e-01	3.9818422795e-03	1.7876688029e-01	-3.6549744514e-03	-3.0941412387e-02	3.0839938667e-20	-3.0941412387e-02	3.0941412387e-02
