# y+ ()           
# Time            	patch             	min               	max               	average           
50                	airfoil	2.1155102333e-04	8.4588356806e+02	3.1772373401e+01
100               	airfoil	3.2785898993e-02	5.2579854161e+02	1.2258812485e+02
150               	airfoil	2.4047967345e-02	4.8073257014e+02	1.7424164974e+02
200               	airfoil	1.1821566489e-02	4.4589730956e+02	1.9434056490e+02
250               	airfoil	5.0916262649e-02	4.1918081165e+02	1.9579836060e+02
300               	airfoil	2.8613459229e-01	3.9799742488e+02	1.9422113889e+02
350               	airfoil	5.0046384106e-01	3.8031473466e+02	1.9358792915e+02
400               	airfoil	6.1535559069e-01	3.6511246182e+02	1.9349757223e+02
450               	airfoil	7.1999982727e-01	3.5164817725e+02	1.9299694752e+02
500               	airfoil	8.0614516211e-01	3.3940165463e+02	1.9218790474e+02
550               	airfoil	8.7768014694e-01	3.2807153040e+02	1.9113955927e+02
600               	airfoil	9.4040454655e-01	3.1739585654e+02	1.8990602300e+02
