# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	6.1974041307e-02	3.0987021345e-02	3.0987019962e-02	-6.9153847277e-08	-7.5810245764e-08	6.6563984872e-09	-4.1233322126e-08	6.9153847326e-10	6.1974041307e-04	-5.7717185541e-21	6.1974041307e-04	-6.1974041307e-04
2                 	4.3516194819e-02	2.1756161579e-02	2.1760033240e-02	1.9358308709e-04	1.5299238142e-04	4.0590705664e-05	5.6200837879e-05	-1.9358308709e-06	4.3516194819e-04	-3.5519435828e-21	4.3516194819e-04	-4.3516194819e-04
3                 	7.8045113550e-03	3.8985415715e-03	3.9059697835e-03	3.7141059889e-04	2.7984376488e-04	9.1566834009e-05	9.4138465434e-05	-3.7141059889e-06	7.8045113550e-05	-2.4058901485e-22	7.8045113550e-05	-7.8045113550e-05
4                 	-3.8155440496e-02	-1.9080448315e-02	-1.9074992181e-02	2.7280672525e-04	1.6838040928e-04	1.0442631597e-04	3.1977046654e-05	-2.7280672525e-06	-3.8155440496e-04	2.3424355755e-21	-3.8155440496e-04	3.8155440496e-04
5                 	-2.0895201608e-01	-1.0445314807e-01	-1.0449886801e-01	-2.2859969630e-03	-2.3165247010e-03	3.0527737997e-05	-1.1735262195e-03	2.2859969630e-05	-2.0895201608e-03	2.5926502564e-21	-2.0895201608e-03	2.0895201608e-03
6                 	-2.5284610993e-01	-1.2640966165e-01	-1.2643644828e-01	-1.3393312925e-03	-1.2709128558e-03	-6.8418436722e-05	-6.0124720955e-04	1.3393312925e-05	-2.5284610993e-03	-6.4440820167e-23	-2.5284610993e-03	2.5284610993e-03
7                 	-1.0702181175e-01	-5.3521076986e-02	-5.3500734761e-02	1.0171112498e-03	1.0811287981e-03	-6.4017548330e-05	5.7257317321e-04	-1.0171112498e-05	-1.0702181175e-03	4.0045245445e-22	-1.0702181175e-03	1.0702181175e-03
8                 	2.8689452917e-01	1.4316796533e-01	1.4372656384e-01	2.7929925331e-02	2.7318061687e-02	6.1186364444e-04	1.3353099021e-02	-2.7929925331e-04	2.8689452917e-03	4.0485635849e-21	2.8689452917e-03	-2.8689452917e-03
9                 	1.7191899676e+00	8.5830419887e-01	8.6088576875e-01	1.2907849371e-01	1.2754933056e-01	1.5291631535e-03	6.3010083702e-02	-1.2907849371e-03	1.7191899676e-02	2.2187494218e-20	1.7191899676e-02	-1.7191899676e-02
10                	2.7484959402e+00	1.3732312215e+00	1.3752647187e+00	1.0167485911e-01	1.0034334360e-01	1.3315155120e-03	4.9505914043e-02	-1.0167485911e-03	2.7484959402e-02	3.1772088442e-20	2.7484959402e-02	-2.7484959402e-02
