# RAE 2822 aerofoil, AGARD AR-138 Case 9
# Cook, P.H., McDonald, M.A., Firmin, M.C.P., AGARD AR-138 (1979),
# RAE 2.438 x 1.829 m slotted tunnel, Farnborough, May 1979.
# Digitised transcription: AFOSR-HTTM/Stanford flow 8621 (evaluator
# R. E. Melnik, 1981), hosted by the NASA Turbulence Modeling
# Resource, https://tmbwg.github.io/turbmodels/Bradshaw/d2/f8621.txt
# Conditions as recorded ON THE TAPE:
#   free-stream Mach (uncorrected)  = 0.730
#   geometric angle of attack       = 3.19 deg
#   CORRECTED angle of attack       = 2.79 deg
#   Reynolds number (chord)         = 6.5e+06
#   transition trip at x/c          = 0.03
#   measured CN = 0.8030, CM = -0.0990, CD = 0.0168
# Quoted tap uncertainty (tape item 10): Cp to within +/- 0.0026 at
# Re = 6.5e6.
# 50 taps
# x/c            Cp
0.000000  +0.796359
0.000199  +1.015629
0.000696  +1.091184
0.001491  +1.131500
0.002484  +1.125699
0.003577  +1.094375
0.004670  +1.046663
0.005962  +0.997066
0.007254  +0.939929
0.008745  +0.896713
0.010434  +0.844070
0.012521  +0.784902
0.014607  +0.730955
0.018582  +0.650034
0.027128  +0.565197
0.037462  +0.439320
0.049983  +0.344766
0.062504  +0.277622
0.075024  +0.226285
0.150049  +0.020357
0.200032  -0.064045
0.250015  -0.146271
0.299998  -0.224582
0.325039  -0.263447
0.349981  -0.295932
0.375022  -0.316235
0.399964  -0.318700
0.425005  -0.298687
0.450047  -0.267363
0.474989  -0.229223
0.500030  -0.183541
0.524972  -0.144096
0.550013  -0.097109
0.574955  -0.052153
0.599996  -0.010823
0.619572  +0.016731
0.649979  +0.059367
0.699962  +0.119985
0.750045  +0.178574
0.774987  +0.203807
0.800028  +0.228170
0.824970  +0.247168
0.850011  +0.265731
0.874953  +0.279217
0.899994  +0.291689
0.925035  +0.296475
0.949977  +0.292269
0.975018  +0.263990
0.987539  +0.238032
0.993700  +0.210043
