# RAE 2822 aerofoil, AGARD AR-138 Case 9
# Cook, P.H., McDonald, M.A., Firmin, M.C.P., AGARD AR-138 (1979),
# RAE 2.438 x 1.829 m slotted tunnel, Farnborough, May 1979.
# Digitised transcription: AFOSR-HTTM/Stanford flow 8621 (evaluator
# R. E. Melnik, 1981), hosted by the NASA Turbulence Modeling
# Resource, https://tmbwg.github.io/turbmodels/Bradshaw/d2/f8621.txt
# Conditions as recorded ON THE TAPE:
#   free-stream Mach (uncorrected)  = 0.730
#   geometric angle of attack       = 3.19 deg
#   CORRECTED angle of attack       = 2.79 deg
#   Reynolds number (chord)         = 6.5e+06
#   transition trip at x/c          = 0.03
#   measured CN = 0.8030, CM = -0.0990, CD = 0.0168
# Quoted tap uncertainty (tape item 10): Cp to within +/- 0.0026 at
# Re = 6.5e6.
# 52 taps
# x/c            Cp
0.000200  +0.376100
0.000697  +0.049055
0.001492  -0.107556
0.002485  -0.334802
0.003578  -0.460900
0.004671  -0.585143
0.005962  -0.682751
0.007254  -0.767547
0.008744  -0.819807
0.010433  -0.857231
0.012519  -0.911345
0.014606  -0.960739
0.018679  -1.043849
0.027124  -0.915729
0.037456  -1.174162
0.049974  -1.197257
0.062492  -1.177028
0.075011  -1.169779
0.100047  -1.112293
0.150020  -1.098132
0.199993  -1.083466
0.220757  -1.089029
0.249966  -1.110944
0.300038  -1.153426
0.324975  -1.165733
0.350011  -1.172644
0.375048  -1.191694
0.399984  -1.208552
0.425021  -1.228950
0.449957  -1.241931
0.474994  -1.259295
0.500030  -1.285256
0.524967  -1.309700
0.550003  -1.124936
0.575039  -0.755240
0.599976  -0.633863
0.619647  -0.568117
0.650048  -0.494953
0.677072  -0.436961
0.700021  -0.391445
0.749994  -0.298220
0.775031  -0.253546
0.799967  -0.210221
0.825004  -0.165379
0.850040  -0.122560
0.874977  -0.076032
0.900013  -0.032538
0.925049  +0.011461
0.949986  +0.056978
0.975022  +0.101146
0.987540  +0.123230
0.993700  +0.134693
