# RAE 2822 design section ordinates, 65 stations per surface.
# Source: NPARC Alliance Validation Archive yu.pts / yl.pts,
# https://www.grc.nasa.gov/www/wind/valid/raetaf/ , which
# transcribe AGARD AR-138 Table 6.1. Cross-checked against the
# AFOSR-HTTM flow 8621 tape's own design ordinates to 3.1e-06 chord.
# Maximum thickness 0.1211 chord.
# x/c            y_upper/c        y_lower/c
0.000000  +0.0000000  +0.0000000
0.000600  +0.0032300  -0.0031700
0.002410  +0.0064200  -0.0065800
0.005410  +0.0094500  -0.0095700
0.009610  +0.0126900  -0.0127300
0.014980  +0.0157900  -0.0158000
0.021530  +0.0187500  -0.0188000
0.029230  +0.0216300  -0.0218000
0.038060  +0.0244500  -0.0247200
0.048010  +0.0272600  -0.0276100
0.059040  +0.0300400  -0.0304200
0.071140  +0.0328000  -0.0331500
0.084270  +0.0355200  -0.0358400
0.098400  +0.0381700  -0.0384400
0.113490  +0.0407300  -0.0409400
0.129520  +0.0432100  -0.0433300
0.146450  +0.0455800  -0.0456100
0.164220  +0.0477800  -0.0477500
0.182800  +0.0498700  -0.0497700
0.202150  +0.0518700  -0.0516700
0.222210  +0.0537700  -0.0534000
0.242950  +0.0555600  -0.0549800
0.264300  +0.0571300  -0.0563800
0.286220  +0.0584800  -0.0575300
0.308660  +0.0596700  -0.0584300
0.331560  +0.0607000  -0.0590000
0.354860  +0.0615500  -0.0591900
0.378510  +0.0622000  -0.0589300
0.402450  +0.0626300  -0.0581700
0.426630  +0.0628500  -0.0568900
0.450990  +0.0628600  -0.0551500
0.475470  +0.0626100  -0.0529700
0.500000  +0.0621200  -0.0504400
0.524530  +0.0613500  -0.0476100
0.549010  +0.0603000  -0.0445200
0.573360  +0.0589500  -0.0412700
0.597540  +0.0573300  -0.0379100
0.621490  +0.0554700  -0.0346300
0.645140  +0.0533900  -0.0311000
0.668450  +0.0511200  -0.0277000
0.691340  +0.0485700  -0.0243800
0.713780  +0.0461200  -0.0211800
0.735700  +0.0433800  -0.0181200
0.757050  +0.0407500  -0.0152400
0.777780  +0.0379500  -0.0125600
0.797850  +0.0351400  -0.0101300
0.817200  +0.0323100  -0.0079200
0.835780  +0.0294800  -0.0059400
0.853550  +0.0267000  -0.0042200
0.870480  +0.0239700  -0.0027300
0.886510  +0.0213100  -0.0014900
0.901600  +0.0187400  -0.0004900
0.915740  +0.0162700  +0.0002700
0.928860  +0.0139300  +0.0008100
0.940960  +0.0117000  +0.0011300
0.952000  +0.0096400  +0.0012500
0.961940  +0.0077500  +0.0012500
0.970770  +0.0060600  +0.0011300
0.978470  +0.0045500  +0.0009400
0.985020  +0.0032600  +0.0007100
0.990390  +0.0021800  +0.0004800
0.994590  +0.0013200  +0.0002600
0.997590  +0.0006900  +0.0000900
0.999400  +0.0003000  -0.0000100
1.000000  +0.0000000  +0.0000000
