# C1_laminar: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	1.988592932e+01	2.813178799e-01	no
1000	2.106256013e+01	2.791998884e-01	no
1500	2.170980720e+01	2.922710214e-01	no
2000	2.197403099e+01	2.847756420e-01	no
2500	2.200216778e+01	2.868042335e-01	no
3000	2.209719364e+01	2.866446534e-01	no
3500	2.239754991e+01	2.936468026e-01	no
4000	2.221324506e+01	2.888953150e-01	no
4500	2.185333788e+01	2.869666408e-01	no
5000	2.134158664e+01	2.826757860e-01	no
5500	2.193843269e+01	2.842578873e-01	no
6000	2.195193998e+01	2.855949422e-01	no
6500	2.186651022e+01	3.000525017e-01	no
7000	2.188598698e+01	2.843885100e-01	no
7500	2.223946257e+01	2.889610200e-01	no
8000	2.204286230e+01	2.828541056e-01	no
8500	2.208559219e+01	2.917767368e-01	no
9000	2.201111090e+01	2.874815362e-01	no
9500	2.207419299e+01	2.856805582e-01	no
10000	2.208921943e+01	2.890840544e-01	no
10500	2.220478449e+01	2.895829914e-01	no
11000	2.199721188e+01	2.892870587e-01	no
11500	2.203442385e+01	2.890676550e-01	no
12000	2.182080852e+01	2.837683851e-01	no
12500	2.216572272e+01	2.867632131e-01	no
13000	2.206358255e+01	2.938519265e-01	no
13500	2.202703948e+01	2.903316817e-01	no
14000	2.215158469e+01	2.878239182e-01	no
14500	2.201901867e+01	2.893070313e-01	no
15000	2.208970373e+01	2.865922805e-01	no
15500	2.202383988e+01	2.891128687e-01	no
16000	2.209384875e+01	2.865924758e-01	no
16500	2.224933413e+01	2.888428725e-01	no
17000	2.195806729e+01	2.805759984e-01	no
17500	2.225233401e+01	2.896763016e-01	no
18000	2.224184625e+01	2.842207293e-01	no
18500	2.209160324e+01	2.992399268e-01	no
19000	2.155691879e+01	3.100203031e-01	no
19500	2.161025696e+01	2.878994056e-01	no
20000	2.190768424e+01	2.857681398e-01	no
20500	2.206534434e+01	2.868746659e-01	no
21000	2.218576344e+01	2.850728653e-01	no
21500	2.229100777e+01	2.872630091e-01	no
22000	2.222957817e+01	2.819099790e-01	no
22500	2.205689394e+01	2.812659396e-01	no
23000	2.196640086e+01	2.814705024e-01	no
23500	2.169651999e+01	2.884434859e-01	no
24000	2.168082207e+01	2.850230115e-01	no
24500	2.179121461e+01	2.823612673e-01	no
25000	2.215331368e+01	2.870000611e-01	no
25500	2.193042813e+01	2.902810700e-01	no
26000	2.193382333e+01	2.943472414e-01	no
26500	2.206187926e+01	3.051555131e-01	no
27000	2.206158286e+01	2.955590090e-01	no
27500	2.217261621e+01	2.868685109e-01	no
28000	2.201378222e+01	2.903815850e-01	no
28500	2.224023120e+01	2.933118314e-01	no
29000	2.221742665e+01	2.882097985e-01	no
29500	2.176899974e+01	2.864800412e-01	no
29600	2.232179781e+01	2.878085631e-01	yes
29650	2.215871320e+01	2.821611918e-01	yes
29700	2.202285193e+01	2.838178748e-01	yes
29750	2.184624632e+01	2.885289946e-01	yes
29800	2.207771469e+01	2.899164498e-01	yes
29850	2.206746682e+01	2.905454787e-01	yes
29900	2.231249118e+01	2.871024253e-01	yes
29950	2.200280492e+01	2.866743108e-01	yes
30000	2.210571438e+01	2.902177591e-01	yes
