# C2_seed_d100: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	2.117231250e+01	2.679076863e-01	no
1000	2.148208543e+01	2.560302408e-01	no
1500	2.178672464e+01	2.511985633e-01	no
2000	2.174409430e+01	2.549990699e-01	no
2500	2.177711107e+01	2.553438702e-01	no
3000	2.181014678e+01	2.551806349e-01	no
3500	2.181985743e+01	2.549719681e-01	no
4000	2.181907287e+01	2.555359411e-01	no
4500	2.182656927e+01	2.553720488e-01	no
5000	2.183079112e+01	2.550615870e-01	no
5500	2.184068113e+01	2.557309274e-01	no
6000	2.183825872e+01	2.560091067e-01	no
6500	2.183307831e+01	2.552019823e-01	no
7000	2.183185675e+01	2.554859928e-01	no
7500	2.184291591e+01	2.545127819e-01	no
8000	2.182926820e+01	2.560822866e-01	no
8500	2.183247430e+01	2.548099421e-01	no
9000	2.183367915e+01	2.550408632e-01	no
9500	2.183304590e+01	2.552865775e-01	no
10000	2.182076850e+01	2.553843087e-01	no
10500	2.182984085e+01	2.555243265e-01	no
11000	2.183401447e+01	2.552261837e-01	no
11500	2.184372354e+01	2.554710605e-01	no
12000	2.183419045e+01	2.558288227e-01	no
12500	2.182507851e+01	2.552948030e-01	no
13000	2.183587779e+01	2.552376881e-01	no
13500	2.183416425e+01	2.557428489e-01	no
14000	2.182935473e+01	2.549810873e-01	no
14500	2.181609417e+01	2.556380661e-01	no
15000	2.181742217e+01	2.551571495e-01	no
15500	2.182612727e+01	2.554945298e-01	no
16000	2.183421819e+01	2.552783443e-01	no
16500	2.183587424e+01	2.549249878e-01	no
17000	2.183392764e+01	2.554952205e-01	no
17500	2.183156940e+01	2.558928647e-01	no
18000	2.183554480e+01	2.556644547e-01	no
18500	2.183593414e+01	2.551815534e-01	no
19000	2.183423982e+01	2.545637251e-01	no
19500	2.182929936e+01	2.551000857e-01	no
20000	2.182678689e+01	2.554785684e-01	no
20500	2.183368160e+01	2.553023558e-01	no
21000	2.184278442e+01	2.561131257e-01	no
21500	2.184146865e+01	2.557395995e-01	no
22000	2.183314068e+01	2.559173493e-01	no
22500	2.182114248e+01	2.555115212e-01	no
23000	2.182128630e+01	2.555857911e-01	no
23500	2.183177958e+01	2.557913332e-01	no
24000	2.183150486e+01	2.555937318e-01	no
24500	2.182845122e+01	2.556835313e-01	no
25000	2.182741758e+01	2.551518781e-01	no
25500	2.182883408e+01	2.558711065e-01	no
26000	2.182509137e+01	2.549574203e-01	no
26500	2.182301341e+01	2.557701781e-01	no
27000	2.181753667e+01	2.553327527e-01	no
27500	2.182578068e+01	2.550018428e-01	no
28000	2.182859316e+01	2.551405352e-01	no
28500	2.183076680e+01	2.554123312e-01	no
29000	2.182231839e+01	2.549559651e-01	no
29500	2.182757276e+01	2.548913082e-01	no
29600	2.183112906e+01	2.547027891e-01	yes
29650	2.182839945e+01	2.546327779e-01	yes
29700	2.182795037e+01	2.556425855e-01	yes
29750	2.183411693e+01	2.558030438e-01	yes
29800	2.183351535e+01	2.555886396e-01	yes
29850	2.183252301e+01	2.556562161e-01	yes
29900	2.183537121e+01	2.555752546e-01	yes
29950	2.183910905e+01	2.558784754e-01	yes
30000	2.183707927e+01	2.556448849e-01	yes
