# C3_prt128: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	1.733196570e+01	2.029046420e-01	no
1000	2.135651258e+01	2.845768695e-01	no
1500	1.988578087e+01	2.575063095e-01	no
2000	2.116269520e+01	2.573997481e-01	no
2500	2.133634381e+01	2.550128934e-01	no
3000	2.141816384e+01	2.550369639e-01	no
3500	2.142969197e+01	2.552142400e-01	no
4000	2.144969752e+01	2.553116686e-01	no
4500	2.144478321e+01	2.560675970e-01	no
5000	2.144725293e+01	2.551029490e-01	no
5500	2.146512782e+01	2.563885060e-01	no
6000	2.147231284e+01	2.562986922e-01	no
6500	2.146757674e+01	2.558794150e-01	no
7000	2.144344787e+01	2.550786424e-01	no
7500	2.144762109e+01	2.557439543e-01	no
8000	2.147147969e+01	2.564423210e-01	no
8500	2.146227455e+01	2.564348161e-01	no
9000	2.146590308e+01	2.551673551e-01	no
9500	2.144606800e+01	2.551966963e-01	no
10000	2.145653634e+01	2.563934636e-01	no
10500	2.147587662e+01	2.567357443e-01	no
11000	2.146664042e+01	2.559412202e-01	no
11500	2.145514847e+01	2.556586836e-01	no
12000	2.147209327e+01	2.562386112e-01	no
12500	2.147732955e+01	2.560230995e-01	no
13000	2.146264586e+01	2.560339093e-01	no
13500	2.147517751e+01	2.565127910e-01	no
14000	2.146089820e+01	2.561138930e-01	no
14500	2.146467997e+01	2.563465507e-01	no
15000	2.148242417e+01	2.559511949e-01	no
15500	2.146025894e+01	2.562440886e-01	no
16000	2.145633252e+01	2.558080792e-01	no
16500	2.147151126e+01	2.562548645e-01	no
17000	2.146924539e+01	2.566624199e-01	no
17500	2.148163308e+01	2.559569452e-01	no
18000	2.147366280e+01	2.566590841e-01	no
18500	2.147020986e+01	2.553064626e-01	no
19000	2.147174166e+01	2.560229996e-01	no
19500	2.146161460e+01	2.556615426e-01	no
20000	2.145898636e+01	2.565715154e-01	no
20500	2.145374169e+01	2.558937682e-01	no
21000	2.146089779e+01	2.562074868e-01	no
21500	2.146044510e+01	2.552478613e-01	no
22000	2.145011607e+01	2.557162413e-01	no
22500	2.144728039e+01	2.553017961e-01	no
23000	2.146263302e+01	2.562700913e-01	no
23500	2.147710538e+01	2.561203755e-01	no
24000	2.147963487e+01	2.566286810e-01	no
24500	2.146172278e+01	2.556587948e-01	no
25000	2.145661927e+01	2.562780879e-01	no
25500	2.145212075e+01	2.556965653e-01	no
26000	2.145424434e+01	2.563403368e-01	no
26500	2.146479536e+01	2.558159172e-01	no
27000	2.146081223e+01	2.559356722e-01	no
27500	2.146374164e+01	2.565156380e-01	no
28000	2.145699343e+01	2.566531383e-01	no
28500	2.145400640e+01	2.550750473e-01	no
29000	2.147493899e+01	2.557026019e-01	no
29500	2.146586055e+01	2.553576185e-01	no
29600	2.147324606e+01	2.565346611e-01	yes
29650	2.147454135e+01	2.559894614e-01	yes
29700	2.147518048e+01	2.563120031e-01	yes
29750	2.147726503e+01	2.566016622e-01	yes
29800	2.147911502e+01	2.568616009e-01	yes
29850	2.147978586e+01	2.562799403e-01	yes
29900	2.147942834e+01	2.563806419e-01	yes
29950	2.147342067e+01	2.555530462e-01	yes
30000	2.146088878e+01	2.544944081e-01	yes
