# C4_adiabatic: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	1.985020124e+01	1.821844797e-01	no
1000	2.129435995e+01	2.898315607e-01	no
1500	2.139266532e+01	2.517691412e-01	no
2000	2.243897450e+01	2.505087542e-01	no
2500	2.300296401e+01	2.492533724e-01	no
3000	2.342451422e+01	2.480142884e-01	no
3500	2.364667306e+01	2.490468125e-01	no
4000	2.377396898e+01	2.502175420e-01	no
4500	2.387783291e+01	2.510604172e-01	no
5000	2.390525754e+01	2.529527160e-01	no
5500	2.393368698e+01	2.531302269e-01	no
6000	2.402213233e+01	2.514152371e-01	no
6500	2.401022779e+01	2.517437705e-01	no
7000	2.405654791e+01	2.509254244e-01	no
7500	2.402774492e+01	2.500672011e-01	no
8000	2.401759616e+01	2.530539285e-01	no
8500	2.404757099e+01	2.520888959e-01	no
9000	2.406159939e+01	2.513777570e-01	no
9500	2.408132161e+01	2.510984768e-01	no
10000	2.404810275e+01	2.529233075e-01	no
10500	2.407541384e+01	2.510880553e-01	no
11000	2.409745951e+01	2.518554723e-01	no
11500	2.408259544e+01	2.521416689e-01	no
12000	2.409506510e+01	2.524063546e-01	no
12500	2.406696933e+01	2.522878451e-01	no
13000	2.409991618e+01	2.529077189e-01	no
13500	2.413152014e+01	2.513745432e-01	no
14000	2.406753587e+01	2.512823396e-01	no
14500	2.409801090e+01	2.537036491e-01	no
15000	2.406405227e+01	2.510590901e-01	no
15500	2.408599752e+01	2.515666253e-01	no
16000	2.407349331e+01	2.508182380e-01	no
16500	2.407751737e+01	2.518584970e-01	no
17000	2.408664935e+01	2.522734205e-01	no
17500	2.409483788e+01	2.519328673e-01	no
18000	2.405785297e+01	2.522227388e-01	no
18500	2.405514771e+01	2.503828376e-01	no
19000	2.405434283e+01	2.526089542e-01	no
19500	2.404927556e+01	2.523764887e-01	no
20000	2.405762666e+01	2.535737468e-01	no
20500	2.411378675e+01	2.516877592e-01	no
21000	2.408563388e+01	2.526294728e-01	no
21500	2.406314998e+01	2.526044902e-01	no
22000	2.409053289e+01	2.513388579e-01	no
22500	2.406011405e+01	2.526599925e-01	no
23000	2.410820518e+01	2.517432378e-01	no
23500	2.410464479e+01	2.516301450e-01	no
24000	2.405438369e+01	2.515218888e-01	no
24500	2.404876488e+01	2.531599440e-01	no
25000	2.408038093e+01	2.517200782e-01	no
25500	2.406151182e+01	2.520457000e-01	no
26000	2.407693953e+01	2.513335704e-01	no
26500	2.407085184e+01	2.527612137e-01	no
27000	2.409888153e+01	2.520052844e-01	no
27500	2.409285884e+01	2.520779900e-01	no
28000	2.407614628e+01	2.522461867e-01	no
28500	2.407975330e+01	2.540849682e-01	no
29000	2.407298535e+01	2.533744872e-01	no
29500	2.408164072e+01	2.516143806e-01	no
29600	2.408821869e+01	2.521031919e-01	yes
29650	2.407824240e+01	2.515765540e-01	yes
29700	2.406193555e+01	2.526826678e-01	yes
29750	2.406995452e+01	2.530880480e-01	yes
29800	2.409278484e+01	2.523232866e-01	yes
29850	2.409838553e+01	2.514900436e-01	yes
29900	2.410934315e+01	2.527965925e-01	yes
29950	2.409564721e+01	2.506380304e-01	yes
30000	2.407491559e+01	2.515327919e-01	yes
