# S_KE_c: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	3.606411924e+01	6.033598558e-02	no
1000	2.292875382e+01	2.596125590e-01	no
1500	3.260365345e+01	2.310010745e-01	no
2000	3.344980111e+01	2.034886007e-01	no
2500	3.091060587e+01	2.019797946e-01	no
3000	3.035889684e+01	2.040509549e-01	no
3500	3.040343200e+01	2.018407005e-01	no
4000	3.013938094e+01	2.008782071e-01	no
4500	2.992724531e+01	2.008892801e-01	no
5000	2.985427154e+01	2.005521889e-01	no
5500	2.982131533e+01	2.001259021e-01	no
6000	2.978810506e+01	1.999458409e-01	no
6500	2.976473070e+01	1.998953658e-01	no
7000	2.975172479e+01	1.998598639e-01	no
7500	2.974446612e+01	1.998267650e-01	no
8000	2.973982508e+01	1.998050939e-01	no
8500	2.973671899e+01	1.997939625e-01	no
9000	2.973474932e+01	1.997879058e-01	no
9500	2.973355016e+01	1.997840005e-01	no
10000	2.973281637e+01	1.997814010e-01	no
10500	2.973235367e+01	1.997798153e-01	no
11000	2.973206068e+01	1.997788893e-01	no
11500	2.973187744e+01	1.997783304e-01	no
12000	2.973176360e+01	1.997779806e-01	no
12500	2.973169252e+01	1.997777624e-01	no
13000	2.973164787e+01	1.997776294e-01	no
13500	2.973161985e+01	1.997775486e-01	no
14000	2.973160232e+01	1.997774989e-01	no
14500	2.973159136e+01	1.997774682e-01	no
15000	2.973158449e+01	1.997774492e-01	no
15500	2.973158019e+01	1.997774375e-01	no
16000	2.973157748e+01	1.997774303e-01	no
16500	2.973157579e+01	1.997774259e-01	no
17000	2.973157473e+01	1.997774232e-01	no
17500	2.973157406e+01	1.997774215e-01	no
18000	2.973157364e+01	1.997774204e-01	no
18500	2.973157339e+01	1.997774198e-01	no
19000	2.973157322e+01	1.997774194e-01	no
19500	2.973157312e+01	1.997774191e-01	no
20000	2.973157305e+01	1.997774190e-01	no
20500	2.973157301e+01	1.997774189e-01	no
21000	2.973157298e+01	1.997774189e-01	no
21500	2.973157297e+01	1.997774189e-01	no
22000	2.973157296e+01	1.997774188e-01	no
22500	2.973157296e+01	1.997774188e-01	no
23000	2.973157296e+01	1.997774188e-01	no
23500	2.973157296e+01	1.997774187e-01	no
24000	2.973157295e+01	1.997774188e-01	no
24500	2.973157295e+01	1.997774188e-01	no
25000	2.973157296e+01	1.997774188e-01	no
25500	2.973157295e+01	1.997774188e-01	no
26000	2.973157296e+01	1.997774187e-01	no
26500	2.973157295e+01	1.997774188e-01	no
27000	2.973157295e+01	1.997774187e-01	no
27500	2.973157296e+01	1.997774187e-01	no
28000	2.973157294e+01	1.997774190e-01	no
28500	2.973157296e+01	1.997774186e-01	no
29000	2.973157296e+01	1.997774189e-01	no
29500	2.973157294e+01	1.997774188e-01	no
29600	2.973157294e+01	1.997774189e-01	yes
29650	2.973157295e+01	1.997774189e-01	yes
29700	2.973157295e+01	1.997774189e-01	yes
29750	2.973157295e+01	1.997774189e-01	yes
29800	2.973157296e+01	1.997774189e-01	yes
29850	2.973157296e+01	1.997774188e-01	yes
29900	2.973157296e+01	1.997774188e-01	yes
29950	2.973157296e+01	1.997774187e-01	yes
30000	2.973157296e+01	1.997774186e-01	yes
