# S_KE_f: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	7.211151890e+01	1.382381398e-02	no
1000	4.629113173e+01	3.604877608e-02	no
1500	3.257077680e+01	7.830493345e-02	no
2000	2.446330440e+01	1.648285088e-01	no
2500	2.292614603e+01	2.531441043e-01	no
3000	2.725478937e+01	2.525136736e-01	no
3500	3.135804012e+01	2.350920569e-01	no
4000	3.394753664e+01	2.292426895e-01	no
4500	3.486788397e+01	2.186468009e-01	no
5000	3.461594816e+01	2.075381782e-01	no
5500	3.371973586e+01	2.011514506e-01	no
6000	3.266707908e+01	2.008472421e-01	no
6500	3.186190861e+01	2.022938060e-01	no
7000	3.145344150e+01	2.036260963e-01	no
7500	3.135211754e+01	2.039730304e-01	no
8000	3.137486890e+01	2.034531085e-01	no
8500	3.138382550e+01	2.025560796e-01	no
9000	3.133089899e+01	2.017702932e-01	no
9500	3.122622623e+01	2.012719888e-01	no
10000	3.110100075e+01	2.010451580e-01	no
10500	3.098344550e+01	2.009816207e-01	no
11000	3.088926078e+01	2.009677851e-01	no
11500	3.082237826e+01	2.009275422e-01	no
12000	3.077871031e+01	2.008227435e-01	no
12500	3.075077808e+01	2.006609566e-01	no
13000	3.073126640e+01	2.004773501e-01	no
13500	3.071481289e+01	2.003073276e-01	no
14000	3.069874047e+01	2.001731191e-01	no
14500	3.068267152e+01	2.000800582e-01	no
15000	3.066747415e+01	2.000217720e-01	no
15500	3.065406187e+01	1.999865924e-01	no
16000	3.064286764e+01	1.999636226e-01	no
16500	3.063386652e+01	1.999456709e-01	no
17000	3.062677588e+01	1.999303001e-01	no
17500	3.062122998e+01	1.999162845e-01	no
18000	3.061686291e+01	1.999019716e-01	no
18500	3.061335248e+01	1.998883004e-01	no
19000	3.061045218e+01	1.998761901e-01	no
19500	3.060799661e+01	1.998661533e-01	no
20000	3.060589072e+01	1.998582705e-01	no
20500	3.060408515e+01	1.998522854e-01	no
21000	3.060254999e+01	1.998477695e-01	no
21500	3.060126004e+01	1.998443096e-01	no
22000	3.060018824e+01	1.998415660e-01	no
22500	3.059930533e+01	1.998393025e-01	no
23000	3.059858170e+01	1.998373772e-01	no
23500	3.059798965e+01	1.998357148e-01	no
24000	3.059750415e+01	1.998342782e-01	no
24500	3.059710397e+01	1.998330510e-01	no
25000	3.059677204e+01	1.998320219e-01	no
25500	3.059649531e+01	1.998311736e-01	no
26000	3.059626395e+01	1.998304842e-01	no
26500	3.059607052e+01	1.998299272e-01	no
27000	3.059590909e+01	1.998294768e-01	no
27500	3.059577470e+01	1.998291104e-01	no
28000	3.059566312e+01	1.998288096e-01	no
28500	3.059557064e+01	1.998285604e-01	no
29000	3.059549407e+01	1.998283527e-01	no
29500	3.059543067e+01	1.998281791e-01	no
30000	3.059537812e+01	1.998280342e-01	no
30500	3.059533451e+01	1.998279135e-01	no
31000	3.059529827e+01	1.998278136e-01	no
31500	3.059526813e+01	1.998277312e-01	no
32000	3.059524305e+01	1.998276634e-01	no
32500	3.059522219e+01	1.998276076e-01	no
33000	3.059520484e+01	1.998275618e-01	no
33500	3.059519041e+01	1.998275239e-01	no
34000	3.059517843e+01	1.998274926e-01	no
34500	3.059516848e+01	1.998274667e-01	no
35000	3.059516022e+01	1.998274452e-01	no
35500	3.059515336e+01	1.998274274e-01	no
36000	3.059514766e+01	1.998274126e-01	no
36500	3.059514293e+01	1.998274003e-01	no
37000	3.059513899e+01	1.998273902e-01	no
37500	3.059513571e+01	1.998273818e-01	no
38000	3.059513299e+01	1.998273748e-01	no
38500	3.059513073e+01	1.998273691e-01	no
39000	3.059512884e+01	1.998273643e-01	no
39500	3.059512728e+01	1.998273604e-01	no
39600	3.059512700e+01	1.998273597e-01	yes
39650	3.059512686e+01	1.998273594e-01	yes
39700	3.059512673e+01	1.998273590e-01	yes
39750	3.059512660e+01	1.998273587e-01	yes
39800	3.059512647e+01	1.998273584e-01	yes
39850	3.059512634e+01	1.998273581e-01	yes
39900	3.059512622e+01	1.998273577e-01	yes
39950	3.059512610e+01	1.998273574e-01	yes
40000	3.059512598e+01	1.998273571e-01	yes
