# S_LS_c: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	7.153755250e+01	4.260699462e-02	no
1000	2.368969885e+01	2.051009285e-01	no
1500	2.623405078e+01	2.356987619e-01	no
2000	2.917051026e+01	2.173814700e-01	no
2500	2.754822256e+01	1.972740277e-01	no
3000	2.374604121e+01	2.562201596e-01	no
3500	2.073692565e+01	2.737292632e-01	no
4000	2.032069844e+01	2.714887630e-01	no
4500	2.054312310e+01	2.662653959e-01	no
5000	2.107792313e+01	2.599921044e-01	no
5500	2.072158376e+01	2.738114615e-01	no
6000	2.107397813e+01	2.739100258e-01	no
6500	2.155060546e+01	2.739232332e-01	no
7000	2.165397104e+01	2.794815023e-01	no
7500	2.124459512e+01	2.737648583e-01	no
8000	2.173233450e+01	2.781364796e-01	no
8500	2.192508469e+01	2.758520241e-01	no
9000	2.163811571e+01	2.750845182e-01	no
9500	2.167938930e+01	2.788832123e-01	no
10000	2.175720704e+01	2.802567802e-01	no
10500	2.150968600e+01	2.778913727e-01	no
11000	2.133335353e+01	2.892246672e-01	no
11500	2.135676968e+01	2.761133813e-01	no
12000	2.135524712e+01	2.740362361e-01	no
12500	2.135021528e+01	2.815393173e-01	no
13000	2.129361891e+01	2.786644846e-01	no
13500	2.159203949e+01	2.820634303e-01	no
14000	2.167822990e+01	2.750249262e-01	no
14500	2.160537652e+01	2.766224642e-01	no
15000	2.118340489e+01	2.856664305e-01	no
15500	2.156414803e+01	2.820939009e-01	no
16000	2.149081188e+01	2.818802357e-01	no
16500	2.150416439e+01	2.858333779e-01	no
17000	2.130008286e+01	2.860054457e-01	no
17500	2.140753214e+01	2.748607416e-01	no
18000	2.174636476e+01	2.763268580e-01	no
18500	2.162976177e+01	2.739036097e-01	no
19000	2.117154052e+01	2.720408592e-01	no
19500	2.125010047e+01	2.816908142e-01	no
20000	2.159287852e+01	2.749871963e-01	no
20500	2.136923622e+01	2.735461323e-01	no
21000	2.146425271e+01	2.860878382e-01	no
21500	2.147814448e+01	2.719301892e-01	no
22000	2.159441270e+01	2.729436353e-01	no
22500	2.120180660e+01	2.904206304e-01	no
23000	2.126175367e+01	2.783890591e-01	no
23500	2.137008980e+01	2.703039296e-01	no
24000	2.157823881e+01	2.766731646e-01	no
24500	2.125879699e+01	2.788518425e-01	no
25000	2.120552219e+01	2.752424793e-01	no
25500	2.115673359e+01	2.742366800e-01	no
26000	2.148881547e+01	2.739130018e-01	no
26500	2.148065437e+01	2.789429088e-01	no
27000	2.141517766e+01	2.834823194e-01	no
27500	2.134859024e+01	2.731631512e-01	no
28000	2.138229932e+01	2.876217916e-01	no
28500	2.133472184e+01	2.770263803e-01	no
29000	2.141727454e+01	2.820667002e-01	no
29500	2.115677424e+01	2.892596710e-01	no
29600	2.128333774e+01	2.730780973e-01	yes
29650	2.129031578e+01	2.807252142e-01	yes
29700	2.166401934e+01	2.798255738e-01	yes
29750	2.159657062e+01	2.756674991e-01	yes
29800	2.154407894e+01	2.745261181e-01	yes
29850	2.147519224e+01	2.764304804e-01	yes
29900	2.178823585e+01	2.791647924e-01	yes
29950	2.194888165e+01	2.784352516e-01	yes
30000	2.137794147e+01	2.738383723e-01	yes
