# S_LS_f: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	2.077445561e+02	3.393239803e-03	no
1000	1.129907903e+02	1.936662462e-02	no
1500	6.239878493e+01	7.404261468e-02	no
2000	3.750049536e+01	1.399290979e-01	no
2500	2.630737985e+01	1.839003081e-01	no
3000	2.329491156e+01	2.449831075e-01	no
3500	2.481772477e+01	2.467167748e-01	no
4000	2.691938158e+01	2.347190817e-01	no
4500	2.857317804e+01	2.256118396e-01	no
5000	2.953431758e+01	2.204394358e-01	no
5500	2.964342958e+01	2.135902903e-01	no
6000	2.912888895e+01	2.047542619e-01	no
6500	2.818748474e+01	1.976702742e-01	no
7000	2.685666713e+01	1.970774620e-01	no
7500	2.525441790e+01	2.268313040e-01	no
8000	2.374072929e+01	2.575323533e-01	no
8500	2.247835246e+01	2.685369271e-01	no
9000	2.122540923e+01	2.722736277e-01	no
9500	2.032851642e+01	2.742164076e-01	no
10000	2.020631762e+01	2.735113128e-01	no
10500	2.023346257e+01	2.705545135e-01	no
11000	2.032394627e+01	2.671945082e-01	no
11500	2.043752200e+01	2.650995800e-01	no
12000	2.063871574e+01	2.634617142e-01	no
12500	2.104870622e+01	2.621656401e-01	no
13000	2.135693682e+01	2.592134923e-01	no
13500	2.095973166e+01	2.710309265e-01	no
14000	2.083311063e+01	2.809909424e-01	no
14500	2.121071617e+01	2.832376096e-01	no
15000	2.158444110e+01	2.789725011e-01	no
15500	2.143929256e+01	2.794561263e-01	no
16000	2.150089191e+01	2.773008439e-01	no
16500	2.149973132e+01	2.779626820e-01	no
17000	2.165541743e+01	2.806097597e-01	no
17500	2.144482460e+01	2.788270741e-01	no
18000	2.157148642e+01	2.815542136e-01	no
18500	2.160208850e+01	2.807588503e-01	no
19000	2.159937636e+01	2.832802067e-01	no
19500	2.156539851e+01	2.812644244e-01	no
20000	2.137763135e+01	2.783569115e-01	no
20500	2.145004556e+01	2.785033234e-01	no
21000	2.144267527e+01	2.821870749e-01	no
21500	2.136786903e+01	2.825772523e-01	no
22000	2.142304396e+01	2.800563288e-01	no
22500	2.134559863e+01	2.805833794e-01	no
23000	2.138951922e+01	2.806640786e-01	no
23500	2.123742577e+01	2.857000202e-01	no
24000	2.123176835e+01	2.860303701e-01	no
24500	2.129823917e+01	2.828774210e-01	no
25000	2.127037403e+01	2.826533430e-01	no
25500	2.142416739e+01	2.831319816e-01	no
26000	2.133419385e+01	2.817745804e-01	no
26500	2.137193172e+01	2.828271183e-01	no
27000	2.135312157e+01	2.837707099e-01	no
27500	2.126987494e+01	2.871688385e-01	no
28000	2.132970067e+01	2.837796586e-01	no
28500	2.138131740e+01	2.836430114e-01	no
29000	2.136498349e+01	2.809240596e-01	no
29500	2.141271288e+01	2.795381436e-01	no
30000	2.149640332e+01	2.797972366e-01	no
30500	2.146814251e+01	2.814026459e-01	no
31000	2.150566955e+01	2.843939614e-01	no
31500	2.157843598e+01	2.859283793e-01	no
32000	2.154531048e+01	2.835108955e-01	no
32500	2.142909300e+01	2.827039139e-01	no
33000	2.145997402e+01	2.856681450e-01	no
33500	2.143617757e+01	2.827000030e-01	no
34000	2.142813674e+01	2.791918001e-01	no
34500	2.131070650e+01	2.872453007e-01	no
35000	2.140667316e+01	2.807718171e-01	no
35500	2.152578410e+01	2.826401217e-01	no
36000	2.135574942e+01	2.776577997e-01	no
36500	2.150950245e+01	2.804259425e-01	no
37000	2.156301211e+01	2.865400783e-01	no
37500	2.144347637e+01	2.853547362e-01	no
38000	2.153092635e+01	2.842681860e-01	no
38500	2.142766818e+01	2.818464107e-01	no
39000	2.158767907e+01	2.840184700e-01	no
39500	2.142214958e+01	2.845316182e-01	no
39600	2.143847824e+01	2.806089901e-01	yes
39650	2.144035933e+01	2.845850531e-01	yes
39700	2.144639172e+01	2.827107295e-01	yes
39750	2.145152775e+01	2.839029010e-01	yes
39800	2.145421687e+01	2.812460457e-01	yes
39850	2.146364846e+01	2.839159373e-01	yes
39900	2.147053042e+01	2.811280225e-01	yes
39950	2.147660747e+01	2.848545820e-01	yes
40000	2.147762222e+01	2.815964684e-01	yes
