# S_SST_c: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	1.930602007e+01	1.820708846e-01	no
1000	2.077138624e+01	2.957533453e-01	no
1500	2.032591738e+01	2.611637188e-01	no
2000	2.158904039e+01	2.564381756e-01	no
2500	2.168437650e+01	2.550973827e-01	no
3000	2.173678772e+01	2.548657697e-01	no
3500	2.176621779e+01	2.554653344e-01	no
4000	2.178988795e+01	2.554657204e-01	no
4500	2.181596340e+01	2.552366168e-01	no
5000	2.181963448e+01	2.557144966e-01	no
5500	2.182389283e+01	2.556391541e-01	no
6000	2.183127116e+01	2.557905211e-01	no
6500	2.182863171e+01	2.555618069e-01	no
7000	2.182415401e+01	2.553804055e-01	no
7500	2.182093868e+01	2.565450859e-01	no
8000	2.183744980e+01	2.559575480e-01	no
8500	2.183649794e+01	2.563426826e-01	no
9000	2.182913018e+01	2.556937269e-01	no
9500	2.182256309e+01	2.560663341e-01	no
10000	2.182351977e+01	2.556028473e-01	no
10500	2.182841660e+01	2.548788582e-01	no
11000	2.182040142e+01	2.562479020e-01	no
11500	2.182553445e+01	2.551477224e-01	no
12000	2.182309640e+01	2.550264539e-01	no
12500	2.182507864e+01	2.554929813e-01	no
13000	2.183407562e+01	2.554956957e-01	no
13500	2.183452780e+01	2.558448307e-01	no
14000	2.182727547e+01	2.560026266e-01	no
14500	2.182716074e+01	2.558280712e-01	no
15000	2.183067433e+01	2.551499710e-01	no
15500	2.183044173e+01	2.559535265e-01	no
16000	2.182601830e+01	2.555834735e-01	no
16500	2.182514814e+01	2.551221377e-01	no
17000	2.182817507e+01	2.550877560e-01	no
17500	2.183722365e+01	2.559701656e-01	no
18000	2.183148406e+01	2.556235286e-01	no
18500	2.183227457e+01	2.563828352e-01	no
19000	2.184296935e+01	2.562726005e-01	no
19500	2.182836577e+01	2.554551662e-01	no
20000	2.182291362e+01	2.556939684e-01	no
20500	2.182649479e+01	2.548057132e-01	no
21000	2.182792761e+01	2.567581488e-01	no
21500	2.182688103e+01	2.555246202e-01	no
22000	2.180750748e+01	2.558445191e-01	no
22500	2.181671351e+01	2.561625563e-01	no
23000	2.183233070e+01	2.553714456e-01	no
23500	2.182389095e+01	2.556353847e-01	no
24000	2.182022916e+01	2.555582165e-01	no
24500	2.181806567e+01	2.545224131e-01	no
25000	2.182369743e+01	2.559714450e-01	no
25500	2.183273476e+01	2.553485620e-01	no
26000	2.181578758e+01	2.550146338e-01	no
26500	2.181392151e+01	2.560202730e-01	no
27000	2.183147629e+01	2.558366139e-01	no
27500	2.183247675e+01	2.559140764e-01	no
28000	2.183458367e+01	2.552398171e-01	no
28500	2.183689971e+01	2.553380089e-01	no
29000	2.181934824e+01	2.561120542e-01	no
29500	2.183697481e+01	2.553731741e-01	no
29600	2.183643076e+01	2.554640540e-01	yes
29650	2.183996228e+01	2.552514548e-01	yes
29700	2.184164138e+01	2.552943522e-01	yes
29750	2.183809076e+01	2.545611175e-01	yes
29800	2.183355067e+01	2.558648073e-01	yes
29850	2.183295114e+01	2.559802451e-01	yes
29900	2.183706637e+01	2.563258954e-01	yes
29950	2.184254286e+01	2.558204770e-01	yes
30000	2.184209069e+01	2.559065894e-01	yes
