# S_SST_f: in-pass monitor series, written by write_digests.py
# every sample in the final 400-iteration window (the window the convergence
# verdict is taken on) plus the history every 500 iterations
# hotWall_int_snGradT is the areaNormalIntegrate of grad(T) over the hot wall
iteration	hotWall_int_snGradT	Uy_max_m_per_s	in_final_window
500	3.095149628e+01	5.554305911e-02	no
1000	2.187802601e+01	1.249825804e-01	no
1500	1.847262119e+01	2.251802161e-01	no
2000	1.856848316e+01	2.910416975e-01	no
2500	2.067046947e+01	2.957247995e-01	no
3000	2.164462605e+01	2.632757260e-01	no
3500	2.050933683e+01	2.599150641e-01	no
4000	2.031224411e+01	2.618478563e-01	no
4500	2.120211642e+01	2.610134082e-01	no
5000	2.156551818e+01	2.561350764e-01	no
5500	2.167399763e+01	2.574645158e-01	no
6000	2.175161281e+01	2.583448757e-01	no
6500	2.185773427e+01	2.579974543e-01	no
7000	2.188236949e+01	2.583972723e-01	no
7500	2.189394614e+01	2.587284839e-01	no
8000	2.191291334e+01	2.587806215e-01	no
8500	2.193142024e+01	2.588443132e-01	no
9000	2.194200054e+01	2.593171523e-01	no
9500	2.195112071e+01	2.593922730e-01	no
10000	2.195619127e+01	2.596634638e-01	no
10500	2.196292804e+01	2.596653070e-01	no
11000	2.196550372e+01	2.598025218e-01	no
11500	2.197215514e+01	2.598361689e-01	no
12000	2.197294519e+01	2.597857031e-01	no
12500	2.197275683e+01	2.597849014e-01	no
13000	2.197471361e+01	2.598120727e-01	no
13500	2.197509337e+01	2.595866289e-01	no
14000	2.197544807e+01	2.596502551e-01	no
14500	2.197436582e+01	2.597614305e-01	no
15000	2.197679799e+01	2.597873290e-01	no
15500	2.197905001e+01	2.597093058e-01	no
16000	2.197737897e+01	2.595689399e-01	no
16500	2.197750647e+01	2.596984551e-01	no
17000	2.197611707e+01	2.597386368e-01	no
17500	2.197816942e+01	2.597057639e-01	no
18000	2.197719522e+01	2.597336529e-01	no
18500	2.197801962e+01	2.597530658e-01	no
19000	2.197992289e+01	2.597616479e-01	no
19500	2.197917957e+01	2.596983558e-01	no
20000	2.198008076e+01	2.597142791e-01	no
20500	2.198042815e+01	2.596182330e-01	no
21000	2.197866587e+01	2.597370424e-01	no
21500	2.197899314e+01	2.596049234e-01	no
22000	2.198028179e+01	2.598182007e-01	no
22500	2.198093232e+01	2.597940011e-01	no
23000	2.198107858e+01	2.597608240e-01	no
23500	2.197995601e+01	2.597406207e-01	no
24000	2.198132639e+01	2.597890999e-01	no
24500	2.198214648e+01	2.597235217e-01	no
25000	2.198255074e+01	2.597190019e-01	no
25500	2.198094575e+01	2.597738863e-01	no
26000	2.198110743e+01	2.597342553e-01	no
26500	2.198316944e+01	2.597254936e-01	no
27000	2.198049539e+01	2.596544429e-01	no
27500	2.198152389e+01	2.596574689e-01	no
28000	2.198281819e+01	2.596992359e-01	no
28500	2.198232312e+01	2.596477941e-01	no
29000	2.197843810e+01	2.596429313e-01	no
29500	2.197713216e+01	2.597003072e-01	no
30000	2.197569977e+01	2.597841083e-01	no
30500	2.197879974e+01	2.596725465e-01	no
31000	2.197798977e+01	2.596202220e-01	no
31500	2.197820620e+01	2.595990059e-01	no
32000	2.197572819e+01	2.594743554e-01	no
32500	2.197715292e+01	2.597912279e-01	no
33000	2.198082114e+01	2.597331263e-01	no
33500	2.198049306e+01	2.595909091e-01	no
34000	2.198200395e+01	2.597964024e-01	no
34500	2.198319889e+01	2.597127644e-01	no
35000	2.198227759e+01	2.596588225e-01	no
35500	2.198062399e+01	2.597878478e-01	no
36000	2.197924632e+01	2.596457061e-01	no
36500	2.197718205e+01	2.597668332e-01	no
37000	2.198353042e+01	2.596643233e-01	no
37500	2.198089522e+01	2.596549174e-01	no
38000	2.198161939e+01	2.597644114e-01	no
38500	2.198279482e+01	2.597936508e-01	no
39000	2.198221229e+01	2.597808735e-01	no
39500	2.198090261e+01	2.596655466e-01	no
39600	2.198157981e+01	2.596614931e-01	yes
39650	2.198208778e+01	2.597017839e-01	yes
39700	2.198240938e+01	2.597682988e-01	yes
39750	2.198250889e+01	2.597834392e-01	yes
39800	2.198243866e+01	2.597486869e-01	yes
39850	2.198248754e+01	2.597123454e-01	yes
39900	2.198266379e+01	2.598140826e-01	yes
39950	2.198307797e+01	2.598677579e-01	yes
40000	2.198333877e+01	2.598226105e-01	yes
