# Ampofo and Karayiannis (2003) Table 2, pp. 3556-3557: experimental
# results at Y = 0.5.  Extracted from the PDF text layer of
# docs/papers/buoyant_natural_convection/ampofo_karayiannis_2003_ijhmt_46.pdf
# (identified by its own metadata DOI doi:10.1016/S0017-9310(03)00147-9,
# sha256 c193d79e3eb8cba5d1fd6af085c3a8c4c9497df80f90292287282694ed64ffaf).
# NOT digitized from a figure: this is the paper's own printed table.
# V0 = sqrt(g.beta.H.dT) = 1 m/s and dT = Th - Tc = 40 K, so the
# velocity columns are also m/s.
# X	v/V0	u/V0	vrms/V0	urms/V0	(T-Tc)/dT	Trms/dT	uv/V0^2	vT/(V0.dT)	uT/(V0.dT)	k/V0^2
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333300e-04	4.030000e-02	-3.644000e-04	3.990000e-04	2.640000e-04	9.525000e-01	1.640000e-02	-2.000000e-06	8.192500e-07	1.825000e-06	1.716700e-07
6.666700e-04	6.110000e-02	-4.089000e-04	2.388000e-03	3.860000e-04	9.300000e-01	2.040000e-02	-4.000000e-06	2.069300e-06	4.325000e-06	4.388700e-06
1.000000e-03	8.430000e-02	-4.119200e-04	7.598000e-03	1.070000e-03	9.200000e-01	2.880000e-02	-7.000000e-06	2.670000e-06	8.600000e-06	4.415600e-05
1.333300e-03	1.001000e-01	-6.921000e-04	2.050000e-02	4.957000e-03	9.125000e-01	3.450000e-02	-6.030000e-06	5.193300e-05	1.531000e-05	3.344200e-04
1.666700e-03	1.158000e-01	-7.510000e-04	2.010000e-02	5.252000e-03	8.750000e-01	3.910000e-02	-7.000000e-06	7.295000e-05	2.748300e-05	3.240900e-04
2.000000e-03	1.325000e-01	-8.130000e-04	2.830000e-02	6.438000e-03	8.685000e-01	4.530000e-02	-7.500000e-06	8.879800e-05	9.160000e-06	6.326900e-04
2.333300e-03	1.457000e-01	-8.630000e-04	2.960000e-02	6.892000e-03	8.373000e-01	5.480000e-02	-8.000000e-06	1.160400e-04	3.680000e-05	6.926600e-04
2.666700e-03	1.613000e-01	-6.340000e-04	3.590000e-02	7.750000e-03	8.298000e-01	5.860000e-02	-1.000000e-05	2.372500e-04	4.952500e-05	1.009800e-03
3.000000e-03	1.655000e-01	-7.470000e-04	3.780000e-02	8.876000e-03	8.071000e-01	5.850000e-02	-1.320000e-05	5.220500e-04	7.647500e-05	1.133000e-03
3.333300e-03	1.739000e-01	-6.670000e-04	3.960000e-02	9.036000e-03	7.830000e-01	6.200000e-02	-8.000000e-06	1.391000e-03	1.278000e-04	1.234900e-03
3.666700e-03	1.831000e-01	5.700000e-04	4.060000e-02	1.090000e-02	7.701000e-01	6.290000e-02	-2.000000e-06	2.166500e-03	1.841000e-04	1.323600e-03
4.000000e-03	2.000000e-01	6.460000e-04	4.570000e-02	1.160000e-02	7.635000e-01	6.690000e-02	1.400000e-05	2.821300e-03	2.260000e-04	1.665600e-03
6.666700e-03	2.127000e-01	1.760000e-04	6.510000e-02	1.780000e-02	6.793000e-01	7.530000e-02	2.000000e-04	3.043800e-03	2.559000e-04	3.415800e-03
9.333300e-03	2.081000e-01	3.214000e-03	7.050000e-02	2.700000e-02	6.186000e-01	6.580000e-02	4.000000e-04	2.748800e-03	2.754500e-04	4.273200e-03
1.330000e-02	1.745000e-01	4.679000e-03	7.170000e-02	2.810000e-02	5.655000e-01	5.270000e-02	6.000000e-04	2.587800e-03	2.481800e-04	4.450600e-03
2.000000e-02	1.308000e-01	4.733000e-03	6.810000e-02	3.060000e-02	5.270000e-01	3.270000e-02	9.730000e-04	1.962300e-03	1.759300e-04	4.177000e-03
