# B_hi_c_adiabatic: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
500	6.737836513e+01	0.243056887	2.350809070e-01	no
1000	6.545022783e+01	0.247704791	2.621891454e-01	no
1500	6.519062482e+01	0.255307899	2.634493049e-01	no
2000	6.516457662e+01	0.255789877	2.635246623e-01	no
2500	6.516112498e+01	0.255797585	2.635866491e-01	no
3000	6.516179030e+01	0.255801101	2.635799624e-01	no
3500	6.516162477e+01	0.255805577	2.635732799e-01	no
4000	6.515981127e+01	0.255814049	2.635578820e-01	no
4500	6.516157382e+01	0.255780056	2.635518976e-01	no
5000	6.515958344e+01	0.255794905	2.635783051e-01	no
5500	6.516160557e+01	0.255784972	2.635547512e-01	no
6000	6.516157665e+01	0.255795635	2.635639012e-01	no
6500	6.516240030e+01	0.255829050	2.635887535e-01	no
7000	6.515951287e+01	0.255796733	2.635665729e-01	no
7500	6.516168468e+01	0.255783347	2.635596306e-01	no
8000	6.515956676e+01	0.255822978	2.635589876e-01	no
8500	6.516055153e+01	0.255787170	2.635297783e-01	no
9000	6.515938392e+01	0.255798905	2.635355951e-01	no
9500	6.516024196e+01	0.255799964	2.635407770e-01	no
10000	6.516074500e+01	0.255795533	2.635594972e-01	no
10500	6.516100684e+01	0.255791982	2.635651477e-01	no
11000	6.516112830e+01	0.255794079	2.635701528e-01	no
11500	6.516119926e+01	0.255803068	2.635476059e-01	no
12000	6.516087374e+01	0.255800586	2.635699571e-01	no
12500	6.516106703e+01	0.255792288	2.635447926e-01	no
13000	6.516121967e+01	0.255798171	2.635816890e-01	no
13500	6.515911311e+01	0.255799444	2.635318791e-01	no
14000	6.516116030e+01	0.255788303	2.635462890e-01	no
14500	6.516091627e+01	0.255802633	2.635695942e-01	no
15000	6.516086955e+01	0.255789636	2.635655995e-01	no
15500	6.516195693e+01	0.255787250	2.635720068e-01	no
16000	6.516408567e+01	0.255794229	2.635674686e-01	no
16500	6.516207128e+01	0.255815430	2.635671057e-01	no
17000	6.516262540e+01	0.255801344	2.635798648e-01	no
17500	6.516146574e+01	0.255800995	2.635656180e-01	no
18000	6.516266936e+01	0.255779512	2.635675101e-01	no
18500	6.516071820e+01	0.255800222	2.635770079e-01	no
19000	6.516068228e+01	0.255796479	2.635629411e-01	no
19500	6.516183607e+01	0.255772106	2.635635220e-01	no
20000	6.516001249e+01	0.255788169	2.635760255e-01	no
20500	6.516104136e+01	0.255792149	2.635513948e-01	no
21000	6.516069492e+01	0.255762724	2.635793169e-01	no
21500	6.516164128e+01	0.255802020	2.635794181e-01	no
22000	6.516076025e+01	0.255789873	2.635718999e-01	no
22500	6.516240490e+01	0.255790716	2.635699914e-01	no
23000	6.516045880e+01	0.255804872	2.635430818e-01	no
23500	6.516210581e+01	0.255801114	2.635671552e-01	no
24000	6.516212903e+01	0.255801089	2.635704049e-01	no
24500	6.516374880e+01	0.255774941	2.635714027e-01	no
25000	6.516314516e+01	0.255795362	2.635933206e-01	no
25500	6.516278411e+01	0.255788404	2.635935071e-01	no
26000	6.516230547e+01	0.255797833	2.635597497e-01	no
26500	6.516212626e+01	0.255807696	2.635786299e-01	no
27000	6.516088536e+01	0.255802539	2.635593920e-01	no
27500	6.516107357e+01	0.255810641	2.635675760e-01	no
28000	6.516183315e+01	0.255779720	2.635528611e-01	no
28500	6.516199034e+01	0.255793462	2.635912420e-01	no
29000	6.516072401e+01	0.255780420	2.635690495e-01	no
29500	6.516158527e+01	0.255811140	2.635781607e-01	no
30000	6.516208801e+01	0.255802131	2.635421261e-01	no
30500	6.516162649e+01	0.255791004	2.635854907e-01	no
31000	6.516092931e+01	0.255799157	2.635954671e-01	no
31500	6.516085718e+01	0.255791185	2.635600657e-01	no
32000	6.516155084e+01	0.255786113	2.635618894e-01	no
32500	6.516141122e+01	0.255801913	2.635672159e-01	no
33000	6.516065362e+01	0.255797198	2.635579079e-01	no
33500	6.516268138e+01	0.255799731	2.635107992e-01	no
34000	6.516110949e+01	0.255790651	2.635648237e-01	no
34500	6.516194246e+01	0.255802873	2.635321035e-01	no
35000	6.516187148e+01	0.255811552	2.635863106e-01	no
35500	6.516114756e+01	0.255797147	2.635696934e-01	no
36000	6.516238207e+01	0.255804589	2.635571410e-01	no
36500	6.516150328e+01	0.255794364	2.635625385e-01	no
37000	6.516215396e+01	0.255785725	2.635508689e-01	no
37500	6.516100185e+01	0.255790839	2.635659298e-01	no
38000	6.516015933e+01	0.255776525	2.635202271e-01	no
38500	6.515929899e+01	0.255801395	2.635424985e-01	no
39000	6.516091867e+01	0.255810766	2.635454818e-01	no
39500	6.516197448e+01	0.255799266	2.635444512e-01	no
40000	6.516142597e+01	0.255785656	2.635435487e-01	no
40500	6.516167272e+01	0.255794666	2.635836017e-01	no
41000	6.516123956e+01	0.255814179	2.635459351e-01	no
41500	6.516070442e+01	0.255818065	2.635331572e-01	no
42000	6.516292441e+01	0.255809175	2.635692214e-01	no
42500	6.516179907e+01	0.255824836	2.635708597e-01	no
43000	6.516140393e+01	0.255812775	2.635674872e-01	no
43500	6.516133712e+01	0.255813727	2.635738628e-01	no
44000	6.516116300e+01	0.255796826	2.635937360e-01	no
44500	6.516175388e+01	0.255804848	2.635617288e-01	no
45000	6.516130226e+01	0.255791758	2.635619477e-01	no
45500	6.515891019e+01	0.255818574	2.635503253e-01	no
46000	6.516197066e+01	0.255802259	2.635614360e-01	no
46500	6.516217381e+01	0.255792972	2.635771391e-01	no
47000	6.515969825e+01	0.255793383	2.635618520e-01	no
47500	6.516170176e+01	0.255777079	2.635521910e-01	no
48000	6.516098337e+01	0.255790344	2.635663518e-01	no
48500	6.515913934e+01	0.255804333	2.635229298e-01	no
49000	6.516037020e+01	0.255780298	2.635459521e-01	no
49500	6.516058570e+01	0.255795592	2.635422002e-01	no
50000	6.516073188e+01	0.255795469	2.635711362e-01	no
50500	6.516005453e+01	0.255794031	2.635588038e-01	no
51000	6.516195645e+01	0.255803536	2.635603209e-01	no
51500	6.516155078e+01	0.255800569	2.635842377e-01	no
52000	6.516151535e+01	0.255789210	2.635390466e-01	no
52500	6.516131501e+01	0.255802063	2.635589901e-01	no
53000	6.516125193e+01	0.255801803	2.635471924e-01	no
53500	6.516141149e+01	0.255815413	2.635530810e-01	no
54000	6.516140311e+01	0.255806337	2.635886371e-01	no
54500	6.516218853e+01	0.255811249	2.635870719e-01	no
55000	6.516215681e+01	0.255799395	2.635875803e-01	no
55500	6.516176224e+01	0.255793993	2.635386281e-01	no
