# C1_hi_c_laminar: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
500	6.258163432e+01	0.350940949	6.594953921e-01	no
1000	5.416884308e+01	0.751139494	6.130080692e-01	no
1500	5.379944993e+01	0.473999832	5.263733447e-01	no
2000	5.425686980e+01	0.464475392	5.402348738e-01	no
2500	5.343568927e+01	0.625128875	5.264417496e-01	no
3000	5.402881252e+01	0.488963539	6.066732422e-01	no
3500	5.396941888e+01	0.483221659	5.344879221e-01	no
4000	5.486874396e+01	0.531896920	5.463495038e-01	no
4500	5.397446319e+01	0.467810671	5.672121939e-01	no
5000	5.419967640e+01	0.494411833	5.465514594e-01	no
5500	5.415058221e+01	0.401667693	5.441870903e-01	no
6000	5.462135763e+01	0.524274335	5.254000377e-01	no
6500	5.418387659e+01	0.322804251	5.685152669e-01	no
7000	5.428595727e+01	0.562172036	5.116004612e-01	no
7500	5.420681720e+01	0.535029411	5.908761162e-01	no
8000	5.407397825e+01	0.463472318	5.674289835e-01	no
8500	5.428611546e+01	0.511332632	5.359104470e-01	no
9000	5.446138103e+01	0.517586972	5.591060294e-01	no
9500	5.411029453e+01	0.569960978	5.431307271e-01	no
10000	5.468245093e+01	0.589952366	5.667576043e-01	no
10500	5.438028744e+01	0.504241202	5.556850057e-01	no
11000	5.382530195e+01	0.549752681	5.199696191e-01	no
11500	5.455120910e+01	0.497253383	5.688992270e-01	no
12000	5.362566372e+01	0.610631571	5.081786299e-01	no
12500	5.419237583e+01	0.516489054	5.683124177e-01	no
13000	5.413809362e+01	0.435617184	5.449278867e-01	no
13500	5.442758487e+01	0.519845623	5.246969643e-01	no
14000	5.455999590e+01	0.519030072	5.703223434e-01	no
14500	5.446887649e+01	0.543798692	5.563461651e-01	no
15000	5.469520244e+01	0.515133929	5.784420042e-01	no
15500	5.431149456e+01	0.493333195	5.165257190e-01	no
16000	5.418537780e+01	0.509317147	6.110959048e-01	no
16500	5.441909635e+01	0.554894188	5.511721074e-01	no
17000	5.476120516e+01	0.517470495	5.643135652e-01	no
17500	5.388218137e+01	0.459180611	5.827149447e-01	no
18000	5.357009523e+01	0.483709938	5.543313236e-01	no
18500	5.472561339e+01	0.443661148	5.170416418e-01	no
19000	5.428877274e+01	0.477109445	5.541816527e-01	no
19500	5.377497842e+01	0.486416727	5.168846942e-01	no
20000	5.511017344e+01	0.571913072	5.501120892e-01	no
20500	5.412580075e+01	0.518842695	5.646708639e-01	no
21000	5.423999708e+01	0.549100148	5.533420585e-01	no
21500	5.417577152e+01	0.544108378	5.545899403e-01	no
22000	5.467056956e+01	0.470878751	5.587984403e-01	no
