# C2_hi_c_Ra130: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 51.87 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
500	9.568194106e+01	0.260571631	2.619178151e-01	no
1000	9.201821784e+01	0.244217258	2.962964460e-01	no
1500	9.148250751e+01	0.248894102	2.973176599e-01	no
2000	9.143063475e+01	0.248962287	2.974065857e-01	no
2500	9.142972144e+01	0.248827662	2.975482299e-01	no
3000	9.142877399e+01	0.248884030	2.974465026e-01	no
3500	9.143040872e+01	0.248950067	2.974279072e-01	no
4000	9.142314355e+01	0.248963818	2.973991111e-01	no
4500	9.142215136e+01	0.248957764	2.973962096e-01	no
5000	9.142507633e+01	0.248918376	2.974232057e-01	no
5500	9.142666006e+01	0.248947521	2.974190008e-01	no
6000	9.142570795e+01	0.248954523	2.974161198e-01	no
6500	9.142723040e+01	0.248923317	2.974173891e-01	no
7000	9.142758392e+01	0.248962994	2.974270632e-01	no
7500	9.142822011e+01	0.248936964	2.973939596e-01	no
8000	9.142203223e+01	0.248920871	2.974095053e-01	no
8500	9.142591199e+01	0.248928393	2.974306387e-01	no
9000	9.142812123e+01	0.248896643	2.974303768e-01	no
9500	9.142588759e+01	0.248963157	2.973909387e-01	no
10000	9.142001656e+01	0.248938411	2.974240625e-01	no
10500	9.142656719e+01	0.248892896	2.974216818e-01	no
11000	9.142528808e+01	0.248888853	2.974422073e-01	no
11500	9.143020990e+01	0.248924462	2.974203604e-01	no
12000	9.142906438e+01	0.248935245	2.974273031e-01	no
12500	9.142783225e+01	0.248947520	2.974243013e-01	no
13000	9.142830777e+01	0.248914870	2.974276784e-01	no
13500	9.142892055e+01	0.248931423	2.974210467e-01	no
14000	9.142799596e+01	0.248903477	2.974126800e-01	no
14500	9.142633784e+01	0.248929997	2.974194459e-01	no
15000	9.142670632e+01	0.248900773	2.974041331e-01	no
15500	9.142664311e+01	0.248912322	2.974125849e-01	no
16000	9.142636596e+01	0.248923485	2.974223261e-01	no
16500	9.142824490e+01	0.248885839	2.974541588e-01	no
17000	9.143065223e+01	0.248901898	2.974219251e-01	no
17500	9.143352958e+01	0.248904702	2.974238241e-01	no
18000	9.143502998e+01	0.248865129	2.974664573e-01	no
18500	9.143083552e+01	0.248926445	2.974278223e-01	no
19000	9.143413052e+01	0.248882801	2.974545475e-01	no
19500	9.143213903e+01	0.248923689	2.974202628e-01	no
20000	9.142815138e+01	0.248944188	2.974548335e-01	no
20500	9.142783724e+01	0.248929867	2.974171866e-01	no
21000	9.142865512e+01	0.248932550	2.974177021e-01	no
21500	9.142931360e+01	0.248903399	2.974100483e-01	no
22000	9.142781579e+01	0.248925540	2.974068573e-01	no
22500	9.142549572e+01	0.248945251	2.974025141e-01	no
23000	9.142831863e+01	0.248939764	2.974020587e-01	no
23500	9.143216466e+01	0.248941388	2.974188694e-01	no
24000	9.142587787e+01	0.248946781	2.974061774e-01	no
24500	9.142586552e+01	0.248929768	2.974447692e-01	no
25000	9.142016340e+01	0.248942583	2.974000056e-01	no
25500	9.142471487e+01	0.248924924	2.974163217e-01	no
26000	9.142882052e+01	0.248891087	2.974337680e-01	no
26500	9.142775214e+01	0.248905940	2.974304036e-01	no
27000	9.142764329e+01	0.248925504	2.974104684e-01	no
27500	9.142336576e+01	0.248952662	2.973967948e-01	no
28000	9.142285794e+01	0.248951713	2.974023345e-01	no
28500	9.141987120e+01	0.248941959	2.973923381e-01	no
29000	9.142619662e+01	0.248873529	2.974619973e-01	no
