# T_hi_c: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
500	6.700357110e+01	0.237661455	2.357960407e-01	no
1000	6.516102640e+01	0.236026383	2.603553473e-01	no
1500	6.489040980e+01	0.242082415	2.612786816e-01	no
2000	6.486371564e+01	0.242287427	2.613250904e-01	no
2500	6.486743437e+01	0.242259135	2.612815574e-01	no
3000	6.486741949e+01	0.242188281	2.613113988e-01	no
3500	6.486727251e+01	0.242158177	2.613296269e-01	no
4000	6.486638736e+01	0.242123025	2.613464171e-01	no
4500	6.486445439e+01	0.242091246	2.613591637e-01	no
5000	6.486138318e+01	0.242066140	2.613663817e-01	no
5500	6.485720165e+01	0.242051545	2.613656371e-01	no
6000	6.485555531e+01	0.242210043	2.612972693e-01	no
6500	6.485558928e+01	0.242265402	2.612902930e-01	no
7000	6.485771497e+01	0.242308300	2.612376349e-01	no
7500	6.485972492e+01	0.242294086	2.612482341e-01	no
8000	6.486143268e+01	0.242282709	2.612558205e-01	no
8500	6.486316007e+01	0.242266601	2.612674877e-01	no
9000	6.486467891e+01	0.242243753	2.612816335e-01	no
9500	6.486579317e+01	0.242216231	2.612976378e-01	no
10000	6.486630814e+01	0.242185201	2.613144284e-01	no
10500	6.486604527e+01	0.242152818	2.613304854e-01	no
11000	6.486486014e+01	0.242122057	2.613440735e-01	no
11500	6.486266260e+01	0.242096187	2.613534157e-01	no
12000	6.485947403e+01	0.242077706	2.613569770e-01	no
12500	6.485528240e+01	0.242070587	2.613528191e-01	no
13000	6.485023752e+01	0.242077088	2.613401324e-01	no
13500	6.486052799e+01	0.242214163	2.612872558e-01	no
14000	6.485950471e+01	0.242221390	2.612751073e-01	no
14500	6.485882185e+01	0.242206266	2.612903824e-01	no
15000	6.485812461e+01	0.242199377	2.612918477e-01	no
15500	6.485713311e+01	0.242197175	2.612921061e-01	no
16000	6.485589126e+01	0.242197304	2.612896777e-01	no
16500	6.485447748e+01	0.242202230	2.612846452e-01	no
