# T_hi_f: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
500	6.574763841e+01	0.350023079	3.347589153e-01	no
1000	7.184806611e+01	0.304291798	2.277563681e-01	no
1500	6.349453911e+01	0.189626631	2.534103117e-01	no
2000	6.544978857e+01	0.248274548	2.611031662e-01	no
2500	6.529935116e+01	0.230427620	2.602642820e-01	no
3000	6.505397545e+01	0.235742470	2.612630270e-01	no
3500	6.520442255e+01	0.237042542	2.612791461e-01	no
4000	6.515605662e+01	0.236453164	2.612097144e-01	no
4500	6.516260042e+01	0.236894838	2.612679180e-01	no
5000	6.516586424e+01	0.236840468	2.612526688e-01	no
5500	6.516327994e+01	0.236844974	2.612553640e-01	no
6000	6.516428751e+01	0.236861988	2.612568232e-01	no
6500	6.516408028e+01	0.236856408	2.612559957e-01	no
7000	6.516412026e+01	0.236858441	2.612562418e-01	no
7500	6.516409932e+01	0.236858015	2.612562205e-01	no
8000	6.516412105e+01	0.236858421	2.612562309e-01	no
8500	6.516410660e+01	0.236858335	2.612562324e-01	no
9000	6.516411531e+01	0.236858361	2.612562332e-01	no
9500	6.516411150e+01	0.236858391	2.612562355e-01	no
10000	6.516411268e+01	0.236858357	2.612562349e-01	no
10500	6.516411291e+01	0.236858385	2.612562363e-01	no
11000	6.516411226e+01	0.236858367	2.612562362e-01	no
11500	6.516411290e+01	0.236858377	2.612562358e-01	no
12000	6.516411245e+01	0.236858373	2.612562357e-01	no
12500	6.516411269e+01	0.236858374	2.612562356e-01	no
13000	6.516411259e+01	0.236858374	2.612562356e-01	no
13500	6.516411262e+01	0.236858374	2.612562356e-01	no
14000	6.516411261e+01	0.236858374	2.612562356e-01	no
14500	6.516411262e+01	0.236858374	2.612562356e-01	no
15000	6.516411261e+01	0.236858374	2.612562356e-01	no
15500	6.516411261e+01	0.236858374	2.612562356e-01	no
16000	6.516411261e+01	0.236858374	2.612562356e-01	no
16500	6.516411261e+01	0.236858374	2.612562356e-01	no
17000	6.516411261e+01	0.236858374	2.612562356e-01	no
17500	6.516411261e+01	0.236858374	2.612562356e-01	no
18000	6.516411261e+01	0.236858374	2.612562356e-01	no
18500	6.516411261e+01	0.236858374	2.612562356e-01	no
19000	6.516411261e+01	0.236858374	2.612562356e-01	no
19500	6.516411261e+01	0.236858374	2.612562356e-01	no
20000	6.516411261e+01	0.236858374	2.612562356e-01	no
20500	6.516411261e+01	0.236858374	2.612562356e-01	no
21000	6.516411261e+01	0.236858374	2.612562356e-01	no
21500	6.516411261e+01	0.236858374	2.612562356e-01	no
22000	6.516411261e+01	0.236858374	2.612562356e-01	no
22500	6.516411261e+01	0.236858374	2.612562356e-01	no
23000	6.516411261e+01	0.236858374	2.612562356e-01	no
23500	6.516411261e+01	0.236858374	2.612562356e-01	no
24000	6.516411261e+01	0.236858374	2.612562356e-01	no
24500	6.516411261e+01	0.236858374	2.612562356e-01	no
25000	6.516411261e+01	0.236858374	2.612562356e-01	no
25500	6.516411261e+01	0.236858374	2.612562356e-01	no
26000	6.516411261e+01	0.236858374	2.612562356e-01	no
26500	6.516411261e+01	0.236858374	2.612562356e-01	no
27000	6.516411261e+01	0.236858374	2.612562356e-01	no
27500	6.516411261e+01	0.236858374	2.612562356e-01	no
28000	6.516411261e+01	0.236858374	2.612562356e-01	no
28500	6.516411261e+01	0.236858374	2.612562356e-01	no
29000	6.516411261e+01	0.236858374	2.612562356e-01	no
29500	6.516411261e+01	0.236858374	2.612562356e-01	no
30000	6.516411261e+01	0.236858374	2.612562356e-01	no
30500	6.516411261e+01	0.236858374	2.612562356e-01	no
31000	6.516411261e+01	0.236858374	2.612562356e-01	no
31500	6.516411261e+01	0.236858374	2.612562356e-01	no
32000	6.516411261e+01	0.236858374	2.612562356e-01	no
32500	6.516411261e+01	0.236858374	2.612562356e-01	no
33000	6.516411261e+01	0.236858374	2.612562356e-01	no
33500	6.516411261e+01	0.236858374	2.612562356e-01	no
34000	6.516411261e+01	0.236858374	2.612562356e-01	no
34500	6.516411261e+01	0.236858374	2.612562356e-01	no
35000	6.516411261e+01	0.236858374	2.612562356e-01	no
35500	6.516411261e+01	0.236858374	2.612562356e-01	no
36000	6.516411261e+01	0.236858374	2.612562356e-01	no
36500	6.516411261e+01	0.236858374	2.612562356e-01	no
37000	6.516411261e+01	0.236858374	2.612562356e-01	no
37500	6.516411261e+01	0.236858374	2.612562356e-01	no
38000	6.516411261e+01	0.236858374	2.612562356e-01	no
38500	6.516411261e+01	0.236858374	2.612562356e-01	no
39000	6.516411261e+01	0.236858374	2.612562356e-01	no
39500	6.516411261e+01	0.236858374	2.612562356e-01	no
39600	6.516411261e+01	0.236858374	2.612562356e-01	yes
39650	6.516411261e+01	0.236858374	2.612562356e-01	yes
39700	6.516411261e+01	0.236858374	2.612562356e-01	yes
39750	6.516411261e+01	0.236858374	2.612562356e-01	yes
39800	6.516411261e+01	0.236858374	2.612562356e-01	yes
39850	6.516411261e+01	0.236858374	2.612562356e-01	yes
39900	6.516411261e+01	0.236858374	2.612562356e-01	yes
39950	6.516411261e+01	0.236858374	2.612562356e-01	yes
40000	6.516411261e+01	0.236858374	2.612562356e-01	yes
