# T_lo_c: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 19.6 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
500	2.760205180e+01	0.194126690	1.751025355e-01	no
1000	2.733421326e+01	0.221202677	1.869838340e-01	no
1500	2.730440817e+01	0.227683189	1.875775035e-01	no
2000	2.729939827e+01	0.228165780	1.876180251e-01	no
2500	2.729988284e+01	0.228176004	1.876309154e-01	no
3000	2.730065654e+01	0.228156352	1.876418252e-01	no
3500	2.730128201e+01	0.228149120	1.876466192e-01	no
4000	2.730168671e+01	0.228150996	1.876470496e-01	no
4500	2.730185251e+01	0.228156454	1.876454983e-01	no
5000	2.730185444e+01	0.228161667	1.876436657e-01	no
5500	2.730178201e+01	0.228164594	1.876423739e-01	no
6000	2.730170121e+01	0.228165406	1.876417871e-01	no
6500	2.730164527e+01	0.228165325	1.876417152e-01	no
7000	2.730162070e+01	0.228164717	1.876419037e-01	no
7500	2.730161936e+01	0.228163732	1.876421635e-01	no
8000	2.730162933e+01	0.228163164	1.876423723e-01	no
8500	2.730164092e+01	0.228163345	1.876424589e-01	no
9000	2.730164912e+01	0.228163473	1.876424509e-01	no
9500	2.730165284e+01	0.228163263	1.876424321e-01	no
10000	2.730165315e+01	0.228163326	1.876424321e-01	no
10500	2.730165178e+01	0.228163650	1.876423987e-01	no
11000	2.730165010e+01	0.228163589	1.876423495e-01	no
11500	2.730164889e+01	0.228163398	1.876423439e-01	no
12000	2.730164833e+01	0.228163554	1.876423754e-01	no
12500	2.730164831e+01	0.228163673	1.876423909e-01	no
13000	2.730164849e+01	0.228163408	1.876423731e-01	no
13500	2.730164875e+01	0.228163311	1.876423542e-01	no
14000	2.730164890e+01	0.228163610	1.876423664e-01	no
14500	2.730164897e+01	0.228163634	1.876423833e-01	no
15000	2.730164896e+01	0.228163381	1.876423830e-01	no
15500	2.730164901e+01	0.228163434	1.876423626e-01	no
16000	2.730164896e+01	0.228163630	1.876423490e-01	no
16500	2.730164893e+01	0.228163468	1.876423616e-01	no
17000	2.730164890e+01	0.228163350	1.876423792e-01	no
17500	2.730164895e+01	0.228163636	1.876423729e-01	no
18000	2.730164887e+01	0.228163705	1.876423599e-01	no
