# p  FACE_DATA 64
# x y z  p
9.3244053e-05 0.0012000687 0.5 137239.54
0.00057588454 0.003912102 0.5 129865.01
0.0018524682 0.0072452044 0.5 119085.86
0.0043490027 0.0111465 0.5 107125.22
0.00850456 0.01550302 0.5 96800.487
0.014762613 0.020206638 0.5 88496.481
0.023634517 0.0251894 0.5 82926.087
0.035780534 0.03040493 0.5 78565.365
0.052076548 0.035800254 0.5 74910.436
0.073678661 0.041284442 0.5 71564.671
0.10210322 0.046687594 0.5 68462.639
0.13932333 0.051722125 0.5 65502.075
0.18789584 0.055925997 0.5 62594.522
0.25112396 0.058605258 0.5 60486.702
0.33326968 0.058779025 0.5 60920.815
0.43983609 0.055143665 0.5 66986.211
0.52867606 0.05018321 0.5 82936.588
0.58347686 0.046081116 0.5 94042.317
0.63340387 0.041882695 0.5 96116.142
0.67889381 0.037715721 0.5 94942.598
0.72034348 0.033656814 0.5 95431.596
0.75811347 0.02975108 0.5 97523.063
0.79253163 0.026023747 0.5 99482.418
0.82389626 0.0224879 0.5 100782.48
0.85247887 0.019148791 0.5 101920.86
0.87852665 0.016006468 0.5 103020.42
0.90226476 0.013057815 0.5 104290.58
0.92389829 0.010297727 0.5 105209.48
0.94361411 0.0077196348 0.5 106550.8
0.96158246 0.0053161124 0.5 106951.33
0.97795845 0.0030792296 0.5 108764.57
0.99288343 0.0010007136 0.5 108064.01
0.99288343 -0.0010007136 0.5 106365.6
0.97795845 -0.0030792296 0.5 107186.63
0.96158246 -0.0053161124 0.5 105209.36
0.94361411 -0.0077196348 0.5 104868.07
0.92389829 -0.010297727 0.5 103610.23
0.90226476 -0.013057815 0.5 102909.57
0.87852665 -0.016006468 0.5 101938.81
0.85247887 -0.019148791 0.5 101170.28
0.82389626 -0.0224879 0.5 100318.73
0.79253163 -0.026023747 0.5 99467.077
0.75811347 -0.02975108 0.5 98474.499
0.72034348 -0.033656814 0.5 97507.408
0.67889381 -0.037715721 0.5 96791.143
0.63340387 -0.041882695 0.5 96312.831
0.58347686 -0.046081116 0.5 95367.777
0.52867606 -0.05018321 0.5 93113.813
0.43983609 -0.055143665 0.5 89363.826
0.33326968 -0.058779025 0.5 88312.97
0.25112396 -0.058605258 0.5 89559.743
0.18789584 -0.055925997 0.5 92362.488
0.13932333 -0.051722125 0.5 95932.9
0.10210322 -0.046687594 0.5 99994.622
0.073678661 -0.041284442 0.5 104481.28
0.052076548 -0.035800254 0.5 109165.98
0.035780534 -0.03040493 0.5 113987.51
0.023634517 -0.0251894 0.5 119450.24
0.014762613 -0.020206638 0.5 125709.97
0.00850456 -0.01550302 0.5 132660.81
0.0043490027 -0.0111465 0.5 139403.91
0.0018524682 -0.0072452044 0.5 143887.55
0.00057588454 -0.003912102 0.5 144585.62
9.3244053e-05 -0.0012000687 0.5 142039.17
