# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e-01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
0.0056601638      	1.7005194660e+04	3.9177005907e+03	1.3087494070e+04	1.5282996070e+03	7.6415133109e+02	7.6414827595e+02	1.5275678209e-03	-4.5848967394e+03	5.1015584881e+04	3.4715003312e-09	5.1015584881e+04	-5.1015584881e+04
0.012235402       	-1.7291592695e+02	2.5758562666e+02	-4.3050155360e+02	-1.1468150526e+02	-5.7338624264e+01	-5.7342880995e+01	2.1283653000e-03	3.4404359013e+02	-5.1874900990e+02	3.4868429660e-09	-5.1874900990e+02	5.1874900990e+02
0.01966974        	1.3631683135e+02	2.1223725120e+02	-7.5920419854e+01	-4.8026190260e+01	-2.4012293449e+01	-2.4013896811e+01	8.0168084617e-04	1.4407883553e+02	4.0895064938e+02	4.9049056177e-09	4.0895064939e+02	-4.0895064938e+02
0.027971541       	9.7797814512e+01	1.3682364136e+02	-3.9025826844e+01	-2.9308214893e+01	-1.4653903267e+01	-1.4654311626e+01	2.0417941943e-04	8.7924734100e+01	2.9339352172e+02	5.4591882135e-09	2.9339352173e+02	-2.9339352172e+02
0.036757248       	8.2133870752e+01	9.6724696983e+01	-1.4590826231e+01	-1.8552629647e+01	-9.2763510937e+00	-9.2762785535e+00	-3.6270132778e-05	5.5657761607e+01	2.4640156674e+02	5.4515254321e-09	2.4640156674e+02	-2.4640156673e+02
0.045584327       	7.2020727151e+01	7.3711156829e+01	-1.6904296774e+00	-1.2566901611e+01	-6.2835464432e+00	-6.2833551678e+00	-9.5637738194e-05	3.7700793253e+01	2.1606223340e+02	5.2644663620e-09	2.1606223341e+02	-2.1606223340e+02
0.054473148       	6.5037191919e+01	5.7834429312e+01	7.2027626070e+00	-8.4386155551e+00	-4.2193883561e+00	-4.2192271990e+00	-8.0578542504e-05	2.5315833352e+01	1.9511154636e+02	4.9990301648e-09	1.9511154636e+02	-1.9511154636e+02
0.063442255       	5.9874927690e+01	4.6767929796e+01	1.3106997894e+01	-5.6101704559e+00	-2.8051064052e+00	-2.8050640507e+00	-2.1177242072e-05	1.6830465951e+01	1.7962476893e+02	4.6840001861e-09	1.7962476893e+02	-1.7962476893e+02
0.072438269       	5.5886555907e+01	3.9108608446e+01	1.6777947460e+01	-3.7218036014e+00	-1.8608376874e+00	-1.8609659140e+00	6.4113289088e-05	1.1165330493e+01	1.6765964728e+02	4.3491229829e-09	1.6765964728e+02	-1.6765964728e+02
0.081469505       	5.2691764375e+01	3.3630650273e+01	1.9061114103e+01	-2.4282803292e+00	-1.2139795634e+00	-1.2143007657e+00	1.6060113113e-04	7.2847680852e+00	1.5807528099e+02	4.0163560390e-09	1.5807528099e+02	-1.5807528099e+02
0.090544477       	5.0060627821e+01	2.9541497333e+01	2.0519130488e+01	-1.5037345405e+00	-7.5160674329e-01	-7.5212779724e-01	2.6052697157e-04	4.5111834222e+00	1.5018188725e+02	3.6987455626e-09	1.5018188725e+02	-1.5018188724e+02
0.099670273       	4.7854563149e+01	2.6505492446e+01	2.1349070703e+01	-8.5940914918e-01	-4.2934496233e-01	-4.3006418686e-01	3.5961226435e-04	2.5782108715e+00	1.4356370865e+02	3.4005183122e-09	1.4356370865e+02	-1.4356370865e+02
