# ============================================================
# SYNTHETIC NEGATIVE CONTROL -- NOT SOLVER OUTPUT.  NO SOLVER RAN.
# F5b Physics rung, control C-N1.
#   registered by verification/campaign/F5b_PHYSICS_PREREGISTRATION.md
#   generated by verification/runs/F5b_runs/make_theodorsen_fixture.py
# Attached-flow (Theodorsen/Jones) hysteresis loop for the SAME prescribed
# motion as the registered run: alpha(t) = 15.0 + 10.0 sin(0.3 t) deg,
# k = 0.15, pitch axis a = -0.5 semi-chords, one full period,
# 4096 samples spanning W = [endTime - PERIOD, endTime].
#   C(k)  = 0.7819026 -0.1798329i
#   Z     = 5.0469847 +0.0782415i   [C_L per radian of alpha]
#   A_att = 0.42900727 C_L.deg   (closed form)
# THIS LOOP CONTAINS NO STALL.  A reader that scores it as dynamic stall
# is broken and its verdict on the real run is void.
#
# ONLY THE 'Cl' COLUMN CARRIES PHYSICS.  Every other coefficient column is
# a constant sentinel -70 - j (j = its index in the coefficient ordering),
# chosen so a positional misread is absurd on sight, is traceable to the
# column that was read, and drives A_L and max-pair dC_L to exactly zero.
#
# The header-value lines below carry the ANALYTIC normalised direction
# vectors.  A real run's last digits may differ by normalisation round-off.
# No reader parses a header VALUE -- only the column-name line.
# ============================================================
# Force and moment coefficients
# dragDir         : (0.9659258263 0.2588190451 0)
# sideDir         : (0 0 -1)
# liftDir         : (-0.2588190451 0.9659258263 0)
# rollAxis        : (0.9659258263 0.2588190451 0)
# pitchAxis       : (0 0 -1)
# yawAxis         : (-0.2588190451 0.9659258263 0)
# magUInf         : 1
# lRef            : 1
# Aref            : 1
# CofR            : (0 0 0)
#
# Time            	                Cd	             Cd(f)	             Cd(r)	                Cl	             Cl(f)	             Cl(r)	           CmPitch	            CmRoll	             CmYaw	                Cs	             Cs(f)	             Cs(r)
          1.000049	-70	-71	-72	1.9183056	-74	-75	-76	-77	-78	-79	-80	-81
         1.0051635	-70	-71	-72	1.919590269	-74	-75	-76	-77	-78	-79	-80	-81
          1.010278	-70	-71	-72	1.920874292	-74	-75	-76	-77	-78	-79	-80	-81
         1.0153925	-70	-71	-72	1.922157666	-74	-75	-76	-77	-78	-79	-80	-81
          1.020507	-70	-71	-72	1.923440387	-74	-75	-76	-77	-78	-79	-80	-81
         1.0256216	-70	-71	-72	1.924722477	-74	-75	-76	-77	-78	-79	-80	-81
         1.0307361	-70	-71	-72	1.926003883	-74	-75	-76	-77	-78	-79	-80	-81
         1.0358506	-70	-71	-72	1.927284628	-74	-75	-76	-77	-78	-79	-80	-81
         1.0409651	-70	-71	-72	1.928564708	-74	-75	-76	-77	-78	-79	-80	-81
         1.0460796	-70	-71	-72	1.92984412	-74	-75	-76	-77	-78	-79	-80	-81
         1.0511942	-70	-71	-72	1.931122886	-74	-75	-76	-77	-78	-79	-80	-81
         1.0563087	-70	-71	-72	1.932400954	-74	-75	-76	-77	-78	-79	-80	-81
         1.0614232	-70	-71	-72	1.933678345	-74	-75	-76	-77	-78	-79	-80	-81
         1.0665377	-70	-71	-72	1.934955056	-74	-75	-76	-77	-78	-79	-80	-81
         1.0716522	-70	-71	-72	1.936231085	-74	-75	-76	-77	-78	-79	-80	-81
         1.0767667	-70	-71	-72	1.937506427	-74	-75	-76	-77	-78	-79	-80	-81
         1.0818813	-70	-71	-72	1.938781106	-74	-75	-76	-77	-78	-79	-80	-81
         1.0869958	-70	-71	-72	1.940055068	-74	-75	-76	-77	-78	-79	-80	-81
         1.0921103	-70	-71	-72	1.941328335	-74	-75	-76	-77	-78	-79	-80	-81
         1.0972248	-70	-71	-72	1.942600905	-74	-75	-76	-77	-78	-79	-80	-81
         1.1023393	-70	-71	-72	1.943872774	-74	-75	-76	-77	-78	-79	-80	-81
         1.1074539	-70	-71	-72	1.945143963	-74	-75	-76	-77	-78	-79	-80	-81
         1.1125684	-70	-71	-72	1.946414422	-74	-75	-76	-77	-78	-79	-80	-81
         1.1176829	-70	-71	-72	1.94768417	-74	-75	-76	-77	-78	-79	-80	-81
         1.1227974	-70	-71	-72	1.948953206	-74	-75	-76	-77	-78	-79	-80	-81
         1.1279119	-70	-71	-72	1.950221526	-74	-75	-76	-77	-78	-79	-80	-81
         1.1330264	-70	-71	-72	1.951489127	-74	-75	-76	-77	-78	-79	-80	-81
          1.138141	-70	-71	-72	1.952756031	-74	-75	-76	-77	-78	-79	-80	-81
         1.1432555	-70	-71	-72	1.954022186	-74	-75	-76	-77	-78	-79	-80	-81
           1.14837	-70	-71	-72	1.955287613	-74	-75	-76	-77	-78	-79	-80	-81
         1.1534845	-70	-71	-72	1.95655231	-74	-75	-76	-77	-78	-79	-80	-81
          1.158599	-70	-71	-72	1.957816272	-74	-75	-76	-77	-78	-79	-80	-81
         1.1637136	-70	-71	-72	1.959079523	-74	-75	-76	-77	-78	-79	-80	-81
         1.1688281	-70	-71	-72	1.96034201	-74	-75	-76	-77	-78	-79	-80	-81
         1.1739426	-70	-71	-72	1.961603754	-74	-75	-76	-77	-78	-79	-80	-81
         1.1790571	-70	-71	-72	1.962864753	-74	-75	-76	-77	-78	-79	-80	-81
         1.1841716	-70	-71	-72	1.964125003	-74	-75	-76	-77	-78	-79	-80	-81
         1.1892861	-70	-71	-72	1.965384502	-74	-75	-76	-77	-78	-79	-80	-81
         1.1944007	-70	-71	-72	1.966643271	-74	-75	-76	-77	-78	-79	-80	-81
         1.1995152	-70	-71	-72	1.967901258	-74	-75	-76	-77	-78	-79	-80	-81
         1.2046297	-70	-71	-72	1.969158484	-74	-75	-76	-77	-78	-79	-80	-81
         1.2097442	-70	-71	-72	1.970414948	-74	-75	-76	-77	-78	-79	-80	-81
         1.2148587	-70	-71	-72	1.971670645	-74	-75	-76	-77	-78	-79	-80	-81
         1.2199732	-70	-71	-72	1.972925572	-74	-75	-76	-77	-78	-79	-80	-81
         1.2250878	-70	-71	-72	1.974179753	-74	-75	-76	-77	-78	-79	-80	-81
         1.2302023	-70	-71	-72	1.975433133	-74	-75	-76	-77	-78	-79	-80	-81
         1.2353168	-70	-71	-72	1.976685735	-74	-75	-76	-77	-78	-79	-80	-81
         1.2404313	-70	-71	-72	1.977937557	-74	-75	-76	-77	-78	-79	-80	-81
         1.2455458	-70	-71	-72	1.979188594	-74	-75	-76	-77	-78	-79	-80	-81
         1.2506604	-70	-71	-72	1.980438869	-74	-75	-76	-77	-78	-79	-80	-81
         1.2557749	-70	-71	-72	1.98168833	-74	-75	-76	-77	-78	-79	-80	-81
         1.2608894	-70	-71	-72	1.982936998	-74	-75	-76	-77	-78	-79	-80	-81
         1.2660039	-70	-71	-72	1.98418487	-74	-75	-76	-77	-78	-79	-80	-81
         1.2711184	-70	-71	-72	1.985431943	-74	-75	-76	-77	-78	-79	-80	-81
         1.2762329	-70	-71	-72	1.986678215	-74	-75	-76	-77	-78	-79	-80	-81
         1.2813475	-70	-71	-72	1.987923707	-74	-75	-76	-77	-78	-79	-80	-81
          1.286462	-70	-71	-72	1.989168367	-74	-75	-76	-77	-78	-79	-80	-81
         1.2915765	-70	-71	-72	1.990412216	-74	-75	-76	-77	-78	-79	-80	-81
          1.296691	-70	-71	-72	1.991655252	-74	-75	-76	-77	-78	-79	-80	-81
         1.3018055	-70	-71	-72	1.992897472	-74	-75	-76	-77	-78	-79	-80	-81
         1.3069201	-70	-71	-72	1.994138897	-74	-75	-76	-77	-78	-79	-80	-81
         1.3120346	-70	-71	-72	1.995379475	-74	-75	-76	-77	-78	-79	-80	-81
         1.3171491	-70	-71	-72	1.996619229	-74	-75	-76	-77	-78	-79	-80	-81
         1.3222636	-70	-71	-72	1.997858154	-74	-75	-76	-77	-78	-79	-80	-81
         1.3273781	-70	-71	-72	1.999096249	-74	-75	-76	-77	-78	-79	-80	-81
         1.3324926	-70	-71	-72	2.00033351	-74	-75	-76	-77	-78	-79	-80	-81
         1.3376072	-70	-71	-72	2.001569958	-74	-75	-76	-77	-78	-79	-80	-81
         1.3427217	-70	-71	-72	2.002805543	-74	-75	-76	-77	-78	-79	-80	-81
         1.3478362	-70	-71	-72	2.004040285	-74	-75	-76	-77	-78	-79	-80	-81
