t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0050      0.0655     1.0055
  0.0100      0.1310     1.0200
  0.0150      0.1965     1.0426
  0.0200      0.2620     1.0755
  0.0250      0.3275     1.1149
  0.0300      0.3930     1.1605
  0.0350      0.4586     1.2137
  0.0400      0.5241     1.2731
  0.0450      0.5896     1.3382
  0.0500      0.6551     1.4091
  0.0550      0.7206     1.4847
  0.0600      0.7861     1.5645
  0.0650      0.8516     1.6469
  0.0700      0.9171     1.7322
  0.0750      0.9826     1.8196
  0.0800      1.0481     1.9087
  0.0850      1.1136     1.9993
  0.0900      1.1791     2.0914
  0.0950      1.2447     2.1850
  0.1000      1.3102     2.2799
  0.1050      1.3757     2.3764
  0.1100      1.4412     2.4740
  0.1150      1.5067     2.5727
  0.1200      1.5722     2.6725
  0.1250      1.6377     2.7732
  0.1300      1.7032     2.8748
  0.1350      1.7687     2.9773
  0.1400      1.8342     3.0805
  0.1450      1.8997     3.1844
  0.1500      1.9652     3.2890
  0.1550      2.0308     3.3941
  0.1600      2.0963     3.4997
  0.1650      2.1618     3.6058
  0.1700      2.2273     3.7124
  0.1750      2.2928     3.8192
  0.1800      2.3583     3.9264
  0.1850      2.4238     4.0337
  0.1900      2.4893     4.1413
  0.1950      2.5548     4.2491
  0.2000      2.6203     4.3570
  0.2050      2.6858     4.4651
  0.2100      2.7513     4.5732
  0.2150      2.8169     4.6814
  0.2200      2.8824     4.7895
  0.2250      2.9479     4.8977
  0.2300      3.0134     5.0059
  0.2350      3.0789     5.1140
  0.2400      3.1444     5.2221
  0.2450      3.2099     5.3301
  0.2500      3.2754     5.4381
  0.2550      3.3409     5.5459
  0.2600      3.4064     5.6537
  0.2650      3.4719     5.7613
  0.2700      3.5374     5.8688
  0.2750      3.6030     5.9761
  0.2800      3.6685     6.0833
  0.2850      3.7340     6.1902
  0.2900      3.7995     6.2970
  0.2950      3.8650     6.4036
  0.3000      3.9305     6.5099
  0.3050      3.9960     6.6161
  0.3100      4.0615     6.7220
  0.3150      4.1270     6.8277
  0.3200      4.1925     6.9332
  0.3250      4.2580     7.0385
  0.3300      4.3235     7.1435
  0.3350      4.3891     7.2482
  0.3400      4.4546     7.3527
  0.3450      4.5201     7.4568
  0.3500      4.5856     7.5607
  0.3550      4.6511     7.6643
  0.3600      4.7166     7.7677
  0.3650      4.7821     7.8708
  0.3700      4.8476     7.9736
  0.3750      4.9131     8.0761
  0.3800      4.9786     8.1783
  0.3850      5.0441     8.2802
  0.3900      5.1096     8.3818
  0.3950      5.1752     8.4830
  0.4000      5.2407     8.5840
  0.4050      5.3062     8.6847
  0.4100      5.3717     8.7850
  0.4150      5.4372     8.8851
  0.4200      5.5027     8.9848
  0.4250      5.5682     9.0842
  0.4300      5.6337     9.1832
  0.4350      5.6992     9.2820
  0.4400      5.7647     9.3804
  0.4450      5.8302     9.4784
  0.4500      5.8957     9.5761
  0.4550      5.9613     9.6735
  0.4600      6.0268     9.7706
  0.4650      6.0923     9.8673
  0.4700      6.1578     9.9637
  0.4750      6.2233    10.0598
  0.4800      6.2888    10.1555
  0.4850      6.3543    10.2509
  0.4900      6.4198    10.3459
  0.4950      6.4853    10.4406
  0.5000      6.5508    10.5349
  0.5050      6.6163    10.6289
  0.5100      6.6818    10.7226
  0.5150      6.7474    10.8159
  0.5200      6.8129    10.9089
  0.5250      6.8784    11.0016
  0.5300      6.9439    11.0939
  0.5350      7.0094    11.1858
  0.5400      7.0749    11.2775
  0.5450      7.1404    11.3688
  0.5500      7.2059    11.4598
  0.5550      7.2714    11.5505
  0.5600      7.3369    11.6408
  0.5650      7.4024    11.7308
  0.5700      7.4679    11.8205
  0.5750      7.5335    11.9100
  0.5800      7.5990    11.9992
  0.5850      7.6645    12.0879
  0.5900      7.7300    12.1764
  0.5950      7.7955    12.2647
  0.6000      7.8610    12.3527
  0.6050      7.9265    12.4403
  0.6100      7.9920    12.5276
  0.6150      8.0575    12.6148
  0.6200      8.1230    12.7018
  0.6250      8.1885    12.7884
  0.6300      8.2540    12.8748
  0.6350      8.3196    12.9609
  0.6400      8.3851    13.0468
  0.6450      8.4506    13.1323
  0.6500      8.5161    13.2176
  0.6550      8.5816    13.3027
  0.6600      8.6471    13.3874
  0.6650      8.7126    13.4719
  0.6700      8.7781    13.5563
  0.6750      8.8436    13.6403
  0.6800      8.9091    13.7241
  0.6850      8.9746    13.8078
  0.6900      9.0401    13.8912
  0.6950      9.1057    13.9744
  0.7000      9.1712    14.0575
  0.7050      9.2367    14.1404
  0.7100      9.3022    14.2230
  0.7150      9.3677    14.3056
  0.7200      9.4332    14.3906
  0.7250      9.4987    14.4843
  0.7300      9.5642    14.5746
  0.7350      9.6297    14.6511
  0.7400      9.6952    14.7037
  0.7450      9.7607    14.7364
  0.7500      9.8262    14.7533
  0.7550      9.8918    14.7585
  0.7600      9.9573    14.7634
  0.7650     10.0228    14.7681
  0.7700     10.0883    14.7724
  0.7750     10.1538    14.7765
  0.7800     10.2193    14.7802
  0.7850     10.2848    14.7835
  0.7900     10.3503    14.7865
  0.7950     10.4158    14.7892
  0.8000     10.4813    14.7914
