t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0048      0.0629     1.0044
  0.0096      0.1258     1.0191
  0.0156      0.2044     1.0511
  0.0204      0.2673     1.0854
  0.0252      0.3302     1.1290
  0.0300      0.3930     1.1791
  0.0348      0.4559     1.2343
  0.0396      0.5188     1.2948
  0.0444      0.5817     1.3615
  0.0504      0.6603     1.4467
  0.0552      0.7232     1.5209
  0.0600      0.7861     1.5949
  0.0648      0.8490     1.6735
  0.0696      0.9119     1.7520
  0.0744      0.9748     1.8321
  0.0804      1.0534     1.9348
  0.0852      1.1163     2.0209
  0.0900      1.1791     2.1077
  0.0948      1.2420     2.1954
  0.0996      1.3049     2.2868
  0.1044      1.3678     2.3808
  0.1104      1.4464     2.5007
  0.1152      1.5093     2.5979
  0.1200      1.5722     2.6966
  0.1248      1.6351     2.7962
  0.1296      1.6980     2.8965
  0.1344      1.7609     2.9972
  0.1404      1.8395     3.1246
  0.1452      1.9024     3.2258
  0.1500      1.9652     3.3271
  0.1548      2.0281     3.4288
  0.1596      2.0910     3.5307
  0.1644      2.1539     3.6330
  0.1704      2.2325     3.7775
  0.1752      2.2954     3.8671
  0.1800      2.3583     3.9711
  0.1848      2.4212     4.0753
  0.1896      2.4841     4.1799
  0.1944      2.5470     4.2850
  0.2004      2.6256     4.4194
  0.2052      2.6885     4.5253
  0.2100      2.7513     4.6314
  0.2148      2.8142     4.7379
  0.2196      2.8771     4.8454
  0.2244      2.9400     4.9540
  0.2304      3.0186     5.0871
  0.2352      3.0815     5.1951
  0.2400      3.1444     5.3042
  0.2448      3.2073     5.4127
  0.2496      3.2702     5.5206
  0.2544      3.3331     5.6278
  0.2604      3.4117     5.7643
  0.2652      3.4746     5.8722
  0.2700      3.5374     5.9797
  0.2748      3.6003     6.0876
  0.2796      3.6632     6.1967
  0.2844      3.7261     6.3065
  0.2904      3.8047     6.4406
  0.2952      3.8676     6.5504
  0.3000      3.9305     6.6598
  0.3048      3.9934     6.7685
  0.3096      4.0563     6.8761
  0.3156      4.1349     7.0132
  0.3204      4.1978     7.1214
  0.3252      4.2607     7.2290
  0.3300      4.3235     7.3372
  0.3348      4.3864     7.4469
  0.3396      4.4493     7.5569
  0.3456      4.5279     7.6909
  0.3504      4.5908     7.8013
  0.3552      4.6537     7.9106
  0.3600      4.7166     8.0189
  0.3648      4.7795     8.1264
  0.3696      4.8424     8.2343
  0.3756      4.9210     8.3715
  0.3804      4.9839     8.4790
  0.3852      5.0468     8.5873
  0.3900      5.1096     8.6973
  0.3948      5.1725     8.8070
  0.3996      5.2354     8.9153
  0.4056      5.3140     9.0509
  0.4104      5.3769     9.1597
  0.4152      5.4398     9.2673
  0.4200      5.5027     9.3743
  0.4248      5.5656     9.4820
  0.4296      5.6285     9.5907
  0.4356      5.7071     9.7258
  0.4404      5.7700     9.8337
  0.4452      5.8329     9.9426
  0.4500      5.8957    10.0527
  0.4548      5.9586    10.1606
  0.4596      6.0215    10.2672
  0.4656      6.1001    10.4035
  0.4704      6.1630    10.5108
  0.4752      6.2259    10.6172
  0.4800      6.2888    10.7237
  0.4848      6.3517    10.8308
  0.4896      6.4146    10.9386
  0.4956      6.4932    11.0729
  0.5004      6.5561    11.1797
  0.5052      6.6190    11.2891
  0.5100      6.6818    11.3963
  0.5148      6.7447    11.5048
  0.5196      6.8076    11.6107
  0.5256      6.8862    11.7430
  0.5304      6.9491    11.8523
  0.5352      7.0120    11.9581
  0.5400      7.0749    12.0635
  0.5448      7.1378    12.1689
  0.5496      7.2007    12.2746
  0.5556      7.2793    12.4100
  0.5604      7.3422    12.5151
  0.5652      7.4051    12.6203
  0.5700      7.4679    12.7257
  0.5748      7.5308    12.8317
  0.5796      7.5937    12.9388
  0.5856      7.6723    13.0710
  0.5904      7.7352    13.1762
  0.5952      7.7981    13.2820
  0.6000      7.8610    13.3890
  0.6048      7.9239    13.4978
  0.6096      7.9868    13.6035
  0.6156      8.0654    13.7308
  0.6204      8.1283    13.8375
  0.6252      8.1912    13.9455
  0.6300      8.2540    14.0520
  0.6348      8.3169    14.1560
  0.6396      8.3798    14.2599
  0.6456      8.4584    14.3903
  0.6504      8.5213    14.4967
  0.6552      8.5842    14.6014
  0.6600      8.6471    14.7035
  0.6648      8.7100    14.7998
  0.6696      8.7729    14.8648
  0.6756      8.8515    14.9107
  0.6804      8.9144    14.9370
  0.6852      8.9773    14.9486
  0.6900      9.0401    14.9529
  0.6948      9.1030    14.9538
  0.6996      9.1659    14.9566
  0.7056      9.2445    14.9634
  0.7104      9.3074    14.9707
  0.7152      9.3703    14.9797
  0.7200      9.4332    14.9907
